id ; Experiment ; nb_agents ; time
0 ; offices_range1_agents ; 2 ; 0.06
1 ; offices_range1_agents ; 2 ; 0.06
2 ; offices_range1_agents ; 2 ; 0.06
3 ; offices_range1_agents ; 2 ; 0.07
4 ; offices_range1_agents ; 2 ; 0.07
5 ; offices_range1_agents ; 2 ; 0.07
6 ; offices_range1_agents ; 2 ; 0.07
7 ; offices_range1_agents ; 2 ; 0.07
8 ; offices_range1_agents ; 2 ; 0.07
9 ; offices_range1_agents ; 2 ; 0.07
10 ; offices_range1_agents ; 2 ; 0.07
11 ; offices_range1_agents ; 2 ; 0.07
12 ; offices_range1_agents ; 2 ; 0.07
13 ; offices_range1_agents ; 2 ; 0.08
14 ; offices_range1_agents ; 2 ; 0.08
15 ; offices_range1_agents ; 2 ; 0.08
16 ; offices_range1_agents ; 5 ; 0.08
17 ; offices_range1_agents ; 5 ; 0.08
18 ; offices_range1_agents ; 5 ; 0.08
19 ; offices_range1_agents ; 2 ; 0.09
20 ; offices_range1_agents ; 2 ; 0.09
21 ; offices_range1_agents ; 5 ; 0.09
22 ; offices_range1_agents ; 5 ; 0.09
23 ; offices_range1_agents ; 2 ; 0.1
24 ; offices_range1_agents ; 5 ; 0.1
25 ; offices_range1_agents ; 5 ; 0.1
26 ; offices_range1_agents ; 5 ; 0.11
27 ; offices_range1_agents ; 5 ; 0.11
28 ; offices_range1_agents ; 5 ; 0.11
29 ; offices_range1_agents ; 5 ; 0.12
30 ; offices_range1_agents ; 5 ; 0.12
31 ; offices_range1_agents ; 5 ; 0.12
32 ; offices_range1_agents ; 5 ; 0.13
33 ; offices_range1_agents ; 5 ; 0.14
34 ; offices_range1_agents ; 5 ; 0.14
35 ; offices_range1_agents ; 5 ; 0.14
36 ; offices_range1_agents ; 5 ; 0.15
37 ; offices_range1_agents ; 5 ; 0.15
38 ; offices_range1_agents ; 5 ; 0.15
39 ; offices_range1_agents ; 10 ; 0.16
40 ; offices_range1_agents ; 10 ; 0.17
41 ; offices_range1_agents ; 10 ; 0.19
42 ; offices_range1_agents ; 2 ; 0.2
43 ; offices_range1_agents ; 10 ; 0.2
44 ; offices_range1_agents ; 10 ; 0.25
45 ; offices_range1_agents ; 15 ; 0.25
46 ; offices_range1_agents ; 10 ; 0.29
47 ; offices_range1_agents ; 10 ; 0.31
48 ; offices_range1_agents ; 10 ; 0.31
49 ; offices_range1_agents ; 10 ; 0.31
50 ; offices_range1_agents ; 10 ; 0.34
51 ; offices_range1_agents ; 10 ; 0.38
52 ; offices_range1_agents ; 10 ; 0.4
53 ; offices_range1_agents ; 10 ; 0.4
54 ; offices_range1_agents ; 15 ; 0.41
55 ; offices_range1_agents ; 10 ; 0.42
56 ; offices_range1_agents ; 15 ; 0.48
57 ; offices_range1_agents ; 10 ; 0.5
58 ; offices_range1_agents ; 15 ; 0.51
59 ; offices_range1_agents ; 10 ; 0.53
60 ; offices_range1_agents ; 15 ; 0.54
61 ; offices_range1_agents ; 15 ; 0.56
62 ; offices_range1_agents ; 10 ; 0.57
63 ; offices_range1_agents ; 15 ; 0.58
64 ; offices_range1_agents ; 10 ; 0.59
65 ; offices_range1_agents ; 10 ; 0.61
66 ; offices_range1_agents ; 15 ; 0.61
67 ; offices_range1_agents ; 20 ; 0.63
68 ; offices_range1_agents ; 20 ; 0.68
69 ; offices_range1_agents ; 15 ; 0.71
70 ; offices_range1_agents ; 15 ; 0.79
71 ; offices_range1_agents ; 15 ; 0.81
72 ; offices_range1_agents ; 15 ; 0.85
73 ; offices_range1_agents ; 15 ; 0.88
74 ; offices_range1_agents ; 20 ; 0.97
75 ; offices_range1_agents ; 10 ; 1.06
76 ; offices_range1_agents ; 20 ; 1.06
77 ; offices_range1_agents ; 15 ; 1.1
78 ; offices_range1_agents ; 15 ; 1.11
79 ; offices_range1_agents ; 20 ; 1.11
80 ; offices_range1_agents ; 15 ; 1.13
81 ; offices_range1_agents ; 20 ; 1.21
82 ; offices_range1_agents ; 15 ; 1.23
83 ; offices_range1_agents ; 15 ; 1.24
84 ; offices_range1_agents ; 20 ; 1.34
85 ; offices_range1_agents ; 15 ; 1.42
86 ; offices_range1_agents ; 20 ; 1.42
87 ; offices_range1_agents ; 20 ; 1.54
88 ; offices_range1_agents ; 15 ; 1.66
89 ; offices_range1_agents ; 20 ; 1.89
90 ; offices_range1_agents ; 20 ; 1.9
91 ; offices_range1_agents ; 20 ; 1.91
92 ; offices_range1_agents ; 20 ; 2.08
93 ; offices_range1_agents ; 20 ; 2.38
94 ; offices_range1_agents ; 20 ; 2.52
95 ; offices_range1_agents ; 30 ; 2.65
96 ; offices_range1_agents ; 20 ; 2.84
97 ; offices_range1_agents ; 20 ; 2.99
98 ; offices_range1_agents ; 30 ; 3.1
99 ; offices_range1_agents ; 30 ; 3.2
100 ; offices_range1_agents ; 30 ; 3.71
101 ; offices_range1_agents ; 30 ; 3.79
102 ; offices_range1_agents ; 30 ; 3.81
103 ; offices_range1_agents ; 30 ; 3.88
104 ; offices_range1_agents ; 20 ; 3.93
105 ; offices_range1_agents ; 40 ; 4.12
106 ; offices_range1_agents ; 30 ; 4.59
107 ; offices_range1_agents ; 30 ; 4.86
108 ; offices_range1_agents ; 20 ; 4.96
109 ; offices_range1_agents ; 30 ; 5.08
110 ; offices_range1_agents ; 30 ; 5.46
111 ; offices_range1_agents ; 40 ; 5.97
112 ; offices_range1_agents ; 20 ; 6.6
113 ; offices_range1_agents ; 40 ; 7.25
114 ; offices_range1_agents ; 30 ; 8.07
115 ; offices_range1_agents ; 40 ; 9.38
116 ; offices_range1_agents ; 30 ; 10.85
117 ; offices_range1_agents ; 30 ; 16.79
118 ; offices_range1_agents ; 30 ; 19.34
119 ; offices_range1_agents ; 30 ; 20.95
120 ; offices_range1_agents ; 30 ; 25.2
121 ; offices_range1_agents ; 40 ; 33.65
122 ; offices_range1_agents ; 40 ; 34.03
123 ; offices_range1_agents ; 30 ; 55.21
124 ; offices_range1_agents ; 40 ; 55.62
125 ; offices_range1_agents ; 30 ; 64.08
