id ; Experiment ; nb_agents ; time
0 ; parallel_range4_agents ; 2 ; 0.08
1 ; parallel_range4_agents ; 2 ; 0.08
2 ; parallel_range4_agents ; 2 ; 0.08
3 ; parallel_range4_agents ; 2 ; 0.09
4 ; parallel_range4_agents ; 2 ; 0.09
5 ; parallel_range4_agents ; 2 ; 0.09
6 ; parallel_range4_agents ; 2 ; 0.09
7 ; parallel_range4_agents ; 2 ; 0.09
8 ; parallel_range4_agents ; 2 ; 0.09
9 ; parallel_range4_agents ; 2 ; 0.09
10 ; parallel_range4_agents ; 2 ; 0.1
11 ; parallel_range4_agents ; 5 ; 0.1
12 ; parallel_range4_agents ; 2 ; 0.11
13 ; parallel_range4_agents ; 5 ; 0.11
14 ; parallel_range4_agents ; 2 ; 0.12
15 ; parallel_range4_agents ; 5 ; 0.12
16 ; parallel_range4_agents ; 5 ; 0.12
17 ; parallel_range4_agents ; 5 ; 0.12
18 ; parallel_range4_agents ; 2 ; 0.13
19 ; parallel_range4_agents ; 2 ; 0.13
20 ; parallel_range4_agents ; 2 ; 0.13
21 ; parallel_range4_agents ; 5 ; 0.13
22 ; parallel_range4_agents ; 5 ; 0.13
23 ; parallel_range4_agents ; 2 ; 0.14
24 ; parallel_range4_agents ; 5 ; 0.14
25 ; parallel_range4_agents ; 2 ; 0.15
26 ; parallel_range4_agents ; 2 ; 0.15
27 ; parallel_range4_agents ; 5 ; 0.15
28 ; parallel_range4_agents ; 5 ; 0.15
29 ; parallel_range4_agents ; 5 ; 0.16
30 ; parallel_range4_agents ; 5 ; 0.17
31 ; parallel_range4_agents ; 5 ; 0.17
32 ; parallel_range4_agents ; 5 ; 0.17
33 ; parallel_range4_agents ; 10 ; 0.17
34 ; parallel_range4_agents ; 5 ; 0.18
35 ; parallel_range4_agents ; 2 ; 0.19
36 ; parallel_range4_agents ; 5 ; 0.2
37 ; parallel_range4_agents ; 10 ; 0.21
38 ; parallel_range4_agents ; 5 ; 0.22
39 ; parallel_range4_agents ; 10 ; 0.22
40 ; parallel_range4_agents ; 10 ; 0.23
41 ; parallel_range4_agents ; 10 ; 0.24
42 ; parallel_range4_agents ; 10 ; 0.28
43 ; parallel_range4_agents ; 10 ; 0.28
44 ; parallel_range4_agents ; 15 ; 0.28
45 ; parallel_range4_agents ; 5 ; 0.32
46 ; parallel_range4_agents ; 10 ; 0.33
47 ; parallel_range4_agents ; 10 ; 0.33
48 ; parallel_range4_agents ; 10 ; 0.33
49 ; parallel_range4_agents ; 15 ; 0.35
50 ; parallel_range4_agents ; 15 ; 0.36
51 ; parallel_range4_agents ; 10 ; 0.37
52 ; parallel_range4_agents ; 15 ; 0.37
53 ; parallel_range4_agents ; 10 ; 0.39
54 ; parallel_range4_agents ; 10 ; 0.4
55 ; parallel_range4_agents ; 20 ; 0.42
56 ; parallel_range4_agents ; 10 ; 0.43
57 ; parallel_range4_agents ; 10 ; 0.43
58 ; parallel_range4_agents ; 10 ; 0.44
59 ; parallel_range4_agents ; 10 ; 0.44
60 ; parallel_range4_agents ; 15 ; 0.47
61 ; parallel_range4_agents ; 15 ; 0.49
62 ; parallel_range4_agents ; 20 ; 0.53
63 ; parallel_range4_agents ; 10 ; 0.56
64 ; parallel_range4_agents ; 15 ; 0.56
65 ; parallel_range4_agents ; 15 ; 0.56
66 ; parallel_range4_agents ; 20 ; 0.58
67 ; parallel_range4_agents ; 20 ; 0.63
68 ; parallel_range4_agents ; 10 ; 0.64
