id ; Experiment ; nb_agents ; cost
0 ; small_obstacles_range3_3d_agents ; 10 ; 14.0
1 ; small_obstacles_range3_3d_agents ; 2 ; 15.0
2 ; small_obstacles_range3_3d_agents ; 2 ; 19.0
3 ; small_obstacles_range3_3d_agents ; 2 ; 22.0
4 ; small_obstacles_range3_3d_agents ; 2 ; 24.0
5 ; small_obstacles_range3_3d_agents ; 2 ; 26.0
6 ; small_obstacles_range3_3d_agents ; 2 ; 27.0
7 ; small_obstacles_range3_3d_agents ; 5 ; 28.0
8 ; small_obstacles_range3_3d_agents ; 2 ; 31.0
9 ; small_obstacles_range3_3d_agents ; 5 ; 33.0
10 ; small_obstacles_range3_3d_agents ; 5 ; 35.0
11 ; small_obstacles_range3_3d_agents ; 5 ; 35.0
12 ; small_obstacles_range3_3d_agents ; 5 ; 38.0
13 ; small_obstacles_range3_3d_agents ; 2 ; 39.0
14 ; small_obstacles_range3_3d_agents ; 5 ; 40.0
15 ; small_obstacles_range3_3d_agents ; 20 ; 40.0
16 ; small_obstacles_range3_3d_agents ; 5 ; 41.0
17 ; small_obstacles_range3_3d_agents ; 2 ; 42.0
18 ; small_obstacles_range3_3d_agents ; 2 ; 42.0
19 ; small_obstacles_range3_3d_agents ; 5 ; 43.0
20 ; small_obstacles_range3_3d_agents ; 5 ; 46.0
21 ; small_obstacles_range3_3d_agents ; 15 ; 46.0
22 ; small_obstacles_range3_3d_agents ; 2 ; 47.0
23 ; small_obstacles_range3_3d_agents ; 5 ; 47.0
24 ; small_obstacles_range3_3d_agents ; 2 ; 49.0
25 ; small_obstacles_range3_3d_agents ; 10 ; 49.0
26 ; small_obstacles_range3_3d_agents ; 2 ; 50.0
27 ; small_obstacles_range3_3d_agents ; 2 ; 52.0
28 ; small_obstacles_range3_3d_agents ; 2 ; 53.0
29 ; small_obstacles_range3_3d_agents ; 5 ; 53.0
30 ; small_obstacles_range3_3d_agents ; 30 ; 55.0
31 ; small_obstacles_range3_3d_agents ; 5 ; 56.0
32 ; small_obstacles_range3_3d_agents ; 2 ; 57.0
33 ; small_obstacles_range3_3d_agents ; 15 ; 57.0
34 ; small_obstacles_range3_3d_agents ; 2 ; 58.0
35 ; small_obstacles_range3_3d_agents ; 30 ; 60.0
36 ; small_obstacles_range3_3d_agents ; 10 ; 62.0
37 ; small_obstacles_range3_3d_agents ; 2 ; 63.0
38 ; small_obstacles_range3_3d_agents ; 5 ; 64.0
39 ; small_obstacles_range3_3d_agents ; 5 ; 66.0
40 ; small_obstacles_range3_3d_agents ; 15 ; 67.0
41 ; small_obstacles_range3_3d_agents ; 2 ; 69.0
42 ; small_obstacles_range3_3d_agents ; 10 ; 69.0
43 ; small_obstacles_range3_3d_agents ; 5 ; 70.0
44 ; small_obstacles_range3_3d_agents ; 5 ; 70.0
45 ; small_obstacles_range3_3d_agents ; 2 ; 72.0
46 ; small_obstacles_range3_3d_agents ; 15 ; 73.0
47 ; small_obstacles_range3_3d_agents ; 30 ; 75.0
48 ; small_obstacles_range3_3d_agents ; 5 ; 79.0
49 ; small_obstacles_range3_3d_agents ; 10 ; 80.0
50 ; small_obstacles_range3_3d_agents ; 10 ; 84.0
51 ; small_obstacles_range3_3d_agents ; 20 ; 84.0
52 ; small_obstacles_range3_3d_agents ; 15 ; 85.0
53 ; small_obstacles_range3_3d_agents ; 5 ; 88.0
54 ; small_obstacles_range3_3d_agents ; 10 ; 88.0
55 ; small_obstacles_range3_3d_agents ; 10 ; 94.0
56 ; small_obstacles_range3_3d_agents ; 10 ; 97.0
57 ; small_obstacles_range3_3d_agents ; 5 ; 98.0
58 ; small_obstacles_range3_3d_agents ; 15 ; 98.0
59 ; small_obstacles_range3_3d_agents ; 20 ; 101.0
60 ; small_obstacles_range3_3d_agents ; 5 ; 112.0
61 ; small_obstacles_range3_3d_agents ; 10 ; 112.0
62 ; small_obstacles_range3_3d_agents ; 15 ; 120.0
63 ; small_obstacles_range3_3d_agents ; 20 ; 124.0
64 ; small_obstacles_range3_3d_agents ; 10 ; 128.0
65 ; small_obstacles_range3_3d_agents ; 10 ; 130.0
66 ; small_obstacles_range3_3d_agents ; 15 ; 133.0
67 ; small_obstacles_range3_3d_agents ; 60 ; 146.0
68 ; small_obstacles_range3_3d_agents ; 20 ; 149.0
69 ; small_obstacles_range3_3d_agents ; 10 ; 160.0
70 ; small_obstacles_range3_3d_agents ; 10 ; 165.0
71 ; small_obstacles_range3_3d_agents ; 50 ; 165.0
72 ; small_obstacles_range3_3d_agents ; 100 ; 165.0
73 ; small_obstacles_range3_3d_agents ; 10 ; 168.0
74 ; small_obstacles_range3_3d_agents ; 60 ; 169.0
75 ; small_obstacles_range3_3d_agents ; 50 ; 175.0
76 ; small_obstacles_range3_3d_agents ; 30 ; 181.0
77 ; small_obstacles_range3_3d_agents ; 125 ; 181.0
78 ; small_obstacles_range3_3d_agents ; 20 ; 183.0
79 ; small_obstacles_range3_3d_agents ; 50 ; 185.0
80 ; small_obstacles_range3_3d_agents ; 100 ; 187.0
81 ; small_obstacles_range3_3d_agents ; 80 ; 190.0
82 ; small_obstacles_range3_3d_agents ; 20 ; 192.0
83 ; small_obstacles_range3_3d_agents ; 60 ; 192.0
84 ; small_obstacles_range3_3d_agents ; 30 ; 194.0
85 ; small_obstacles_range3_3d_agents ; 10 ; 205.0
86 ; small_obstacles_range3_3d_agents ; 15 ; 212.0
87 ; small_obstacles_range3_3d_agents ; 15 ; 214.0
88 ; small_obstacles_range3_3d_agents ; 10 ; 215.0
89 ; small_obstacles_range3_3d_agents ; 30 ; 228.0
90 ; small_obstacles_range3_3d_agents ; 15 ; 229.0
91 ; small_obstacles_range3_3d_agents ; 20 ; 230.0
92 ; small_obstacles_range3_3d_agents ; 15 ; 232.0
93 ; small_obstacles_range3_3d_agents ; 50 ; 232.0
94 ; small_obstacles_range3_3d_agents ; 15 ; 234.0
95 ; small_obstacles_range3_3d_agents ; 15 ; 236.0
96 ; small_obstacles_range3_3d_agents ; 40 ; 241.0
97 ; small_obstacles_range3_3d_agents ; 20 ; 247.0
98 ; small_obstacles_range3_3d_agents ; 50 ; 249.0
99 ; small_obstacles_range3_3d_agents ; 30 ; 253.0
100 ; small_obstacles_range3_3d_agents ; 10 ; 256.0
101 ; small_obstacles_range3_3d_agents ; 30 ; 258.0
102 ; small_obstacles_range3_3d_agents ; 30 ; 262.0
103 ; small_obstacles_range3_3d_agents ; 10 ; 268.0
104 ; small_obstacles_range3_3d_agents ; 80 ; 268.0
105 ; small_obstacles_range3_3d_agents ; 20 ; 270.0
106 ; small_obstacles_range3_3d_agents ; 100 ; 273.0
107 ; small_obstacles_range3_3d_agents ; 20 ; 290.0
108 ; small_obstacles_range3_3d_agents ; 15 ; 293.0
109 ; small_obstacles_range3_3d_agents ; 20 ; 295.0
110 ; small_obstacles_range3_3d_agents ; 15 ; 302.0
111 ; small_obstacles_range3_3d_agents ; 15 ; 313.0
112 ; small_obstacles_range3_3d_agents ; 40 ; 330.0
113 ; small_obstacles_range3_3d_agents ; 40 ; 335.0
114 ; small_obstacles_range3_3d_agents ; 40 ; 344.0
115 ; small_obstacles_range3_3d_agents ; 40 ; 350.0
116 ; small_obstacles_range3_3d_agents ; 40 ; 372.0
117 ; small_obstacles_range3_3d_agents ; 60 ; 375.0
118 ; small_obstacles_range3_3d_agents ; 30 ; 380.0
119 ; small_obstacles_range3_3d_agents ; 50 ; 385.0
120 ; small_obstacles_range3_3d_agents ; 80 ; 388.0
121 ; small_obstacles_range3_3d_agents ; 30 ; 399.0
122 ; small_obstacles_range3_3d_agents ; 30 ; 403.0
123 ; small_obstacles_range3_3d_agents ; 40 ; 405.0
124 ; small_obstacles_range3_3d_agents ; 80 ; 405.0
125 ; small_obstacles_range3_3d_agents ; 20 ; 409.0
126 ; small_obstacles_range3_3d_agents ; 15 ; 410.0
127 ; small_obstacles_range3_3d_agents ; 30 ; 411.0
128 ; small_obstacles_range3_3d_agents ; 40 ; 411.0
129 ; small_obstacles_range3_3d_agents ; 60 ; 421.0
130 ; small_obstacles_range3_3d_agents ; 20 ; 434.0
131 ; small_obstacles_range3_3d_agents ; 60 ; 450.0
132 ; small_obstacles_range3_3d_agents ; 50 ; 452.0
133 ; small_obstacles_range3_3d_agents ; 40 ; 457.0
134 ; small_obstacles_range3_3d_agents ; 50 ; 464.0
135 ; small_obstacles_range3_3d_agents ; 40 ; 471.0
136 ; small_obstacles_range3_3d_agents ; 20 ; 474.0
137 ; small_obstacles_range3_3d_agents ; 40 ; 485.0
138 ; small_obstacles_range3_3d_agents ; 40 ; 491.0
139 ; small_obstacles_range3_3d_agents ; 50 ; 492.0
140 ; small_obstacles_range3_3d_agents ; 30 ; 495.0
141 ; small_obstacles_range3_3d_agents ; 20 ; 500.0
142 ; small_obstacles_range3_3d_agents ; 50 ; 508.0
143 ; small_obstacles_range3_3d_agents ; 50 ; 521.0
144 ; small_obstacles_range3_3d_agents ; 40 ; 523.0
145 ; small_obstacles_range3_3d_agents ; 30 ; 527.0
146 ; small_obstacles_range3_3d_agents ; 50 ; 527.0
147 ; small_obstacles_range3_3d_agents ; 10 ; 528.0
148 ; small_obstacles_range3_3d_agents ; 15 ; 536.0
149 ; small_obstacles_range3_3d_agents ; 50 ; 562.0
150 ; small_obstacles_range3_3d_agents ; 60 ; 567.0
151 ; small_obstacles_range3_3d_agents ; 60 ; 580.0
152 ; small_obstacles_range3_3d_agents ; 60 ; 589.0
153 ; small_obstacles_range3_3d_agents ; 30 ; 594.0
154 ; small_obstacles_range3_3d_agents ; 80 ; 594.0
155 ; small_obstacles_range3_3d_agents ; 40 ; 602.0
156 ; small_obstacles_range3_3d_agents ; 60 ; 607.0
157 ; small_obstacles_range3_3d_agents ; 50 ; 639.0
158 ; small_obstacles_range3_3d_agents ; 30 ; 652.0
159 ; small_obstacles_range3_3d_agents ; 30 ; 659.0
160 ; small_obstacles_range3_3d_agents ; 60 ; 664.0
161 ; small_obstacles_range3_3d_agents ; 60 ; 665.0
162 ; small_obstacles_range3_3d_agents ; 40 ; 671.0
163 ; small_obstacles_range3_3d_agents ; 20 ; 680.0
164 ; small_obstacles_range3_3d_agents ; 60 ; 692.0
165 ; small_obstacles_range3_3d_agents ; 80 ; 692.0
166 ; small_obstacles_range3_3d_agents ; 50 ; 750.0
167 ; small_obstacles_range3_3d_agents ; 20 ; 756.0
168 ; small_obstacles_range3_3d_agents ; 80 ; 782.0
169 ; small_obstacles_range3_3d_agents ; 20 ; 806.0
170 ; small_obstacles_range3_3d_agents ; 80 ; 863.0
171 ; small_obstacles_range3_3d_agents ; 50 ; 870.0
172 ; small_obstacles_range3_3d_agents ; 50 ; 877.0
173 ; small_obstacles_range3_3d_agents ; 50 ; 979.0
174 ; small_obstacles_range3_3d_agents ; 40 ; 997.0
175 ; small_obstacles_range3_3d_agents ; 20 ; 1074.0
176 ; small_obstacles_range3_3d_agents ; 60 ; 1130.0
177 ; small_obstacles_range3_3d_agents ; 30 ; 1163.0
178 ; small_obstacles_range3_3d_agents ; 50 ; 1480.0
179 ; small_obstacles_range3_3d_agents ; 40 ; 1644.0
