id ; Experiment ; nb_agents ; time
0 ; parallel_range4_agents ; 2 ; 0.02
1 ; parallel_range4_agents ; 2 ; 0.03
2 ; parallel_range4_agents ; 2 ; 0.03
3 ; parallel_range4_agents ; 2 ; 0.03
4 ; parallel_range4_agents ; 2 ; 0.03
5 ; parallel_range4_agents ; 2 ; 0.03
6 ; parallel_range4_agents ; 5 ; 0.03
7 ; parallel_range4_agents ; 5 ; 0.03
8 ; parallel_range4_agents ; 5 ; 0.03
9 ; parallel_range4_agents ; 2 ; 0.04
10 ; parallel_range4_agents ; 2 ; 0.04
11 ; parallel_range4_agents ; 2 ; 0.04
12 ; parallel_range4_agents ; 2 ; 0.04
13 ; parallel_range4_agents ; 2 ; 0.04
14 ; parallel_range4_agents ; 5 ; 0.04
15 ; parallel_range4_agents ; 5 ; 0.04
16 ; parallel_range4_agents ; 5 ; 0.04
17 ; parallel_range4_agents ; 5 ; 0.04
18 ; parallel_range4_agents ; 5 ; 0.04
19 ; parallel_range4_agents ; 5 ; 0.04
20 ; parallel_range4_agents ; 5 ; 0.04
21 ; parallel_range4_agents ; 10 ; 0.04
22 ; parallel_range4_agents ; 2 ; 0.05
23 ; parallel_range4_agents ; 2 ; 0.05
24 ; parallel_range4_agents ; 2 ; 0.05
25 ; parallel_range4_agents ; 2 ; 0.05
26 ; parallel_range4_agents ; 2 ; 0.05
27 ; parallel_range4_agents ; 2 ; 0.05
28 ; parallel_range4_agents ; 2 ; 0.05
29 ; parallel_range4_agents ; 5 ; 0.05
30 ; parallel_range4_agents ; 5 ; 0.05
31 ; parallel_range4_agents ; 15 ; 0.05
32 ; parallel_range4_agents ; 5 ; 0.06
33 ; parallel_range4_agents ; 5 ; 0.06
34 ; parallel_range4_agents ; 5 ; 0.06
35 ; parallel_range4_agents ; 5 ; 0.06
36 ; parallel_range4_agents ; 5 ; 0.06
37 ; parallel_range4_agents ; 5 ; 0.06
38 ; parallel_range4_agents ; 5 ; 0.06
39 ; parallel_range4_agents ; 10 ; 0.06
40 ; parallel_range4_agents ; 10 ; 0.06
41 ; parallel_range4_agents ; 2 ; 0.07
42 ; parallel_range4_agents ; 10 ; 0.07
43 ; parallel_range4_agents ; 10 ; 0.07
44 ; parallel_range4_agents ; 10 ; 0.07
45 ; parallel_range4_agents ; 10 ; 0.08
46 ; parallel_range4_agents ; 10 ; 0.08
47 ; parallel_range4_agents ; 15 ; 0.08
48 ; parallel_range4_agents ; 10 ; 0.09
49 ; parallel_range4_agents ; 15 ; 0.09
50 ; parallel_range4_agents ; 10 ; 0.1
51 ; parallel_range4_agents ; 10 ; 0.1
52 ; parallel_range4_agents ; 15 ; 0.1
53 ; parallel_range4_agents ; 15 ; 0.1
54 ; parallel_range4_agents ; 15 ; 0.1
55 ; parallel_range4_agents ; 2 ; 0.11
56 ; parallel_range4_agents ; 10 ; 0.12
57 ; parallel_range4_agents ; 10 ; 0.12
58 ; parallel_range4_agents ; 15 ; 0.12
59 ; parallel_range4_agents ; 15 ; 0.12
60 ; parallel_range4_agents ; 15 ; 0.12
61 ; parallel_range4_agents ; 15 ; 0.12
62 ; parallel_range4_agents ; 30 ; 0.12
63 ; parallel_range4_agents ; 30 ; 0.13
64 ; parallel_range4_agents ; 15 ; 0.14
65 ; parallel_range4_agents ; 15 ; 0.14
66 ; parallel_range4_agents ; 15 ; 0.14
67 ; parallel_range4_agents ; 20 ; 0.14
68 ; parallel_range4_agents ; 20 ; 0.14
69 ; parallel_range4_agents ; 10 ; 0.15
70 ; parallel_range4_agents ; 10 ; 0.15
71 ; parallel_range4_agents ; 15 ; 0.15
72 ; parallel_range4_agents ; 30 ; 0.15
73 ; parallel_range4_agents ; 10 ; 0.16
74 ; parallel_range4_agents ; 20 ; 0.16
75 ; parallel_range4_agents ; 10 ; 0.17
76 ; parallel_range4_agents ; 15 ; 0.18
77 ; parallel_range4_agents ; 20 ; 0.18
78 ; parallel_range4_agents ; 20 ; 0.18
79 ; parallel_range4_agents ; 30 ; 0.18
80 ; parallel_range4_agents ; 20 ; 0.19
81 ; parallel_range4_agents ; 30 ; 0.19
82 ; parallel_range4_agents ; 20 ; 0.2
83 ; parallel_range4_agents ; 20 ; 0.2
84 ; parallel_range4_agents ; 30 ; 0.2
85 ; parallel_range4_agents ; 10 ; 0.21
86 ; parallel_range4_agents ; 20 ; 0.21
87 ; parallel_range4_agents ; 15 ; 0.22
88 ; parallel_range4_agents ; 20 ; 0.22
89 ; parallel_range4_agents ; 20 ; 0.22
90 ; parallel_range4_agents ; 20 ; 0.22
91 ; parallel_range4_agents ; 40 ; 0.22
92 ; parallel_range4_agents ; 10 ; 0.23
93 ; parallel_range4_agents ; 5 ; 0.24
94 ; parallel_range4_agents ; 15 ; 0.24
95 ; parallel_range4_agents ; 20 ; 0.24
96 ; parallel_range4_agents ; 20 ; 0.25
97 ; parallel_range4_agents ; 30 ; 0.25
98 ; parallel_range4_agents ; 30 ; 0.25
99 ; parallel_range4_agents ; 15 ; 0.26
100 ; parallel_range4_agents ; 30 ; 0.26
101 ; parallel_range4_agents ; 20 ; 0.27
102 ; parallel_range4_agents ; 20 ; 0.27
103 ; parallel_range4_agents ; 30 ; 0.27
104 ; parallel_range4_agents ; 15 ; 0.31
105 ; parallel_range4_agents ; 30 ; 0.36
106 ; parallel_range4_agents ; 40 ; 0.36
107 ; parallel_range4_agents ; 30 ; 0.43
108 ; parallel_range4_agents ; 40 ; 0.44
109 ; parallel_range4_agents ; 40 ; 0.47
110 ; parallel_range4_agents ; 30 ; 0.48
111 ; parallel_range4_agents ; 40 ; 0.5
112 ; parallel_range4_agents ; 40 ; 0.5
113 ; parallel_range4_agents ; 10 ; 0.53
114 ; parallel_range4_agents ; 30 ; 0.58
115 ; parallel_range4_agents ; 40 ; 0.6
116 ; parallel_range4_agents ; 40 ; 0.61
117 ; parallel_range4_agents ; 40 ; 0.62
118 ; parallel_range4_agents ; 60 ; 0.62
119 ; parallel_range4_agents ; 50 ; 0.64
120 ; parallel_range4_agents ; 40 ; 0.66
121 ; parallel_range4_agents ; 60 ; 0.66
122 ; parallel_range4_agents ; 40 ; 0.68
123 ; parallel_range4_agents ; 40 ; 0.68
124 ; parallel_range4_agents ; 60 ; 0.7
125 ; parallel_range4_agents ; 30 ; 0.78
126 ; parallel_range4_agents ; 80 ; 0.78
127 ; parallel_range4_agents ; 60 ; 0.79
128 ; parallel_range4_agents ; 50 ; 0.83
129 ; parallel_range4_agents ; 60 ; 0.83
130 ; parallel_range4_agents ; 60 ; 0.86
131 ; parallel_range4_agents ; 60 ; 0.88
132 ; parallel_range4_agents ; 50 ; 0.89
133 ; parallel_range4_agents ; 60 ; 0.9
134 ; parallel_range4_agents ; 60 ; 0.91
135 ; parallel_range4_agents ; 20 ; 0.93
136 ; parallel_range4_agents ; 40 ; 0.98
137 ; parallel_range4_agents ; 60 ; 0.98
138 ; parallel_range4_agents ; 60 ; 1.01
139 ; parallel_range4_agents ; 40 ; 1.13
140 ; parallel_range4_agents ; 50 ; 1.15
141 ; parallel_range4_agents ; 40 ; 1.18
142 ; parallel_range4_agents ; 60 ; 1.21
143 ; parallel_range4_agents ; 80 ; 1.21
144 ; parallel_range4_agents ; 50 ; 1.22
145 ; parallel_range4_agents ; 60 ; 1.4
146 ; parallel_range4_agents ; 50 ; 1.53
147 ; parallel_range4_agents ; 50 ; 1.55
148 ; parallel_range4_agents ; 80 ; 1.57
149 ; parallel_range4_agents ; 30 ; 1.59
150 ; parallel_range4_agents ; 50 ; 1.71
151 ; parallel_range4_agents ; 60 ; 1.71
152 ; parallel_range4_agents ; 100 ; 1.77
153 ; parallel_range4_agents ; 100 ; 1.78
154 ; parallel_range4_agents ; 40 ; 1.81
155 ; parallel_range4_agents ; 50 ; 1.81
156 ; parallel_range4_agents ; 30 ; 1.83
157 ; parallel_range4_agents ; 80 ; 1.86
158 ; parallel_range4_agents ; 60 ; 2.04
159 ; parallel_range4_agents ; 50 ; 2.44
160 ; parallel_range4_agents ; 60 ; 2.46
161 ; parallel_range4_agents ; 40 ; 2.71
162 ; parallel_range4_agents ; 100 ; 2.72
163 ; parallel_range4_agents ; 50 ; 2.74
164 ; parallel_range4_agents ; 80 ; 2.75
165 ; parallel_range4_agents ; 60 ; 2.83
166 ; parallel_range4_agents ; 80 ; 2.83
167 ; parallel_range4_agents ; 80 ; 3.28
168 ; parallel_range4_agents ; 80 ; 3.29
169 ; parallel_range4_agents ; 50 ; 3.33
170 ; parallel_range4_agents ; 80 ; 3.37
171 ; parallel_range4_agents ; 100 ; 3.43
172 ; parallel_range4_agents ; 100 ; 3.45
173 ; parallel_range4_agents ; 30 ; 3.72
174 ; parallel_range4_agents ; 20 ; 4.02
175 ; parallel_range4_agents ; 80 ; 4.02
176 ; parallel_range4_agents ; 80 ; 4.16
177 ; parallel_range4_agents ; 100 ; 4.16
178 ; parallel_range4_agents ; 80 ; 4.2
179 ; parallel_range4_agents ; 100 ; 4.24
180 ; parallel_range4_agents ; 15 ; 4.31
181 ; parallel_range4_agents ; 100 ; 5.16
182 ; parallel_range4_agents ; 80 ; 5.22
183 ; parallel_range4_agents ; 100 ; 5.57
184 ; parallel_range4_agents ; 100 ; 5.6
185 ; parallel_range4_agents ; 40 ; 6.31
186 ; parallel_range4_agents ; 125 ; 6.58
187 ; parallel_range4_agents ; 50 ; 6.65
188 ; parallel_range4_agents ; 50 ; 6.97
189 ; parallel_range4_agents ; 20 ; 7.34
190 ; parallel_range4_agents ; 60 ; 7.79
191 ; parallel_range4_agents ; 125 ; 7.89
192 ; parallel_range4_agents ; 125 ; 8.44
193 ; parallel_range4_agents ; 80 ; 9.11
194 ; parallel_range4_agents ; 175 ; 9.15
195 ; parallel_range4_agents ; 50 ; 9.48
196 ; parallel_range4_agents ; 40 ; 9.84
197 ; parallel_range4_agents ; 50 ; 10.32
198 ; parallel_range4_agents ; 175 ; 10.42
199 ; parallel_range4_agents ; 150 ; 11.09
200 ; parallel_range4_agents ; 80 ; 11.73
201 ; parallel_range4_agents ; 20 ; 12.06
202 ; parallel_range4_agents ; 125 ; 12.56
203 ; parallel_range4_agents ; 100 ; 12.67
204 ; parallel_range4_agents ; 50 ; 12.8
205 ; parallel_range4_agents ; 175 ; 12.88
206 ; parallel_range4_agents ; 80 ; 13.12
207 ; parallel_range4_agents ; 150 ; 13.7
208 ; parallel_range4_agents ; 125 ; 14.21
209 ; parallel_range4_agents ; 100 ; 14.44
210 ; parallel_range4_agents ; 125 ; 14.47
211 ; parallel_range4_agents ; 175 ; 15.05
212 ; parallel_range4_agents ; 150 ; 15.1
213 ; parallel_range4_agents ; 175 ; 16.04
214 ; parallel_range4_agents ; 125 ; 16.52
215 ; parallel_range4_agents ; 125 ; 17.65
216 ; parallel_range4_agents ; 175 ; 19.88
217 ; parallel_range4_agents ; 80 ; 22.02
218 ; parallel_range4_agents ; 80 ; 22.28
219 ; parallel_range4_agents ; 150 ; 22.33
220 ; parallel_range4_agents ; 125 ; 24.3
221 ; parallel_range4_agents ; 200 ; 24.32
