id ; Experiment ; nb_agents ; time
0 ; pyramid_range3_3d_agents ; 2 ; 0.02
1 ; pyramid_range3_3d_agents ; 2 ; 0.02
2 ; pyramid_range3_3d_agents ; 2 ; 0.03
3 ; pyramid_range3_3d_agents ; 2 ; 0.03
4 ; pyramid_range3_3d_agents ; 5 ; 0.03
5 ; pyramid_range3_3d_agents ; 2 ; 0.04
6 ; pyramid_range3_3d_agents ; 2 ; 0.04
7 ; pyramid_range3_3d_agents ; 2 ; 0.04
8 ; pyramid_range3_3d_agents ; 5 ; 0.04
9 ; pyramid_range3_3d_agents ; 5 ; 0.04
10 ; pyramid_range3_3d_agents ; 2 ; 0.05
11 ; pyramid_range3_3d_agents ; 2 ; 0.05
12 ; pyramid_range3_3d_agents ; 5 ; 0.05
13 ; pyramid_range3_3d_agents ; 5 ; 0.05
14 ; pyramid_range3_3d_agents ; 5 ; 0.05
15 ; pyramid_range3_3d_agents ; 5 ; 0.05
16 ; pyramid_range3_3d_agents ; 2 ; 0.06
17 ; pyramid_range3_3d_agents ; 2 ; 0.06
18 ; pyramid_range3_3d_agents ; 2 ; 0.06
19 ; pyramid_range3_3d_agents ; 2 ; 0.06
20 ; pyramid_range3_3d_agents ; 10 ; 0.06
21 ; pyramid_range3_3d_agents ; 2 ; 0.07
22 ; pyramid_range3_3d_agents ; 2 ; 0.07
23 ; pyramid_range3_3d_agents ; 2 ; 0.07
24 ; pyramid_range3_3d_agents ; 2 ; 0.07
25 ; pyramid_range3_3d_agents ; 5 ; 0.07
26 ; pyramid_range3_3d_agents ; 5 ; 0.07
27 ; pyramid_range3_3d_agents ; 5 ; 0.07
28 ; pyramid_range3_3d_agents ; 5 ; 0.07
29 ; pyramid_range3_3d_agents ; 10 ; 0.07
30 ; pyramid_range3_3d_agents ; 10 ; 0.07
31 ; pyramid_range3_3d_agents ; 2 ; 0.08
32 ; pyramid_range3_3d_agents ; 5 ; 0.08
33 ; pyramid_range3_3d_agents ; 5 ; 0.08
34 ; pyramid_range3_3d_agents ; 5 ; 0.08
35 ; pyramid_range3_3d_agents ; 5 ; 0.08
36 ; pyramid_range3_3d_agents ; 5 ; 0.08
37 ; pyramid_range3_3d_agents ; 5 ; 0.08
38 ; pyramid_range3_3d_agents ; 10 ; 0.08
39 ; pyramid_range3_3d_agents ; 15 ; 0.08
40 ; pyramid_range3_3d_agents ; 2 ; 0.09
41 ; pyramid_range3_3d_agents ; 5 ; 0.09
42 ; pyramid_range3_3d_agents ; 10 ; 0.09
43 ; pyramid_range3_3d_agents ; 5 ; 0.1
44 ; pyramid_range3_3d_agents ; 5 ; 0.1
45 ; pyramid_range3_3d_agents ; 15 ; 0.1
46 ; pyramid_range3_3d_agents ; 10 ; 0.11
47 ; pyramid_range3_3d_agents ; 10 ; 0.11
48 ; pyramid_range3_3d_agents ; 10 ; 0.12
49 ; pyramid_range3_3d_agents ; 10 ; 0.12
50 ; pyramid_range3_3d_agents ; 10 ; 0.12
51 ; pyramid_range3_3d_agents ; 15 ; 0.12
52 ; pyramid_range3_3d_agents ; 15 ; 0.12
53 ; pyramid_range3_3d_agents ; 10 ; 0.13
54 ; pyramid_range3_3d_agents ; 15 ; 0.13
55 ; pyramid_range3_3d_agents ; 10 ; 0.14
56 ; pyramid_range3_3d_agents ; 15 ; 0.14
57 ; pyramid_range3_3d_agents ; 2 ; 0.15
58 ; pyramid_range3_3d_agents ; 10 ; 0.15
59 ; pyramid_range3_3d_agents ; 20 ; 0.15
60 ; pyramid_range3_3d_agents ; 20 ; 0.15
61 ; pyramid_range3_3d_agents ; 15 ; 0.16
62 ; pyramid_range3_3d_agents ; 15 ; 0.16
63 ; pyramid_range3_3d_agents ; 15 ; 0.16
64 ; pyramid_range3_3d_agents ; 20 ; 0.16
65 ; pyramid_range3_3d_agents ; 10 ; 0.17
66 ; pyramid_range3_3d_agents ; 15 ; 0.17
67 ; pyramid_range3_3d_agents ; 20 ; 0.17
68 ; pyramid_range3_3d_agents ; 10 ; 0.18
69 ; pyramid_range3_3d_agents ; 10 ; 0.18
70 ; pyramid_range3_3d_agents ; 15 ; 0.18
71 ; pyramid_range3_3d_agents ; 20 ; 0.18
72 ; pyramid_range3_3d_agents ; 10 ; 0.19
73 ; pyramid_range3_3d_agents ; 15 ; 0.2
74 ; pyramid_range3_3d_agents ; 15 ; 0.2
75 ; pyramid_range3_3d_agents ; 10 ; 0.22
76 ; pyramid_range3_3d_agents ; 10 ; 0.23
77 ; pyramid_range3_3d_agents ; 20 ; 0.23
78 ; pyramid_range3_3d_agents ; 20 ; 0.25
79 ; pyramid_range3_3d_agents ; 20 ; 0.25
80 ; pyramid_range3_3d_agents ; 20 ; 0.25
81 ; pyramid_range3_3d_agents ; 15 ; 0.26
82 ; pyramid_range3_3d_agents ; 20 ; 0.27
83 ; pyramid_range3_3d_agents ; 20 ; 0.27
84 ; pyramid_range3_3d_agents ; 10 ; 0.28
85 ; pyramid_range3_3d_agents ; 15 ; 0.28
86 ; pyramid_range3_3d_agents ; 15 ; 0.31
87 ; pyramid_range3_3d_agents ; 15 ; 0.31
88 ; pyramid_range3_3d_agents ; 30 ; 0.31
89 ; pyramid_range3_3d_agents ; 20 ; 0.32
90 ; pyramid_range3_3d_agents ; 20 ; 0.34
91 ; pyramid_range3_3d_agents ; 20 ; 0.35
92 ; pyramid_range3_3d_agents ; 20 ; 0.35
93 ; pyramid_range3_3d_agents ; 30 ; 0.35
94 ; pyramid_range3_3d_agents ; 40 ; 0.36
95 ; pyramid_range3_3d_agents ; 30 ; 0.38
