Experiment ; nb_agents ; success_rate
small_obstacles_range3_3d_agents ; 2 ; 1.0
small_obstacles_range3_3d_agents ; 5 ; 1.0
small_obstacles_range3_3d_agents ; 10 ; 1.0
small_obstacles_range3_3d_agents ; 15 ; 1.0
small_obstacles_range3_3d_agents ; 20 ; 1.0
small_obstacles_range3_3d_agents ; 30 ; 1.0
small_obstacles_range3_3d_agents ; 40 ; 1.0
small_obstacles_range3_3d_agents ; 50 ; 1.0
small_obstacles_range3_3d_agents ; 60 ; 0.95
small_obstacles_range3_3d_agents ; 80 ; 0.95
small_obstacles_range3_3d_agents ; 100 ; 1.0
small_obstacles_range3_3d_agents ; 125 ; 0.95
small_obstacles_range3_3d_agents ; 150 ; 0.7
small_obstacles_range3_3d_agents ; 175 ; 0.45
small_obstacles_range3_3d_agents ; 200 ; 0.3
small_obstacles_range3_3d_agents ; 225 ; 0.35
small_obstacles_range3_3d_agents ; 250 ; 0.15
small_obstacles_range3_3d_agents ; 275 ; 0.1
small_obstacles_range3_3d_agents ; 300 ; 0.0
