id ; Experiment ; nb_agents ; time
0 ; small_obstacles_range3_3d_agents ; 2 ; 0.27
1 ; small_obstacles_range3_3d_agents ; 2 ; 0.28
2 ; small_obstacles_range3_3d_agents ; 2 ; 0.28
3 ; small_obstacles_range3_3d_agents ; 2 ; 0.29
4 ; small_obstacles_range3_3d_agents ; 2 ; 0.29
5 ; small_obstacles_range3_3d_agents ; 2 ; 0.3
6 ; small_obstacles_range3_3d_agents ; 2 ; 0.3
7 ; small_obstacles_range3_3d_agents ; 2 ; 0.3
8 ; small_obstacles_range3_3d_agents ; 2 ; 0.31
9 ; small_obstacles_range3_3d_agents ; 2 ; 0.31
10 ; small_obstacles_range3_3d_agents ; 2 ; 0.31
11 ; small_obstacles_range3_3d_agents ; 2 ; 0.31
12 ; small_obstacles_range3_3d_agents ; 2 ; 0.33
13 ; small_obstacles_range3_3d_agents ; 2 ; 0.33
14 ; small_obstacles_range3_3d_agents ; 2 ; 0.33
15 ; small_obstacles_range3_3d_agents ; 5 ; 0.33
16 ; small_obstacles_range3_3d_agents ; 5 ; 0.33
17 ; small_obstacles_range3_3d_agents ; 5 ; 0.34
18 ; small_obstacles_range3_3d_agents ; 5 ; 0.34
19 ; small_obstacles_range3_3d_agents ; 2 ; 0.35
20 ; small_obstacles_range3_3d_agents ; 5 ; 0.35
21 ; small_obstacles_range3_3d_agents ; 5 ; 0.35
22 ; small_obstacles_range3_3d_agents ; 5 ; 0.35
23 ; small_obstacles_range3_3d_agents ; 5 ; 0.35
24 ; small_obstacles_range3_3d_agents ; 5 ; 0.35
25 ; small_obstacles_range3_3d_agents ; 5 ; 0.35
26 ; small_obstacles_range3_3d_agents ; 5 ; 0.36
27 ; small_obstacles_range3_3d_agents ; 5 ; 0.37
28 ; small_obstacles_range3_3d_agents ; 2 ; 0.38
29 ; small_obstacles_range3_3d_agents ; 2 ; 0.38
30 ; small_obstacles_range3_3d_agents ; 5 ; 0.38
31 ; small_obstacles_range3_3d_agents ; 5 ; 0.39
32 ; small_obstacles_range3_3d_agents ; 5 ; 0.4
33 ; small_obstacles_range3_3d_agents ; 5 ; 0.4
34 ; small_obstacles_range3_3d_agents ; 10 ; 0.42
35 ; small_obstacles_range3_3d_agents ; 5 ; 0.43
36 ; small_obstacles_range3_3d_agents ; 10 ; 0.43
37 ; small_obstacles_range3_3d_agents ; 5 ; 0.45
38 ; small_obstacles_range3_3d_agents ; 2 ; 0.46
39 ; small_obstacles_range3_3d_agents ; 10 ; 0.46
40 ; small_obstacles_range3_3d_agents ; 10 ; 0.49
41 ; small_obstacles_range3_3d_agents ; 10 ; 0.5
42 ; small_obstacles_range3_3d_agents ; 10 ; 0.5
43 ; small_obstacles_range3_3d_agents ; 10 ; 0.5
44 ; small_obstacles_range3_3d_agents ; 10 ; 0.5
45 ; small_obstacles_range3_3d_agents ; 10 ; 0.54
46 ; small_obstacles_range3_3d_agents ; 10 ; 0.56
47 ; small_obstacles_range3_3d_agents ; 10 ; 0.57
48 ; small_obstacles_range3_3d_agents ; 10 ; 0.59
49 ; small_obstacles_range3_3d_agents ; 10 ; 0.6
50 ; small_obstacles_range3_3d_agents ; 5 ; 0.65
51 ; small_obstacles_range3_3d_agents ; 15 ; 0.67
52 ; small_obstacles_range3_3d_agents ; 20 ; 0.68
53 ; small_obstacles_range3_3d_agents ; 15 ; 0.7
54 ; small_obstacles_range3_3d_agents ; 15 ; 0.7
55 ; small_obstacles_range3_3d_agents ; 15 ; 0.71
56 ; small_obstacles_range3_3d_agents ; 15 ; 0.71
57 ; small_obstacles_range3_3d_agents ; 10 ; 0.72
58 ; small_obstacles_range3_3d_agents ; 15 ; 0.73
59 ; small_obstacles_range3_3d_agents ; 20 ; 0.74
60 ; small_obstacles_range3_3d_agents ; 15 ; 0.76
61 ; small_obstacles_range3_3d_agents ; 20 ; 0.76
62 ; small_obstacles_range3_3d_agents ; 15 ; 0.79
63 ; small_obstacles_range3_3d_agents ; 15 ; 0.79
64 ; small_obstacles_range3_3d_agents ; 20 ; 0.79
65 ; small_obstacles_range3_3d_agents ; 5 ; 0.81
66 ; small_obstacles_range3_3d_agents ; 10 ; 0.86
67 ; small_obstacles_range3_3d_agents ; 20 ; 0.87
68 ; small_obstacles_range3_3d_agents ; 20 ; 0.88
69 ; small_obstacles_range3_3d_agents ; 20 ; 0.9
70 ; small_obstacles_range3_3d_agents ; 10 ; 0.91
71 ; small_obstacles_range3_3d_agents ; 10 ; 0.91
72 ; small_obstacles_range3_3d_agents ; 15 ; 0.91
73 ; small_obstacles_range3_3d_agents ; 10 ; 0.95
74 ; small_obstacles_range3_3d_agents ; 15 ; 0.97
75 ; small_obstacles_range3_3d_agents ; 15 ; 1.01
76 ; small_obstacles_range3_3d_agents ; 20 ; 1.03
77 ; small_obstacles_range3_3d_agents ; 15 ; 1.05
78 ; small_obstacles_range3_3d_agents ; 20 ; 1.06
79 ; small_obstacles_range3_3d_agents ; 2 ; 1.09
80 ; small_obstacles_range3_3d_agents ; 15 ; 1.09
81 ; small_obstacles_range3_3d_agents ; 10 ; 1.12
82 ; small_obstacles_range3_3d_agents ; 20 ; 1.13
83 ; small_obstacles_range3_3d_agents ; 20 ; 1.15
84 ; small_obstacles_range3_3d_agents ; 20 ; 1.16
85 ; small_obstacles_range3_3d_agents ; 15 ; 1.2
86 ; small_obstacles_range3_3d_agents ; 20 ; 1.2
87 ; small_obstacles_range3_3d_agents ; 20 ; 1.2
88 ; small_obstacles_range3_3d_agents ; 15 ; 1.22
89 ; small_obstacles_range3_3d_agents ; 20 ; 1.26
90 ; small_obstacles_range3_3d_agents ; 20 ; 1.31
91 ; small_obstacles_range3_3d_agents ; 30 ; 1.33
92 ; small_obstacles_range3_3d_agents ; 10 ; 1.4
93 ; small_obstacles_range3_3d_agents ; 20 ; 1.41
94 ; small_obstacles_range3_3d_agents ; 20 ; 1.42
95 ; small_obstacles_range3_3d_agents ; 15 ; 1.47
96 ; small_obstacles_range3_3d_agents ; 30 ; 1.57
97 ; small_obstacles_range3_3d_agents ; 20 ; 1.59
98 ; small_obstacles_range3_3d_agents ; 30 ; 1.66
99 ; small_obstacles_range3_3d_agents ; 30 ; 1.71
100 ; small_obstacles_range3_3d_agents ; 30 ; 1.75
101 ; small_obstacles_range3_3d_agents ; 30 ; 1.76
102 ; small_obstacles_range3_3d_agents ; 15 ; 1.87
103 ; small_obstacles_range3_3d_agents ; 30 ; 1.91
104 ; small_obstacles_range3_3d_agents ; 40 ; 1.92
105 ; small_obstacles_range3_3d_agents ; 30 ; 2.12
106 ; small_obstacles_range3_3d_agents ; 30 ; 2.33
107 ; small_obstacles_range3_3d_agents ; 30 ; 2.56
108 ; small_obstacles_range3_3d_agents ; 40 ; 2.59
109 ; small_obstacles_range3_3d_agents ; 30 ; 2.64
110 ; small_obstacles_range3_3d_agents ; 30 ; 2.78
111 ; small_obstacles_range3_3d_agents ; 30 ; 2.81
112 ; small_obstacles_range3_3d_agents ; 30 ; 2.81
113 ; small_obstacles_range3_3d_agents ; 40 ; 3.0
114 ; small_obstacles_range3_3d_agents ; 30 ; 3.33
115 ; small_obstacles_range3_3d_agents ; 30 ; 3.37
116 ; small_obstacles_range3_3d_agents ; 40 ; 3.43
117 ; small_obstacles_range3_3d_agents ; 30 ; 3.45
118 ; small_obstacles_range3_3d_agents ; 60 ; 3.48
119 ; small_obstacles_range3_3d_agents ; 30 ; 3.5
120 ; small_obstacles_range3_3d_agents ; 50 ; 3.78
121 ; small_obstacles_range3_3d_agents ; 30 ; 3.83
122 ; small_obstacles_range3_3d_agents ; 60 ; 4.07
123 ; small_obstacles_range3_3d_agents ; 40 ; 4.2
124 ; small_obstacles_range3_3d_agents ; 40 ; 4.23
125 ; small_obstacles_range3_3d_agents ; 40 ; 4.24
126 ; small_obstacles_range3_3d_agents ; 40 ; 4.28
127 ; small_obstacles_range3_3d_agents ; 40 ; 4.49
128 ; small_obstacles_range3_3d_agents ; 40 ; 4.54
129 ; small_obstacles_range3_3d_agents ; 50 ; 4.55
130 ; small_obstacles_range3_3d_agents ; 50 ; 4.78
131 ; small_obstacles_range3_3d_agents ; 40 ; 5.06
132 ; small_obstacles_range3_3d_agents ; 50 ; 5.07
133 ; small_obstacles_range3_3d_agents ; 60 ; 5.24
134 ; small_obstacles_range3_3d_agents ; 80 ; 5.6
135 ; small_obstacles_range3_3d_agents ; 40 ; 5.71
136 ; small_obstacles_range3_3d_agents ; 60 ; 5.81
137 ; small_obstacles_range3_3d_agents ; 50 ; 5.84
138 ; small_obstacles_range3_3d_agents ; 50 ; 5.99
139 ; small_obstacles_range3_3d_agents ; 40 ; 6.04
140 ; small_obstacles_range3_3d_agents ; 80 ; 6.09
141 ; small_obstacles_range3_3d_agents ; 40 ; 6.34
142 ; small_obstacles_range3_3d_agents ; 40 ; 6.41
143 ; small_obstacles_range3_3d_agents ; 60 ; 6.49
144 ; small_obstacles_range3_3d_agents ; 80 ; 6.5
145 ; small_obstacles_range3_3d_agents ; 40 ; 6.64
146 ; small_obstacles_range3_3d_agents ; 40 ; 6.84
147 ; small_obstacles_range3_3d_agents ; 50 ; 6.87
148 ; small_obstacles_range3_3d_agents ; 60 ; 7.17
149 ; small_obstacles_range3_3d_agents ; 100 ; 7.24
150 ; small_obstacles_range3_3d_agents ; 60 ; 7.59
151 ; small_obstacles_range3_3d_agents ; 50 ; 8.0
152 ; small_obstacles_range3_3d_agents ; 60 ; 8.07
153 ; small_obstacles_range3_3d_agents ; 60 ; 8.09
154 ; small_obstacles_range3_3d_agents ; 80 ; 8.15
155 ; small_obstacles_range3_3d_agents ; 80 ; 8.63
156 ; small_obstacles_range3_3d_agents ; 50 ; 8.67
157 ; small_obstacles_range3_3d_agents ; 125 ; 8.95
158 ; small_obstacles_range3_3d_agents ; 50 ; 9.27
159 ; small_obstacles_range3_3d_agents ; 50 ; 9.32
160 ; small_obstacles_range3_3d_agents ; 80 ; 9.4
161 ; small_obstacles_range3_3d_agents ; 40 ; 9.52
162 ; small_obstacles_range3_3d_agents ; 60 ; 9.63
163 ; small_obstacles_range3_3d_agents ; 50 ; 9.83
164 ; small_obstacles_range3_3d_agents ; 50 ; 10.26
165 ; small_obstacles_range3_3d_agents ; 40 ; 10.54
166 ; small_obstacles_range3_3d_agents ; 50 ; 10.73
167 ; small_obstacles_range3_3d_agents ; 80 ; 10.81
168 ; small_obstacles_range3_3d_agents ; 60 ; 11.21
169 ; small_obstacles_range3_3d_agents ; 125 ; 11.87
170 ; small_obstacles_range3_3d_agents ; 50 ; 12.0
171 ; small_obstacles_range3_3d_agents ; 125 ; 13.54
172 ; small_obstacles_range3_3d_agents ; 50 ; 13.71
173 ; small_obstacles_range3_3d_agents ; 50 ; 13.75
174 ; small_obstacles_range3_3d_agents ; 60 ; 13.78
175 ; small_obstacles_range3_3d_agents ; 60 ; 14.02
176 ; small_obstacles_range3_3d_agents ; 60 ; 14.55
177 ; small_obstacles_range3_3d_agents ; 80 ; 14.89
178 ; small_obstacles_range3_3d_agents ; 60 ; 16.13
179 ; small_obstacles_range3_3d_agents ; 60 ; 16.23
180 ; small_obstacles_range3_3d_agents ; 100 ; 16.24
181 ; small_obstacles_range3_3d_agents ; 80 ; 16.29
182 ; small_obstacles_range3_3d_agents ; 60 ; 17.1
183 ; small_obstacles_range3_3d_agents ; 125 ; 17.28
184 ; small_obstacles_range3_3d_agents ; 40 ; 17.43
185 ; small_obstacles_range3_3d_agents ; 50 ; 17.53
186 ; small_obstacles_range3_3d_agents ; 50 ; 17.81
187 ; small_obstacles_range3_3d_agents ; 80 ; 18.28
188 ; small_obstacles_range3_3d_agents ; 100 ; 19.47
189 ; small_obstacles_range3_3d_agents ; 80 ; 20.08
190 ; small_obstacles_range3_3d_agents ; 60 ; 20.13
191 ; small_obstacles_range3_3d_agents ; 125 ; 21.12
192 ; small_obstacles_range3_3d_agents ; 100 ; 21.42
193 ; small_obstacles_range3_3d_agents ; 80 ; 21.83
194 ; small_obstacles_range3_3d_agents ; 100 ; 22.43
195 ; small_obstacles_range3_3d_agents ; 80 ; 22.69
196 ; small_obstacles_range3_3d_agents ; 150 ; 23.38
197 ; small_obstacles_range3_3d_agents ; 125 ; 23.43
198 ; small_obstacles_range3_3d_agents ; 80 ; 23.74
199 ; small_obstacles_range3_3d_agents ; 100 ; 25.05
200 ; small_obstacles_range3_3d_agents ; 125 ; 25.21
201 ; small_obstacles_range3_3d_agents ; 15 ; 25.77
202 ; small_obstacles_range3_3d_agents ; 80 ; 26.14
203 ; small_obstacles_range3_3d_agents ; 30 ; 26.31
204 ; small_obstacles_range3_3d_agents ; 60 ; 26.92
205 ; small_obstacles_range3_3d_agents ; 100 ; 27.29
206 ; small_obstacles_range3_3d_agents ; 125 ; 27.56
207 ; small_obstacles_range3_3d_agents ; 125 ; 28.41
208 ; small_obstacles_range3_3d_agents ; 100 ; 29.99
209 ; small_obstacles_range3_3d_agents ; 150 ; 30.38
210 ; small_obstacles_range3_3d_agents ; 50 ; 30.82
211 ; small_obstacles_range3_3d_agents ; 100 ; 31.02
212 ; small_obstacles_range3_3d_agents ; 80 ; 31.69
213 ; small_obstacles_range3_3d_agents ; 100 ; 32.62
214 ; small_obstacles_range3_3d_agents ; 125 ; 32.88
215 ; small_obstacles_range3_3d_agents ; 225 ; 33.24
216 ; small_obstacles_range3_3d_agents ; 150 ; 33.72
217 ; small_obstacles_range3_3d_agents ; 80 ; 33.75
218 ; small_obstacles_range3_3d_agents ; 100 ; 34.73
219 ; small_obstacles_range3_3d_agents ; 100 ; 35.83
220 ; small_obstacles_range3_3d_agents ; 100 ; 36.86
221 ; small_obstacles_range3_3d_agents ; 100 ; 37.02
222 ; small_obstacles_range3_3d_agents ; 80 ; 37.21
223 ; small_obstacles_range3_3d_agents ; 150 ; 37.24
224 ; small_obstacles_range3_3d_agents ; 250 ; 40.53
225 ; small_obstacles_range3_3d_agents ; 125 ; 41.01
226 ; small_obstacles_range3_3d_agents ; 125 ; 42.02
227 ; small_obstacles_range3_3d_agents ; 125 ; 42.85
228 ; small_obstacles_range3_3d_agents ; 100 ; 43.34
229 ; small_obstacles_range3_3d_agents ; 225 ; 43.53
230 ; small_obstacles_range3_3d_agents ; 100 ; 45.34
231 ; small_obstacles_range3_3d_agents ; 100 ; 45.7
232 ; small_obstacles_range3_3d_agents ; 225 ; 46.04
233 ; small_obstacles_range3_3d_agents ; 100 ; 47.89
234 ; small_obstacles_range3_3d_agents ; 125 ; 50.85
235 ; small_obstacles_range3_3d_agents ; 150 ; 50.87
236 ; small_obstacles_range3_3d_agents ; 150 ; 51.17
237 ; small_obstacles_range3_3d_agents ; 200 ; 53.26
238 ; small_obstacles_range3_3d_agents ; 150 ; 57.0
239 ; small_obstacles_range3_3d_agents ; 250 ; 57.12
240 ; small_obstacles_range3_3d_agents ; 175 ; 59.58
241 ; small_obstacles_range3_3d_agents ; 200 ; 60.87
242 ; small_obstacles_range3_3d_agents ; 80 ; 61.76
243 ; small_obstacles_range3_3d_agents ; 150 ; 62.58
244 ; small_obstacles_range3_3d_agents ; 175 ; 65.15
245 ; small_obstacles_range3_3d_agents ; 175 ; 65.49
246 ; small_obstacles_range3_3d_agents ; 125 ; 66.1
247 ; small_obstacles_range3_3d_agents ; 150 ; 67.91
248 ; small_obstacles_range3_3d_agents ; 125 ; 70.18
249 ; small_obstacles_range3_3d_agents ; 125 ; 74.32
250 ; small_obstacles_range3_3d_agents ; 150 ; 78.55
251 ; small_obstacles_range3_3d_agents ; 150 ; 81.68
252 ; small_obstacles_range3_3d_agents ; 175 ; 83.0
253 ; small_obstacles_range3_3d_agents ; 175 ; 83.27
254 ; small_obstacles_range3_3d_agents ; 225 ; 83.74
255 ; small_obstacles_range3_3d_agents ; 150 ; 83.77
256 ; small_obstacles_range3_3d_agents ; 100 ; 83.94
257 ; small_obstacles_range3_3d_agents ; 125 ; 84.56
258 ; small_obstacles_range3_3d_agents ; 20 ; 86.03
259 ; small_obstacles_range3_3d_agents ; 175 ; 88.0
260 ; small_obstacles_range3_3d_agents ; 100 ; 88.02
261 ; small_obstacles_range3_3d_agents ; 225 ; 90.54
262 ; small_obstacles_range3_3d_agents ; 125 ; 96.32
263 ; small_obstacles_range3_3d_agents ; 200 ; 97.57
264 ; small_obstacles_range3_3d_agents ; 200 ; 100.04
265 ; small_obstacles_range3_3d_agents ; 175 ; 101.62
266 ; small_obstacles_range3_3d_agents ; 175 ; 102.75
267 ; small_obstacles_range3_3d_agents ; 150 ; 102.92
268 ; small_obstacles_range3_3d_agents ; 15 ; 103.02
269 ; small_obstacles_range3_3d_agents ; 275 ; 103.6
270 ; small_obstacles_range3_3d_agents ; 225 ; 112.21
271 ; small_obstacles_range3_3d_agents ; 225 ; 116.52
272 ; small_obstacles_range3_3d_agents ; 175 ; 117.22
273 ; small_obstacles_range3_3d_agents ; 200 ; 123.28
274 ; small_obstacles_range3_3d_agents ; 250 ; 125.09
275 ; small_obstacles_range3_3d_agents ; 275 ; 131.11
276 ; small_obstacles_range3_3d_agents ; 200 ; 133.83
277 ; small_obstacles_range3_3d_agents ; 150 ; 134.45
