id ; Experiment ; nb_agents ; time
0 ; offices_range1_agents ; 2 ; 0.03
1 ; offices_range1_agents ; 2 ; 0.04
2 ; offices_range1_agents ; 2 ; 0.04
3 ; offices_range1_agents ; 2 ; 0.04
4 ; offices_range1_agents ; 2 ; 0.04
5 ; offices_range1_agents ; 5 ; 0.04
6 ; offices_range1_agents ; 5 ; 0.04
7 ; offices_range1_agents ; 2 ; 0.05
8 ; offices_range1_agents ; 2 ; 0.05
9 ; offices_range1_agents ; 2 ; 0.05
10 ; offices_range1_agents ; 2 ; 0.05
11 ; offices_range1_agents ; 2 ; 0.05
12 ; offices_range1_agents ; 2 ; 0.05
13 ; offices_range1_agents ; 2 ; 0.05
14 ; offices_range1_agents ; 5 ; 0.05
15 ; offices_range1_agents ; 5 ; 0.05
16 ; offices_range1_agents ; 10 ; 0.05
17 ; offices_range1_agents ; 10 ; 0.05
18 ; offices_range1_agents ; 10 ; 0.05
19 ; offices_range1_agents ; 2 ; 0.06
20 ; offices_range1_agents ; 2 ; 0.06
21 ; offices_range1_agents ; 2 ; 0.06
22 ; offices_range1_agents ; 2 ; 0.06
23 ; offices_range1_agents ; 2 ; 0.06
24 ; offices_range1_agents ; 2 ; 0.06
25 ; offices_range1_agents ; 5 ; 0.06
26 ; offices_range1_agents ; 5 ; 0.06
27 ; offices_range1_agents ; 10 ; 0.06
28 ; offices_range1_agents ; 2 ; 0.07
29 ; offices_range1_agents ; 5 ; 0.07
30 ; offices_range1_agents ; 5 ; 0.07
31 ; offices_range1_agents ; 5 ; 0.07
32 ; offices_range1_agents ; 5 ; 0.07
33 ; offices_range1_agents ; 5 ; 0.07
34 ; offices_range1_agents ; 10 ; 0.07
35 ; offices_range1_agents ; 10 ; 0.07
36 ; offices_range1_agents ; 15 ; 0.07
37 ; offices_range1_agents ; 2 ; 0.08
38 ; offices_range1_agents ; 5 ; 0.08
39 ; offices_range1_agents ; 5 ; 0.08
40 ; offices_range1_agents ; 5 ; 0.08
41 ; offices_range1_agents ; 5 ; 0.08
42 ; offices_range1_agents ; 5 ; 0.08
43 ; offices_range1_agents ; 10 ; 0.08
44 ; offices_range1_agents ; 10 ; 0.08
45 ; offices_range1_agents ; 10 ; 0.08
46 ; offices_range1_agents ; 10 ; 0.08
47 ; offices_range1_agents ; 15 ; 0.09
48 ; offices_range1_agents ; 15 ; 0.09
49 ; offices_range1_agents ; 10 ; 0.1
50 ; offices_range1_agents ; 15 ; 0.1
51 ; offices_range1_agents ; 20 ; 0.1
52 ; offices_range1_agents ; 20 ; 0.1
53 ; offices_range1_agents ; 20 ; 0.1
54 ; offices_range1_agents ; 5 ; 0.11
55 ; offices_range1_agents ; 10 ; 0.11
56 ; offices_range1_agents ; 15 ; 0.11
57 ; offices_range1_agents ; 15 ; 0.11
58 ; offices_range1_agents ; 20 ; 0.11
59 ; offices_range1_agents ; 5 ; 0.12
60 ; offices_range1_agents ; 10 ; 0.12
61 ; offices_range1_agents ; 15 ; 0.12
62 ; offices_range1_agents ; 15 ; 0.12
63 ; offices_range1_agents ; 20 ; 0.12
64 ; offices_range1_agents ; 20 ; 0.12
65 ; offices_range1_agents ; 5 ; 0.13
66 ; offices_range1_agents ; 5 ; 0.13
67 ; offices_range1_agents ; 15 ; 0.13
68 ; offices_range1_agents ; 15 ; 0.13
69 ; offices_range1_agents ; 15 ; 0.13
70 ; offices_range1_agents ; 10 ; 0.14
71 ; offices_range1_agents ; 10 ; 0.14
72 ; offices_range1_agents ; 15 ; 0.14
73 ; offices_range1_agents ; 15 ; 0.14
74 ; offices_range1_agents ; 15 ; 0.14
75 ; offices_range1_agents ; 15 ; 0.14
76 ; offices_range1_agents ; 15 ; 0.15
77 ; offices_range1_agents ; 15 ; 0.15
78 ; offices_range1_agents ; 20 ; 0.15
79 ; offices_range1_agents ; 10 ; 0.16
80 ; offices_range1_agents ; 15 ; 0.16
81 ; offices_range1_agents ; 20 ; 0.16
82 ; offices_range1_agents ; 20 ; 0.16
83 ; offices_range1_agents ; 20 ; 0.19
84 ; offices_range1_agents ; 10 ; 0.2
85 ; offices_range1_agents ; 15 ; 0.21
86 ; offices_range1_agents ; 30 ; 0.21
87 ; offices_range1_agents ; 20 ; 0.22
88 ; offices_range1_agents ; 20 ; 0.22
89 ; offices_range1_agents ; 20 ; 0.22
90 ; offices_range1_agents ; 30 ; 0.23
91 ; offices_range1_agents ; 20 ; 0.26
92 ; offices_range1_agents ; 15 ; 0.28
93 ; offices_range1_agents ; 20 ; 0.29
94 ; offices_range1_agents ; 20 ; 0.33
95 ; offices_range1_agents ; 30 ; 0.33
96 ; offices_range1_agents ; 20 ; 0.34
97 ; offices_range1_agents ; 30 ; 0.34
98 ; offices_range1_agents ; 30 ; 0.35
99 ; offices_range1_agents ; 10 ; 0.38
