id ; Experiment ; nb_agents ; time
0 ; parallel_range4_agents ; 2 ; 0.02
1 ; parallel_range4_agents ; 2 ; 0.03
2 ; parallel_range4_agents ; 2 ; 0.03
3 ; parallel_range4_agents ; 2 ; 0.03
4 ; parallel_range4_agents ; 2 ; 0.03
5 ; parallel_range4_agents ; 2 ; 0.03
6 ; parallel_range4_agents ; 2 ; 0.03
7 ; parallel_range4_agents ; 2 ; 0.03
8 ; parallel_range4_agents ; 5 ; 0.03
9 ; parallel_range4_agents ; 5 ; 0.03
10 ; parallel_range4_agents ; 5 ; 0.03
11 ; parallel_range4_agents ; 2 ; 0.04
12 ; parallel_range4_agents ; 2 ; 0.04
13 ; parallel_range4_agents ; 5 ; 0.04
14 ; parallel_range4_agents ; 5 ; 0.04
15 ; parallel_range4_agents ; 5 ; 0.04
16 ; parallel_range4_agents ; 5 ; 0.04
17 ; parallel_range4_agents ; 5 ; 0.04
18 ; parallel_range4_agents ; 5 ; 0.04
19 ; parallel_range4_agents ; 10 ; 0.04
20 ; parallel_range4_agents ; 15 ; 0.04
21 ; parallel_range4_agents ; 2 ; 0.05
22 ; parallel_range4_agents ; 2 ; 0.05
23 ; parallel_range4_agents ; 2 ; 0.05
24 ; parallel_range4_agents ; 2 ; 0.05
25 ; parallel_range4_agents ; 2 ; 0.05
26 ; parallel_range4_agents ; 2 ; 0.05
27 ; parallel_range4_agents ; 2 ; 0.05
28 ; parallel_range4_agents ; 2 ; 0.05
29 ; parallel_range4_agents ; 5 ; 0.05
30 ; parallel_range4_agents ; 5 ; 0.05
31 ; parallel_range4_agents ; 5 ; 0.05
32 ; parallel_range4_agents ; 5 ; 0.05
33 ; parallel_range4_agents ; 5 ; 0.05
34 ; parallel_range4_agents ; 10 ; 0.05
35 ; parallel_range4_agents ; 10 ; 0.05
36 ; parallel_range4_agents ; 2 ; 0.06
37 ; parallel_range4_agents ; 5 ; 0.06
38 ; parallel_range4_agents ; 5 ; 0.06
39 ; parallel_range4_agents ; 5 ; 0.06
40 ; parallel_range4_agents ; 5 ; 0.06
41 ; parallel_range4_agents ; 10 ; 0.06
42 ; parallel_range4_agents ; 5 ; 0.07
43 ; parallel_range4_agents ; 10 ; 0.07
44 ; parallel_range4_agents ; 10 ; 0.07
45 ; parallel_range4_agents ; 10 ; 0.07
46 ; parallel_range4_agents ; 15 ; 0.07
47 ; parallel_range4_agents ; 10 ; 0.08
48 ; parallel_range4_agents ; 15 ; 0.08
49 ; parallel_range4_agents ; 10 ; 0.09
50 ; parallel_range4_agents ; 10 ; 0.09
51 ; parallel_range4_agents ; 15 ; 0.09
52 ; parallel_range4_agents ; 2 ; 0.1
53 ; parallel_range4_agents ; 10 ; 0.1
54 ; parallel_range4_agents ; 10 ; 0.1
55 ; parallel_range4_agents ; 15 ; 0.1
56 ; parallel_range4_agents ; 15 ; 0.11
57 ; parallel_range4_agents ; 15 ; 0.11
58 ; parallel_range4_agents ; 15 ; 0.11
59 ; parallel_range4_agents ; 30 ; 0.11
60 ; parallel_range4_agents ; 30 ; 0.11
61 ; parallel_range4_agents ; 10 ; 0.12
62 ; parallel_range4_agents ; 15 ; 0.12
63 ; parallel_range4_agents ; 15 ; 0.12
64 ; parallel_range4_agents ; 20 ; 0.12
65 ; parallel_range4_agents ; 20 ; 0.12
66 ; parallel_range4_agents ; 20 ; 0.12
67 ; parallel_range4_agents ; 20 ; 0.12
68 ; parallel_range4_agents ; 10 ; 0.13
69 ; parallel_range4_agents ; 15 ; 0.13
70 ; parallel_range4_agents ; 15 ; 0.13
71 ; parallel_range4_agents ; 20 ; 0.13
72 ; parallel_range4_agents ; 20 ; 0.13
73 ; parallel_range4_agents ; 30 ; 0.13
74 ; parallel_range4_agents ; 10 ; 0.14
75 ; parallel_range4_agents ; 15 ; 0.14
76 ; parallel_range4_agents ; 15 ; 0.14
77 ; parallel_range4_agents ; 20 ; 0.14
78 ; parallel_range4_agents ; 20 ; 0.14
79 ; parallel_range4_agents ; 15 ; 0.15
80 ; parallel_range4_agents ; 15 ; 0.15
81 ; parallel_range4_agents ; 20 ; 0.15
82 ; parallel_range4_agents ; 10 ; 0.16
83 ; parallel_range4_agents ; 20 ; 0.16
84 ; parallel_range4_agents ; 20 ; 0.16
85 ; parallel_range4_agents ; 20 ; 0.17
86 ; parallel_range4_agents ; 20 ; 0.17
87 ; parallel_range4_agents ; 10 ; 0.18
88 ; parallel_range4_agents ; 10 ; 0.19
89 ; parallel_range4_agents ; 20 ; 0.19
90 ; parallel_range4_agents ; 15 ; 0.21
91 ; parallel_range4_agents ; 15 ; 0.22
92 ; parallel_range4_agents ; 5 ; 0.23
93 ; parallel_range4_agents ; 20 ; 0.23
94 ; parallel_range4_agents ; 20 ; 0.25
95 ; parallel_range4_agents ; 30 ; 0.25
96 ; parallel_range4_agents ; 30 ; 0.28
97 ; parallel_range4_agents ; 10 ; 0.29
98 ; parallel_range4_agents ; 15 ; 0.29
99 ; parallel_range4_agents ; 30 ; 0.31
100 ; parallel_range4_agents ; 30 ; 0.32
101 ; parallel_range4_agents ; 30 ; 0.32
102 ; parallel_range4_agents ; 30 ; 0.34
103 ; parallel_range4_agents ; 40 ; 0.34
104 ; parallel_range4_agents ; 40 ; 0.35
105 ; parallel_range4_agents ; 10 ; 0.36
106 ; parallel_range4_agents ; 40 ; 0.37
107 ; parallel_range4_agents ; 40 ; 0.4
108 ; parallel_range4_agents ; 30 ; 0.43
109 ; parallel_range4_agents ; 40 ; 0.45
110 ; parallel_range4_agents ; 30 ; 0.47
111 ; parallel_range4_agents ; 50 ; 0.5
112 ; parallel_range4_agents ; 40 ; 0.52
113 ; parallel_range4_agents ; 40 ; 0.54
114 ; parallel_range4_agents ; 30 ; 0.55
115 ; parallel_range4_agents ; 30 ; 0.58
116 ; parallel_range4_agents ; 40 ; 0.58
117 ; parallel_range4_agents ; 20 ; 0.6
118 ; parallel_range4_agents ; 40 ; 0.62
119 ; parallel_range4_agents ; 50 ; 0.68
120 ; parallel_range4_agents ; 30 ; 0.69
121 ; parallel_range4_agents ; 50 ; 0.69
122 ; parallel_range4_agents ; 40 ; 0.77
123 ; parallel_range4_agents ; 60 ; 0.77
124 ; parallel_range4_agents ; 80 ; 0.77
125 ; parallel_range4_agents ; 40 ; 0.78
126 ; parallel_range4_agents ; 50 ; 0.78
127 ; parallel_range4_agents ; 40 ; 0.79
128 ; parallel_range4_agents ; 60 ; 0.83
129 ; parallel_range4_agents ; 50 ; 0.88
130 ; parallel_range4_agents ; 60 ; 0.94
131 ; parallel_range4_agents ; 50 ; 0.97
132 ; parallel_range4_agents ; 50 ; 1.08
133 ; parallel_range4_agents ; 30 ; 1.12
134 ; parallel_range4_agents ; 40 ; 1.16
135 ; parallel_range4_agents ; 60 ; 1.2
136 ; parallel_range4_agents ; 60 ; 1.2
137 ; parallel_range4_agents ; 80 ; 1.23
138 ; parallel_range4_agents ; 40 ; 1.29
139 ; parallel_range4_agents ; 60 ; 1.29
140 ; parallel_range4_agents ; 60 ; 1.3
141 ; parallel_range4_agents ; 30 ; 1.32
142 ; parallel_range4_agents ; 50 ; 1.32
143 ; parallel_range4_agents ; 50 ; 1.33
144 ; parallel_range4_agents ; 60 ; 1.42
145 ; parallel_range4_agents ; 60 ; 1.56
146 ; parallel_range4_agents ; 60 ; 1.62
147 ; parallel_range4_agents ; 60 ; 1.66
148 ; parallel_range4_agents ; 100 ; 1.67
149 ; parallel_range4_agents ; 100 ; 1.73
150 ; parallel_range4_agents ; 80 ; 1.74
151 ; parallel_range4_agents ; 80 ; 1.79
152 ; parallel_range4_agents ; 60 ; 1.85
153 ; parallel_range4_agents ; 50 ; 1.91
154 ; parallel_range4_agents ; 40 ; 2.13
155 ; parallel_range4_agents ; 30 ; 2.19
156 ; parallel_range4_agents ; 40 ; 2.21
157 ; parallel_range4_agents ; 50 ; 2.35
158 ; parallel_range4_agents ; 60 ; 2.4
159 ; parallel_range4_agents ; 60 ; 2.48
160 ; parallel_range4_agents ; 60 ; 2.58
161 ; parallel_range4_agents ; 20 ; 2.62
162 ; parallel_range4_agents ; 80 ; 2.68
163 ; parallel_range4_agents ; 30 ; 2.79
164 ; parallel_range4_agents ; 60 ; 3.03
165 ; parallel_range4_agents ; 80 ; 3.16
166 ; parallel_range4_agents ; 80 ; 3.18
167 ; parallel_range4_agents ; 100 ; 3.2
168 ; parallel_range4_agents ; 100 ; 3.41
169 ; parallel_range4_agents ; 100 ; 3.81
170 ; parallel_range4_agents ; 15 ; 3.9
171 ; parallel_range4_agents ; 80 ; 3.92
172 ; parallel_range4_agents ; 80 ; 4.04
173 ; parallel_range4_agents ; 100 ; 4.16
174 ; parallel_range4_agents ; 125 ; 4.21
175 ; parallel_range4_agents ; 60 ; 4.31
176 ; parallel_range4_agents ; 100 ; 4.37
177 ; parallel_range4_agents ; 20 ; 4.74
178 ; parallel_range4_agents ; 50 ; 4.87
179 ; parallel_range4_agents ; 125 ; 4.91
180 ; parallel_range4_agents ; 80 ; 4.93
181 ; parallel_range4_agents ; 80 ; 4.98
182 ; parallel_range4_agents ; 100 ; 5.02
183 ; parallel_range4_agents ; 40 ; 5.38
184 ; parallel_range4_agents ; 80 ; 5.41
185 ; parallel_range4_agents ; 50 ; 5.5
186 ; parallel_range4_agents ; 40 ; 5.93
187 ; parallel_range4_agents ; 50 ; 6.24
188 ; parallel_range4_agents ; 80 ; 6.5
189 ; parallel_range4_agents ; 50 ; 6.59
190 ; parallel_range4_agents ; 40 ; 6.8
191 ; parallel_range4_agents ; 20 ; 7.77
192 ; parallel_range4_agents ; 50 ; 8.13
193 ; parallel_range4_agents ; 125 ; 8.31
194 ; parallel_range4_agents ; 50 ; 8.34
195 ; parallel_range4_agents ; 80 ; 8.74
196 ; parallel_range4_agents ; 175 ; 9.22
197 ; parallel_range4_agents ; 100 ; 9.24
198 ; parallel_range4_agents ; 100 ; 9.34
199 ; parallel_range4_agents ; 150 ; 9.59
200 ; parallel_range4_agents ; 125 ; 10.98
201 ; parallel_range4_agents ; 125 ; 11.11
202 ; parallel_range4_agents ; 175 ; 13.03
203 ; parallel_range4_agents ; 125 ; 13.7
204 ; parallel_range4_agents ; 60 ; 13.83
205 ; parallel_range4_agents ; 125 ; 14.11
206 ; parallel_range4_agents ; 175 ; 15.17
207 ; parallel_range4_agents ; 175 ; 15.28
208 ; parallel_range4_agents ; 175 ; 15.85
209 ; parallel_range4_agents ; 80 ; 16.16
210 ; parallel_range4_agents ; 125 ; 16.26
211 ; parallel_range4_agents ; 150 ; 17.23
212 ; parallel_range4_agents ; 80 ; 18.19
213 ; parallel_range4_agents ; 100 ; 18.38
214 ; parallel_range4_agents ; 125 ; 19.77
215 ; parallel_range4_agents ; 100 ; 20.43
216 ; parallel_range4_agents ; 150 ; 20.94
217 ; parallel_range4_agents ; 80 ; 21.2
218 ; parallel_range4_agents ; 80 ; 21.35
219 ; parallel_range4_agents ; 100 ; 21.49
220 ; parallel_range4_agents ; 125 ; 22.11
221 ; parallel_range4_agents ; 200 ; 23.31
