id ; Experiment ; nb_agents ; time
0 ; small_obstacles_range3_3d_agents ; 2 ; 0.28
1 ; small_obstacles_range3_3d_agents ; 2 ; 0.28
2 ; small_obstacles_range3_3d_agents ; 2 ; 0.28
3 ; small_obstacles_range3_3d_agents ; 2 ; 0.28
4 ; small_obstacles_range3_3d_agents ; 2 ; 0.29
5 ; small_obstacles_range3_3d_agents ; 2 ; 0.3
6 ; small_obstacles_range3_3d_agents ; 2 ; 0.3
7 ; small_obstacles_range3_3d_agents ; 2 ; 0.3
8 ; small_obstacles_range3_3d_agents ; 2 ; 0.31
9 ; small_obstacles_range3_3d_agents ; 2 ; 0.32
10 ; small_obstacles_range3_3d_agents ; 2 ; 0.32
11 ; small_obstacles_range3_3d_agents ; 5 ; 0.32
12 ; small_obstacles_range3_3d_agents ; 2 ; 0.33
13 ; small_obstacles_range3_3d_agents ; 2 ; 0.33
14 ; small_obstacles_range3_3d_agents ; 5 ; 0.33
15 ; small_obstacles_range3_3d_agents ; 5 ; 0.33
16 ; small_obstacles_range3_3d_agents ; 5 ; 0.33
17 ; small_obstacles_range3_3d_agents ; 2 ; 0.34
18 ; small_obstacles_range3_3d_agents ; 5 ; 0.34
19 ; small_obstacles_range3_3d_agents ; 5 ; 0.34
20 ; small_obstacles_range3_3d_agents ; 5 ; 0.34
21 ; small_obstacles_range3_3d_agents ; 2 ; 0.35
22 ; small_obstacles_range3_3d_agents ; 2 ; 0.35
23 ; small_obstacles_range3_3d_agents ; 5 ; 0.35
24 ; small_obstacles_range3_3d_agents ; 2 ; 0.36
25 ; small_obstacles_range3_3d_agents ; 5 ; 0.37
26 ; small_obstacles_range3_3d_agents ; 5 ; 0.37
27 ; small_obstacles_range3_3d_agents ; 5 ; 0.37
28 ; small_obstacles_range3_3d_agents ; 5 ; 0.37
29 ; small_obstacles_range3_3d_agents ; 5 ; 0.37
30 ; small_obstacles_range3_3d_agents ; 5 ; 0.37
31 ; small_obstacles_range3_3d_agents ; 2 ; 0.38
32 ; small_obstacles_range3_3d_agents ; 5 ; 0.39
33 ; small_obstacles_range3_3d_agents ; 5 ; 0.4
34 ; small_obstacles_range3_3d_agents ; 5 ; 0.41
35 ; small_obstacles_range3_3d_agents ; 5 ; 0.42
36 ; small_obstacles_range3_3d_agents ; 10 ; 0.44
37 ; small_obstacles_range3_3d_agents ; 10 ; 0.45
38 ; small_obstacles_range3_3d_agents ; 10 ; 0.46
39 ; small_obstacles_range3_3d_agents ; 10 ; 0.48
40 ; small_obstacles_range3_3d_agents ; 10 ; 0.48
41 ; small_obstacles_range3_3d_agents ; 10 ; 0.49
42 ; small_obstacles_range3_3d_agents ; 10 ; 0.49
43 ; small_obstacles_range3_3d_agents ; 10 ; 0.52
44 ; small_obstacles_range3_3d_agents ; 10 ; 0.56
45 ; small_obstacles_range3_3d_agents ; 10 ; 0.56
46 ; small_obstacles_range3_3d_agents ; 10 ; 0.58
47 ; small_obstacles_range3_3d_agents ; 10 ; 0.58
48 ; small_obstacles_range3_3d_agents ; 10 ; 0.62
49 ; small_obstacles_range3_3d_agents ; 2 ; 0.63
50 ; small_obstacles_range3_3d_agents ; 10 ; 0.68
51 ; small_obstacles_range3_3d_agents ; 15 ; 0.68
52 ; small_obstacles_range3_3d_agents ; 5 ; 0.7
53 ; small_obstacles_range3_3d_agents ; 15 ; 0.7
54 ; small_obstacles_range3_3d_agents ; 10 ; 0.71
55 ; small_obstacles_range3_3d_agents ; 15 ; 0.71
56 ; small_obstacles_range3_3d_agents ; 20 ; 0.71
57 ; small_obstacles_range3_3d_agents ; 20 ; 0.76
58 ; small_obstacles_range3_3d_agents ; 15 ; 0.78
59 ; small_obstacles_range3_3d_agents ; 15 ; 0.78
60 ; small_obstacles_range3_3d_agents ; 20 ; 0.78
61 ; small_obstacles_range3_3d_agents ; 20 ; 0.8
62 ; small_obstacles_range3_3d_agents ; 2 ; 0.83
63 ; small_obstacles_range3_3d_agents ; 15 ; 0.83
64 ; small_obstacles_range3_3d_agents ; 10 ; 0.87
65 ; small_obstacles_range3_3d_agents ; 15 ; 0.92
66 ; small_obstacles_range3_3d_agents ; 20 ; 0.92
67 ; small_obstacles_range3_3d_agents ; 20 ; 0.93
68 ; small_obstacles_range3_3d_agents ; 20 ; 0.94
69 ; small_obstacles_range3_3d_agents ; 10 ; 0.96
70 ; small_obstacles_range3_3d_agents ; 15 ; 0.98
71 ; small_obstacles_range3_3d_agents ; 15 ; 1.0
