id ; Experiment ; nb_agents ; time
0 ; parallel_range4_agents ; 2 ; 0.02
1 ; parallel_range4_agents ; 2 ; 0.03
2 ; parallel_range4_agents ; 2 ; 0.03
3 ; parallel_range4_agents ; 2 ; 0.03
4 ; parallel_range4_agents ; 2 ; 0.03
5 ; parallel_range4_agents ; 5 ; 0.03
6 ; parallel_range4_agents ; 5 ; 0.03
7 ; parallel_range4_agents ; 10 ; 0.03
8 ; parallel_range4_agents ; 2 ; 0.04
9 ; parallel_range4_agents ; 2 ; 0.04
10 ; parallel_range4_agents ; 2 ; 0.04
11 ; parallel_range4_agents ; 5 ; 0.04
12 ; parallel_range4_agents ; 5 ; 0.04
13 ; parallel_range4_agents ; 5 ; 0.04
14 ; parallel_range4_agents ; 5 ; 0.04
15 ; parallel_range4_agents ; 5 ; 0.04
16 ; parallel_range4_agents ; 5 ; 0.04
17 ; parallel_range4_agents ; 5 ; 0.04
18 ; parallel_range4_agents ; 5 ; 0.04
19 ; parallel_range4_agents ; 2 ; 0.05
20 ; parallel_range4_agents ; 2 ; 0.05
21 ; parallel_range4_agents ; 2 ; 0.05
22 ; parallel_range4_agents ; 2 ; 0.05
23 ; parallel_range4_agents ; 2 ; 0.05
24 ; parallel_range4_agents ; 2 ; 0.05
25 ; parallel_range4_agents ; 2 ; 0.05
26 ; parallel_range4_agents ; 2 ; 0.05
27 ; parallel_range4_agents ; 2 ; 0.05
28 ; parallel_range4_agents ; 5 ; 0.05
29 ; parallel_range4_agents ; 5 ; 0.05
30 ; parallel_range4_agents ; 5 ; 0.05
31 ; parallel_range4_agents ; 5 ; 0.05
32 ; parallel_range4_agents ; 5 ; 0.05
33 ; parallel_range4_agents ; 10 ; 0.05
34 ; parallel_range4_agents ; 10 ; 0.05
35 ; parallel_range4_agents ; 10 ; 0.05
36 ; parallel_range4_agents ; 15 ; 0.05
37 ; parallel_range4_agents ; 2 ; 0.06
38 ; parallel_range4_agents ; 5 ; 0.06
39 ; parallel_range4_agents ; 5 ; 0.06
40 ; parallel_range4_agents ; 5 ; 0.06
41 ; parallel_range4_agents ; 5 ; 0.06
42 ; parallel_range4_agents ; 10 ; 0.06
43 ; parallel_range4_agents ; 10 ; 0.06
44 ; parallel_range4_agents ; 10 ; 0.06
45 ; parallel_range4_agents ; 10 ; 0.07
46 ; parallel_range4_agents ; 10 ; 0.07
47 ; parallel_range4_agents ; 10 ; 0.07
48 ; parallel_range4_agents ; 15 ; 0.07
49 ; parallel_range4_agents ; 10 ; 0.08
50 ; parallel_range4_agents ; 10 ; 0.08
51 ; parallel_range4_agents ; 15 ; 0.08
52 ; parallel_range4_agents ; 15 ; 0.08
53 ; parallel_range4_agents ; 2 ; 0.09
54 ; parallel_range4_agents ; 10 ; 0.09
55 ; parallel_range4_agents ; 15 ; 0.09
56 ; parallel_range4_agents ; 15 ; 0.09
57 ; parallel_range4_agents ; 15 ; 0.09
58 ; parallel_range4_agents ; 2 ; 0.1
59 ; parallel_range4_agents ; 10 ; 0.1
60 ; parallel_range4_agents ; 10 ; 0.1
61 ; parallel_range4_agents ; 15 ; 0.1
62 ; parallel_range4_agents ; 15 ; 0.11
63 ; parallel_range4_agents ; 15 ; 0.11
64 ; parallel_range4_agents ; 15 ; 0.11
65 ; parallel_range4_agents ; 20 ; 0.11
66 ; parallel_range4_agents ; 15 ; 0.12
67 ; parallel_range4_agents ; 20 ; 0.12
68 ; parallel_range4_agents ; 30 ; 0.12
69 ; parallel_range4_agents ; 15 ; 0.13
70 ; parallel_range4_agents ; 15 ; 0.13
71 ; parallel_range4_agents ; 20 ; 0.13
72 ; parallel_range4_agents ; 20 ; 0.13
73 ; parallel_range4_agents ; 10 ; 0.14
74 ; parallel_range4_agents ; 20 ; 0.14
75 ; parallel_range4_agents ; 20 ; 0.14
76 ; parallel_range4_agents ; 20 ; 0.14
77 ; parallel_range4_agents ; 30 ; 0.14
78 ; parallel_range4_agents ; 15 ; 0.15
79 ; parallel_range4_agents ; 20 ; 0.16
80 ; parallel_range4_agents ; 5 ; 0.17
81 ; parallel_range4_agents ; 20 ; 0.17
82 ; parallel_range4_agents ; 10 ; 0.18
83 ; parallel_range4_agents ; 15 ; 0.18
84 ; parallel_range4_agents ; 20 ; 0.18
85 ; parallel_range4_agents ; 20 ; 0.19
86 ; parallel_range4_agents ; 20 ; 0.2
87 ; parallel_range4_agents ; 20 ; 0.2
88 ; parallel_range4_agents ; 30 ; 0.2
89 ; parallel_range4_agents ; 20 ; 0.21
90 ; parallel_range4_agents ; 10 ; 0.22
91 ; parallel_range4_agents ; 15 ; 0.22
92 ; parallel_range4_agents ; 40 ; 0.23
93 ; parallel_range4_agents ; 10 ; 0.24
94 ; parallel_range4_agents ; 20 ; 0.24
95 ; parallel_range4_agents ; 15 ; 0.25
96 ; parallel_range4_agents ; 20 ; 0.26
97 ; parallel_range4_agents ; 30 ; 0.26
98 ; parallel_range4_agents ; 40 ; 0.28
99 ; parallel_range4_agents ; 30 ; 0.29
100 ; parallel_range4_agents ; 30 ; 0.29
101 ; parallel_range4_agents ; 40 ; 0.3
102 ; parallel_range4_agents ; 30 ; 0.31
103 ; parallel_range4_agents ; 30 ; 0.33
104 ; parallel_range4_agents ; 30 ; 0.34
105 ; parallel_range4_agents ; 40 ; 0.34
106 ; parallel_range4_agents ; 15 ; 0.36
107 ; parallel_range4_agents ; 40 ; 0.38
108 ; parallel_range4_agents ; 40 ; 0.39
109 ; parallel_range4_agents ; 30 ; 0.4
110 ; parallel_range4_agents ; 40 ; 0.4
111 ; parallel_range4_agents ; 40 ; 0.41
112 ; parallel_range4_agents ; 40 ; 0.42
113 ; parallel_range4_agents ; 30 ; 0.46
114 ; parallel_range4_agents ; 30 ; 0.49
115 ; parallel_range4_agents ; 40 ; 0.49
116 ; parallel_range4_agents ; 40 ; 0.5
117 ; parallel_range4_agents ; 50 ; 0.5
118 ; parallel_range4_agents ; 30 ; 0.52
119 ; parallel_range4_agents ; 50 ; 0.55
120 ; parallel_range4_agents ; 10 ; 0.59
121 ; parallel_range4_agents ; 40 ; 0.59
122 ; parallel_range4_agents ; 60 ; 0.6
123 ; parallel_range4_agents ; 20 ; 0.65
124 ; parallel_range4_agents ; 30 ; 0.67
125 ; parallel_range4_agents ; 40 ; 0.7
126 ; parallel_range4_agents ; 50 ; 0.7
127 ; parallel_range4_agents ; 40 ; 0.73
128 ; parallel_range4_agents ; 60 ; 0.73
129 ; parallel_range4_agents ; 60 ; 0.77
130 ; parallel_range4_agents ; 60 ; 0.77
131 ; parallel_range4_agents ; 60 ; 0.88
132 ; parallel_range4_agents ; 50 ; 0.9
133 ; parallel_range4_agents ; 50 ; 1.0
134 ; parallel_range4_agents ; 50 ; 1.09
135 ; parallel_range4_agents ; 60 ; 1.14
136 ; parallel_range4_agents ; 50 ; 1.15
137 ; parallel_range4_agents ; 40 ; 1.18
138 ; parallel_range4_agents ; 60 ; 1.2
139 ; parallel_range4_agents ; 80 ; 1.27
140 ; parallel_range4_agents ; 40 ; 1.29
141 ; parallel_range4_agents ; 60 ; 1.29
142 ; parallel_range4_agents ; 80 ; 1.29
143 ; parallel_range4_agents ; 60 ; 1.35
144 ; parallel_range4_agents ; 30 ; 1.44
145 ; parallel_range4_agents ; 50 ; 1.49
146 ; parallel_range4_agents ; 50 ; 1.55
147 ; parallel_range4_agents ; 60 ; 1.59
148 ; parallel_range4_agents ; 60 ; 1.61
149 ; parallel_range4_agents ; 60 ; 1.61
150 ; parallel_range4_agents ; 30 ; 1.62
151 ; parallel_range4_agents ; 80 ; 1.72
152 ; parallel_range4_agents ; 100 ; 1.75
153 ; parallel_range4_agents ; 100 ; 1.76
154 ; parallel_range4_agents ; 60 ; 1.82
155 ; parallel_range4_agents ; 50 ; 1.94
156 ; parallel_range4_agents ; 100 ; 1.94
157 ; parallel_range4_agents ; 80 ; 1.96
158 ; parallel_range4_agents ; 30 ; 2.09
159 ; parallel_range4_agents ; 60 ; 2.13
160 ; parallel_range4_agents ; 60 ; 2.14
161 ; parallel_range4_agents ; 50 ; 2.25
162 ; parallel_range4_agents ; 60 ; 2.35
163 ; parallel_range4_agents ; 60 ; 2.59
164 ; parallel_range4_agents ; 100 ; 2.64
165 ; parallel_range4_agents ; 20 ; 2.69
166 ; parallel_range4_agents ; 80 ; 2.75
167 ; parallel_range4_agents ; 80 ; 3.21
168 ; parallel_range4_agents ; 40 ; 3.22
169 ; parallel_range4_agents ; 80 ; 3.28
170 ; parallel_range4_agents ; 100 ; 3.39
171 ; parallel_range4_agents ; 30 ; 3.58
172 ; parallel_range4_agents ; 80 ; 3.82
173 ; parallel_range4_agents ; 50 ; 3.84
174 ; parallel_range4_agents ; 80 ; 3.86
175 ; parallel_range4_agents ; 40 ; 3.87
176 ; parallel_range4_agents ; 80 ; 3.89
177 ; parallel_range4_agents ; 125 ; 3.89
178 ; parallel_range4_agents ; 50 ; 3.91
179 ; parallel_range4_agents ; 100 ; 3.94
180 ; parallel_range4_agents ; 80 ; 3.99
181 ; parallel_range4_agents ; 15 ; 4.15
182 ; parallel_range4_agents ; 100 ; 4.27
183 ; parallel_range4_agents ; 125 ; 4.85
184 ; parallel_range4_agents ; 80 ; 5.05
185 ; parallel_range4_agents ; 100 ; 5.09
186 ; parallel_range4_agents ; 100 ; 5.51
187 ; parallel_range4_agents ; 50 ; 5.52
188 ; parallel_range4_agents ; 100 ; 5.52
189 ; parallel_range4_agents ; 80 ; 6.06
190 ; parallel_range4_agents ; 20 ; 6.3
191 ; parallel_range4_agents ; 50 ; 7.04
192 ; parallel_range4_agents ; 50 ; 7.69
193 ; parallel_range4_agents ; 125 ; 7.99
194 ; parallel_range4_agents ; 20 ; 8.21
195 ; parallel_range4_agents ; 125 ; 8.43
196 ; parallel_range4_agents ; 80 ; 8.83
197 ; parallel_range4_agents ; 150 ; 9.44
198 ; parallel_range4_agents ; 40 ; 10.03
199 ; parallel_range4_agents ; 175 ; 10.29
200 ; parallel_range4_agents ; 125 ; 10.87
201 ; parallel_range4_agents ; 150 ; 11.04
202 ; parallel_range4_agents ; 80 ; 11.75
203 ; parallel_range4_agents ; 100 ; 12.42
204 ; parallel_range4_agents ; 80 ; 12.88
205 ; parallel_range4_agents ; 125 ; 13.64
206 ; parallel_range4_agents ; 125 ; 13.89
207 ; parallel_range4_agents ; 60 ; 14.18
208 ; parallel_range4_agents ; 50 ; 14.55
209 ; parallel_range4_agents ; 100 ; 14.57
210 ; parallel_range4_agents ; 175 ; 15.04
211 ; parallel_range4_agents ; 125 ; 15.12
212 ; parallel_range4_agents ; 175 ; 15.51
213 ; parallel_range4_agents ; 100 ; 16.27
214 ; parallel_range4_agents ; 125 ; 16.39
215 ; parallel_range4_agents ; 175 ; 16.53
216 ; parallel_range4_agents ; 175 ; 17.07
217 ; parallel_range4_agents ; 175 ; 20.98
218 ; parallel_range4_agents ; 80 ; 21.5
219 ; parallel_range4_agents ; 80 ; 21.6
220 ; parallel_range4_agents ; 100 ; 22.1
221 ; parallel_range4_agents ; 125 ; 22.18
