id ; Experiment ; nb_agents ; time
0 ; pyramid_range3_3d_agents ; 2 ; 0.02
1 ; pyramid_range3_3d_agents ; 2 ; 0.03
2 ; pyramid_range3_3d_agents ; 2 ; 0.03
3 ; pyramid_range3_3d_agents ; 2 ; 0.04
4 ; pyramid_range3_3d_agents ; 2 ; 0.04
5 ; pyramid_range3_3d_agents ; 2 ; 0.04
6 ; pyramid_range3_3d_agents ; 2 ; 0.05
7 ; pyramid_range3_3d_agents ; 2 ; 0.05
8 ; pyramid_range3_3d_agents ; 2 ; 0.05
9 ; pyramid_range3_3d_agents ; 2 ; 0.05
10 ; pyramid_range3_3d_agents ; 5 ; 0.05
11 ; pyramid_range3_3d_agents ; 2 ; 0.06
12 ; pyramid_range3_3d_agents ; 5 ; 0.06
13 ; pyramid_range3_3d_agents ; 5 ; 0.06
14 ; pyramid_range3_3d_agents ; 5 ; 0.06
15 ; pyramid_range3_3d_agents ; 5 ; 0.06
16 ; pyramid_range3_3d_agents ; 5 ; 0.06
17 ; pyramid_range3_3d_agents ; 5 ; 0.06
18 ; pyramid_range3_3d_agents ; 10 ; 0.06
19 ; pyramid_range3_3d_agents ; 2 ; 0.07
20 ; pyramid_range3_3d_agents ; 2 ; 0.07
21 ; pyramid_range3_3d_agents ; 2 ; 0.07
22 ; pyramid_range3_3d_agents ; 2 ; 0.07
23 ; pyramid_range3_3d_agents ; 2 ; 0.07
24 ; pyramid_range3_3d_agents ; 5 ; 0.07
25 ; pyramid_range3_3d_agents ; 5 ; 0.07
26 ; pyramid_range3_3d_agents ; 5 ; 0.07
27 ; pyramid_range3_3d_agents ; 5 ; 0.07
28 ; pyramid_range3_3d_agents ; 5 ; 0.07
29 ; pyramid_range3_3d_agents ; 5 ; 0.07
30 ; pyramid_range3_3d_agents ; 5 ; 0.07
31 ; pyramid_range3_3d_agents ; 5 ; 0.07
32 ; pyramid_range3_3d_agents ; 5 ; 0.07
33 ; pyramid_range3_3d_agents ; 10 ; 0.07
34 ; pyramid_range3_3d_agents ; 10 ; 0.07
35 ; pyramid_range3_3d_agents ; 15 ; 0.07
36 ; pyramid_range3_3d_agents ; 15 ; 0.07
37 ; pyramid_range3_3d_agents ; 2 ; 0.08
38 ; pyramid_range3_3d_agents ; 2 ; 0.08
39 ; pyramid_range3_3d_agents ; 2 ; 0.08
40 ; pyramid_range3_3d_agents ; 5 ; 0.08
41 ; pyramid_range3_3d_agents ; 5 ; 0.08
42 ; pyramid_range3_3d_agents ; 5 ; 0.08
43 ; pyramid_range3_3d_agents ; 10 ; 0.08
44 ; pyramid_range3_3d_agents ; 10 ; 0.08
45 ; pyramid_range3_3d_agents ; 15 ; 0.08
46 ; pyramid_range3_3d_agents ; 15 ; 0.08
47 ; pyramid_range3_3d_agents ; 5 ; 0.09
48 ; pyramid_range3_3d_agents ; 10 ; 0.09
49 ; pyramid_range3_3d_agents ; 10 ; 0.09
50 ; pyramid_range3_3d_agents ; 15 ; 0.09
51 ; pyramid_range3_3d_agents ; 15 ; 0.09
52 ; pyramid_range3_3d_agents ; 15 ; 0.09
53 ; pyramid_range3_3d_agents ; 20 ; 0.09
54 ; pyramid_range3_3d_agents ; 10 ; 0.1
55 ; pyramid_range3_3d_agents ; 10 ; 0.12
56 ; pyramid_range3_3d_agents ; 10 ; 0.12
57 ; pyramid_range3_3d_agents ; 10 ; 0.12
58 ; pyramid_range3_3d_agents ; 10 ; 0.12
59 ; pyramid_range3_3d_agents ; 15 ; 0.12
60 ; pyramid_range3_3d_agents ; 15 ; 0.13
61 ; pyramid_range3_3d_agents ; 20 ; 0.13
62 ; pyramid_range3_3d_agents ; 20 ; 0.13
63 ; pyramid_range3_3d_agents ; 20 ; 0.13
64 ; pyramid_range3_3d_agents ; 10 ; 0.14
65 ; pyramid_range3_3d_agents ; 20 ; 0.14
66 ; pyramid_range3_3d_agents ; 20 ; 0.14
67 ; pyramid_range3_3d_agents ; 20 ; 0.14
68 ; pyramid_range3_3d_agents ; 2 ; 0.15
69 ; pyramid_range3_3d_agents ; 10 ; 0.15
70 ; pyramid_range3_3d_agents ; 20 ; 0.15
71 ; pyramid_range3_3d_agents ; 10 ; 0.17
72 ; pyramid_range3_3d_agents ; 15 ; 0.17
73 ; pyramid_range3_3d_agents ; 20 ; 0.17
74 ; pyramid_range3_3d_agents ; 10 ; 0.18
75 ; pyramid_range3_3d_agents ; 10 ; 0.18
76 ; pyramid_range3_3d_agents ; 20 ; 0.18
77 ; pyramid_range3_3d_agents ; 15 ; 0.19
78 ; pyramid_range3_3d_agents ; 15 ; 0.2
79 ; pyramid_range3_3d_agents ; 15 ; 0.2
80 ; pyramid_range3_3d_agents ; 15 ; 0.21
81 ; pyramid_range3_3d_agents ; 20 ; 0.21
