id ; Experiment ; nb_agents ; time
0 ; small_obstacles_range3_3d_agents ; 2 ; 0.28
1 ; small_obstacles_range3_3d_agents ; 2 ; 0.28
2 ; small_obstacles_range3_3d_agents ; 2 ; 0.29
3 ; small_obstacles_range3_3d_agents ; 2 ; 0.29
4 ; small_obstacles_range3_3d_agents ; 2 ; 0.29
5 ; small_obstacles_range3_3d_agents ; 2 ; 0.29
6 ; small_obstacles_range3_3d_agents ; 2 ; 0.3
7 ; small_obstacles_range3_3d_agents ; 2 ; 0.3
8 ; small_obstacles_range3_3d_agents ; 2 ; 0.3
9 ; small_obstacles_range3_3d_agents ; 2 ; 0.3
10 ; small_obstacles_range3_3d_agents ; 5 ; 0.31
11 ; small_obstacles_range3_3d_agents ; 5 ; 0.31
12 ; small_obstacles_range3_3d_agents ; 2 ; 0.32
13 ; small_obstacles_range3_3d_agents ; 2 ; 0.32
14 ; small_obstacles_range3_3d_agents ; 2 ; 0.32
15 ; small_obstacles_range3_3d_agents ; 2 ; 0.32
16 ; small_obstacles_range3_3d_agents ; 5 ; 0.32
17 ; small_obstacles_range3_3d_agents ; 5 ; 0.32
18 ; small_obstacles_range3_3d_agents ; 5 ; 0.32
19 ; small_obstacles_range3_3d_agents ; 2 ; 0.33
20 ; small_obstacles_range3_3d_agents ; 5 ; 0.33
21 ; small_obstacles_range3_3d_agents ; 5 ; 0.33
22 ; small_obstacles_range3_3d_agents ; 2 ; 0.34
23 ; small_obstacles_range3_3d_agents ; 5 ; 0.34
24 ; small_obstacles_range3_3d_agents ; 5 ; 0.34
25 ; small_obstacles_range3_3d_agents ; 5 ; 0.34
26 ; small_obstacles_range3_3d_agents ; 5 ; 0.35
27 ; small_obstacles_range3_3d_agents ; 5 ; 0.35
28 ; small_obstacles_range3_3d_agents ; 5 ; 0.35
29 ; small_obstacles_range3_3d_agents ; 5 ; 0.37
30 ; small_obstacles_range3_3d_agents ; 5 ; 0.37
31 ; small_obstacles_range3_3d_agents ; 5 ; 0.37
32 ; small_obstacles_range3_3d_agents ; 5 ; 0.38
33 ; small_obstacles_range3_3d_agents ; 2 ; 0.4
34 ; small_obstacles_range3_3d_agents ; 2 ; 0.4
35 ; small_obstacles_range3_3d_agents ; 5 ; 0.41
36 ; small_obstacles_range3_3d_agents ; 10 ; 0.41
37 ; small_obstacles_range3_3d_agents ; 10 ; 0.42
38 ; small_obstacles_range3_3d_agents ; 10 ; 0.44
39 ; small_obstacles_range3_3d_agents ; 10 ; 0.47
40 ; small_obstacles_range3_3d_agents ; 10 ; 0.48
41 ; small_obstacles_range3_3d_agents ; 10 ; 0.49
42 ; small_obstacles_range3_3d_agents ; 2 ; 0.51
43 ; small_obstacles_range3_3d_agents ; 10 ; 0.51
44 ; small_obstacles_range3_3d_agents ; 10 ; 0.51
45 ; small_obstacles_range3_3d_agents ; 10 ; 0.52
46 ; small_obstacles_range3_3d_agents ; 10 ; 0.55
47 ; small_obstacles_range3_3d_agents ; 10 ; 0.58
48 ; small_obstacles_range3_3d_agents ; 10 ; 0.61
49 ; small_obstacles_range3_3d_agents ; 10 ; 0.63
50 ; small_obstacles_range3_3d_agents ; 10 ; 0.66
51 ; small_obstacles_range3_3d_agents ; 20 ; 0.67
52 ; small_obstacles_range3_3d_agents ; 5 ; 0.69
53 ; small_obstacles_range3_3d_agents ; 10 ; 0.69
54 ; small_obstacles_range3_3d_agents ; 15 ; 0.69
55 ; small_obstacles_range3_3d_agents ; 15 ; 0.7
56 ; small_obstacles_range3_3d_agents ; 15 ; 0.7
57 ; small_obstacles_range3_3d_agents ; 15 ; 0.72
58 ; small_obstacles_range3_3d_agents ; 15 ; 0.74
59 ; small_obstacles_range3_3d_agents ; 15 ; 0.76
60 ; small_obstacles_range3_3d_agents ; 20 ; 0.77
61 ; small_obstacles_range3_3d_agents ; 15 ; 0.79
62 ; small_obstacles_range3_3d_agents ; 10 ; 0.8
63 ; small_obstacles_range3_3d_agents ; 15 ; 0.8
64 ; small_obstacles_range3_3d_agents ; 20 ; 0.8
65 ; small_obstacles_range3_3d_agents ; 20 ; 0.81
66 ; small_obstacles_range3_3d_agents ; 10 ; 0.82
67 ; small_obstacles_range3_3d_agents ; 10 ; 0.82
68 ; small_obstacles_range3_3d_agents ; 20 ; 0.82
69 ; small_obstacles_range3_3d_agents ; 2 ; 0.87
70 ; small_obstacles_range3_3d_agents ; 10 ; 0.88
71 ; small_obstacles_range3_3d_agents ; 15 ; 0.88
