id ; Experiment ; nb_agents ; cost
0 ; offices_range1_agents ; 5 ; 14.0
1 ; offices_range1_agents ; 5 ; 19.0
2 ; offices_range1_agents ; 2 ; 22.0
3 ; offices_range1_agents ; 5 ; 24.0
4 ; offices_range1_agents ; 2 ; 26.0
5 ; offices_range1_agents ; 2 ; 26.0
6 ; offices_range1_agents ; 10 ; 26.0
7 ; offices_range1_agents ; 10 ; 26.0
8 ; offices_range1_agents ; 2 ; 27.0
9 ; offices_range1_agents ; 2 ; 32.0
10 ; offices_range1_agents ; 10 ; 32.0
11 ; offices_range1_agents ; 2 ; 35.0
12 ; offices_range1_agents ; 2 ; 35.0
13 ; offices_range1_agents ; 5 ; 35.0
14 ; offices_range1_agents ; 10 ; 37.0
15 ; offices_range1_agents ; 5 ; 39.0
16 ; offices_range1_agents ; 5 ; 39.0
17 ; offices_range1_agents ; 2 ; 41.0
18 ; offices_range1_agents ; 5 ; 41.0
19 ; offices_range1_agents ; 2 ; 43.0
20 ; offices_range1_agents ; 2 ; 43.0
21 ; offices_range1_agents ; 5 ; 43.0
22 ; offices_range1_agents ; 10 ; 43.0
23 ; offices_range1_agents ; 5 ; 44.0
24 ; offices_range1_agents ; 2 ; 45.0
25 ; offices_range1_agents ; 5 ; 48.0
26 ; offices_range1_agents ; 2 ; 49.0
27 ; offices_range1_agents ; 2 ; 49.0
28 ; offices_range1_agents ; 10 ; 49.0
29 ; offices_range1_agents ; 10 ; 50.0
30 ; offices_range1_agents ; 2 ; 51.0
31 ; offices_range1_agents ; 2 ; 52.0
32 ; offices_range1_agents ; 5 ; 61.0
33 ; offices_range1_agents ; 5 ; 62.0
34 ; offices_range1_agents ; 5 ; 63.0
35 ; offices_range1_agents ; 2 ; 67.0
36 ; offices_range1_agents ; 10 ; 69.0
37 ; offices_range1_agents ; 2 ; 70.0
38 ; offices_range1_agents ; 2 ; 70.0
39 ; offices_range1_agents ; 2 ; 75.0
40 ; offices_range1_agents ; 10 ; 75.0
41 ; offices_range1_agents ; 10 ; 79.0
42 ; offices_range1_agents ; 2 ; 83.0
43 ; offices_range1_agents ; 5 ; 83.0
44 ; offices_range1_agents ; 5 ; 84.0
45 ; offices_range1_agents ; 5 ; 85.0
46 ; offices_range1_agents ; 10 ; 88.0
47 ; offices_range1_agents ; 5 ; 94.0
48 ; offices_range1_agents ; 10 ; 95.0
49 ; offices_range1_agents ; 5 ; 99.0
50 ; offices_range1_agents ; 5 ; 109.0
