id ; Experiment ; nb_agents ; cost
0 ; parallel_range4_agents ; 2 ; 4.0
1 ; parallel_range4_agents ; 2 ; 8.0
2 ; parallel_range4_agents ; 2 ; 15.0
3 ; parallel_range4_agents ; 2 ; 20.0
4 ; parallel_range4_agents ; 2 ; 22.0
5 ; parallel_range4_agents ; 2 ; 23.0
6 ; parallel_range4_agents ; 5 ; 24.0
7 ; parallel_range4_agents ; 5 ; 25.0
8 ; parallel_range4_agents ; 10 ; 27.0
9 ; parallel_range4_agents ; 2 ; 28.0
10 ; parallel_range4_agents ; 10 ; 28.0
11 ; parallel_range4_agents ; 2 ; 29.0
12 ; parallel_range4_agents ; 15 ; 29.0
13 ; parallel_range4_agents ; 5 ; 30.0
14 ; parallel_range4_agents ; 2 ; 31.0
15 ; parallel_range4_agents ; 10 ; 31.0
16 ; parallel_range4_agents ; 5 ; 32.0
17 ; parallel_range4_agents ; 2 ; 34.0
18 ; parallel_range4_agents ; 2 ; 35.0
19 ; parallel_range4_agents ; 15 ; 35.0
20 ; parallel_range4_agents ; 2 ; 37.0
21 ; parallel_range4_agents ; 10 ; 38.0
22 ; parallel_range4_agents ; 10 ; 38.0
23 ; parallel_range4_agents ; 5 ; 40.0
24 ; parallel_range4_agents ; 5 ; 41.0
25 ; parallel_range4_agents ; 15 ; 42.0
26 ; parallel_range4_agents ; 15 ; 42.0
27 ; parallel_range4_agents ; 2 ; 43.0
28 ; parallel_range4_agents ; 15 ; 43.0
29 ; parallel_range4_agents ; 10 ; 45.0
30 ; parallel_range4_agents ; 10 ; 45.0
31 ; parallel_range4_agents ; 2 ; 46.0
32 ; parallel_range4_agents ; 5 ; 46.0
33 ; parallel_range4_agents ; 10 ; 46.0
34 ; parallel_range4_agents ; 15 ; 47.0
35 ; parallel_range4_agents ; 2 ; 48.0
36 ; parallel_range4_agents ; 2 ; 48.0
37 ; parallel_range4_agents ; 15 ; 49.0
38 ; parallel_range4_agents ; 5 ; 50.0
39 ; parallel_range4_agents ; 5 ; 50.0
40 ; parallel_range4_agents ; 5 ; 50.0
41 ; parallel_range4_agents ; 2 ; 51.0
42 ; parallel_range4_agents ; 20 ; 51.0
43 ; parallel_range4_agents ; 2 ; 53.0
44 ; parallel_range4_agents ; 5 ; 53.0
45 ; parallel_range4_agents ; 2 ; 56.0
46 ; parallel_range4_agents ; 2 ; 65.0
47 ; parallel_range4_agents ; 5 ; 65.0
48 ; parallel_range4_agents ; 5 ; 68.0
49 ; parallel_range4_agents ; 5 ; 71.0
50 ; parallel_range4_agents ; 15 ; 72.0
51 ; parallel_range4_agents ; 5 ; 76.0
52 ; parallel_range4_agents ; 15 ; 77.0
53 ; parallel_range4_agents ; 15 ; 78.0
54 ; parallel_range4_agents ; 5 ; 93.0
55 ; parallel_range4_agents ; 5 ; 103.0
