id ; Experiment ; nb_agents ; time
0 ; parallel_range4_agents ; 5 ; 0.01
1 ; parallel_range4_agents ; 5 ; 0.01
2 ; parallel_range4_agents ; 2 ; 0.02
3 ; parallel_range4_agents ; 5 ; 0.02
4 ; parallel_range4_agents ; 5 ; 0.02
5 ; parallel_range4_agents ; 5 ; 0.02
6 ; parallel_range4_agents ; 5 ; 0.02
7 ; parallel_range4_agents ; 5 ; 0.02
8 ; parallel_range4_agents ; 5 ; 0.02
9 ; parallel_range4_agents ; 5 ; 0.02
10 ; parallel_range4_agents ; 5 ; 0.02
11 ; parallel_range4_agents ; 5 ; 0.02
12 ; parallel_range4_agents ; 2 ; 0.03
13 ; parallel_range4_agents ; 2 ; 0.03
14 ; parallel_range4_agents ; 2 ; 0.03
15 ; parallel_range4_agents ; 2 ; 0.03
16 ; parallel_range4_agents ; 2 ; 0.03
17 ; parallel_range4_agents ; 2 ; 0.03
18 ; parallel_range4_agents ; 5 ; 0.03
19 ; parallel_range4_agents ; 5 ; 0.03
20 ; parallel_range4_agents ; 10 ; 0.03
21 ; parallel_range4_agents ; 10 ; 0.03
22 ; parallel_range4_agents ; 2 ; 0.04
23 ; parallel_range4_agents ; 2 ; 0.04
24 ; parallel_range4_agents ; 2 ; 0.04
25 ; parallel_range4_agents ; 5 ; 0.04
26 ; parallel_range4_agents ; 10 ; 0.04
27 ; parallel_range4_agents ; 10 ; 0.04
28 ; parallel_range4_agents ; 2 ; 0.05
29 ; parallel_range4_agents ; 2 ; 0.05
30 ; parallel_range4_agents ; 2 ; 0.05
31 ; parallel_range4_agents ; 2 ; 0.05
32 ; parallel_range4_agents ; 2 ; 0.05
33 ; parallel_range4_agents ; 2 ; 0.05
34 ; parallel_range4_agents ; 2 ; 0.05
35 ; parallel_range4_agents ; 2 ; 0.05
36 ; parallel_range4_agents ; 5 ; 0.05
37 ; parallel_range4_agents ; 10 ; 0.05
38 ; parallel_range4_agents ; 2 ; 0.06
39 ; parallel_range4_agents ; 10 ; 0.07
40 ; parallel_range4_agents ; 2 ; 0.09
41 ; parallel_range4_agents ; 10 ; 0.12
42 ; parallel_range4_agents ; 5 ; 0.2
43 ; parallel_range4_agents ; 15 ; 0.2
44 ; parallel_range4_agents ; 10 ; 0.35
45 ; parallel_range4_agents ; 15 ; 0.79
46 ; parallel_range4_agents ; 15 ; 2.34
47 ; parallel_range4_agents ; 5 ; 2.49
48 ; parallel_range4_agents ; 15 ; 2.75
49 ; parallel_range4_agents ; 15 ; 5.2
50 ; parallel_range4_agents ; 15 ; 5.81
51 ; parallel_range4_agents ; 15 ; 6.57
52 ; parallel_range4_agents ; 15 ; 13.84
53 ; parallel_range4_agents ; 15 ; 30.07
54 ; parallel_range4_agents ; 15 ; 45.5
55 ; parallel_range4_agents ; 20 ; 52.75
