id ; Experiment ; nb_agents ; cost
0 ; pyramid_range3_3d_agents ; 2 ; 7.0
1 ; pyramid_range3_3d_agents ; 2 ; 8.0
2 ; pyramid_range3_3d_agents ; 5 ; 8.0
3 ; pyramid_range3_3d_agents ; 5 ; 8.0
4 ; pyramid_range3_3d_agents ; 5 ; 9.0
5 ; pyramid_range3_3d_agents ; 10 ; 9.0
6 ; pyramid_range3_3d_agents ; 2 ; 10.0
7 ; pyramid_range3_3d_agents ; 2 ; 10.0
8 ; pyramid_range3_3d_agents ; 2 ; 10.0
9 ; pyramid_range3_3d_agents ; 5 ; 10.0
10 ; pyramid_range3_3d_agents ; 10 ; 10.0
11 ; pyramid_range3_3d_agents ; 5 ; 11.0
12 ; pyramid_range3_3d_agents ; 5 ; 11.0
13 ; pyramid_range3_3d_agents ; 10 ; 11.0
14 ; pyramid_range3_3d_agents ; 10 ; 11.0
15 ; pyramid_range3_3d_agents ; 15 ; 11.0
16 ; pyramid_range3_3d_agents ; 2 ; 12.0
17 ; pyramid_range3_3d_agents ; 15 ; 12.0
18 ; pyramid_range3_3d_agents ; 2 ; 13.0
19 ; pyramid_range3_3d_agents ; 10 ; 13.0
20 ; pyramid_range3_3d_agents ; 20 ; 13.0
21 ; pyramid_range3_3d_agents ; 2 ; 14.0
22 ; pyramid_range3_3d_agents ; 5 ; 14.0
23 ; pyramid_range3_3d_agents ; 15 ; 14.0
24 ; pyramid_range3_3d_agents ; 2 ; 15.0
25 ; pyramid_range3_3d_agents ; 10 ; 15.0
26 ; pyramid_range3_3d_agents ; 2 ; 16.0
27 ; pyramid_range3_3d_agents ; 2 ; 16.0
28 ; pyramid_range3_3d_agents ; 2 ; 16.0
29 ; pyramid_range3_3d_agents ; 15 ; 16.0
30 ; pyramid_range3_3d_agents ; 15 ; 16.0
31 ; pyramid_range3_3d_agents ; 20 ; 16.0
32 ; pyramid_range3_3d_agents ; 5 ; 17.0
33 ; pyramid_range3_3d_agents ; 10 ; 17.0
34 ; pyramid_range3_3d_agents ; 5 ; 18.0
35 ; pyramid_range3_3d_agents ; 5 ; 18.0
36 ; pyramid_range3_3d_agents ; 10 ; 18.0
37 ; pyramid_range3_3d_agents ; 10 ; 18.0
38 ; pyramid_range3_3d_agents ; 10 ; 19.0
39 ; pyramid_range3_3d_agents ; 10 ; 19.0
40 ; pyramid_range3_3d_agents ; 15 ; 19.0
41 ; pyramid_range3_3d_agents ; 15 ; 19.0
42 ; pyramid_range3_3d_agents ; 20 ; 19.0
43 ; pyramid_range3_3d_agents ; 2 ; 20.0
44 ; pyramid_range3_3d_agents ; 30 ; 20.0
45 ; pyramid_range3_3d_agents ; 2 ; 21.0
46 ; pyramid_range3_3d_agents ; 10 ; 21.0
47 ; pyramid_range3_3d_agents ; 15 ; 21.0
48 ; pyramid_range3_3d_agents ; 30 ; 21.0
49 ; pyramid_range3_3d_agents ; 5 ; 22.0
50 ; pyramid_range3_3d_agents ; 5 ; 22.0
51 ; pyramid_range3_3d_agents ; 10 ; 22.0
52 ; pyramid_range3_3d_agents ; 10 ; 22.0
53 ; pyramid_range3_3d_agents ; 20 ; 22.0
54 ; pyramid_range3_3d_agents ; 10 ; 23.0
55 ; pyramid_range3_3d_agents ; 40 ; 23.0
56 ; pyramid_range3_3d_agents ; 80 ; 23.0
57 ; pyramid_range3_3d_agents ; 40 ; 24.0
58 ; pyramid_range3_3d_agents ; 80 ; 24.0
59 ; pyramid_range3_3d_agents ; 5 ; 25.0
60 ; pyramid_range3_3d_agents ; 15 ; 25.0
61 ; pyramid_range3_3d_agents ; 2 ; 26.0
62 ; pyramid_range3_3d_agents ; 5 ; 26.0
63 ; pyramid_range3_3d_agents ; 15 ; 26.0
64 ; pyramid_range3_3d_agents ; 2 ; 27.0
65 ; pyramid_range3_3d_agents ; 2 ; 27.0
66 ; pyramid_range3_3d_agents ; 5 ; 27.0
67 ; pyramid_range3_3d_agents ; 15 ; 27.0
68 ; pyramid_range3_3d_agents ; 5 ; 28.0
69 ; pyramid_range3_3d_agents ; 20 ; 28.0
70 ; pyramid_range3_3d_agents ; 15 ; 29.0
71 ; pyramid_range3_3d_agents ; 15 ; 29.0
72 ; pyramid_range3_3d_agents ; 30 ; 29.0
73 ; pyramid_range3_3d_agents ; 5 ; 30.0
74 ; pyramid_range3_3d_agents ; 10 ; 30.0
75 ; pyramid_range3_3d_agents ; 15 ; 30.0
76 ; pyramid_range3_3d_agents ; 2 ; 31.0
77 ; pyramid_range3_3d_agents ; 10 ; 31.0
78 ; pyramid_range3_3d_agents ; 10 ; 31.0
79 ; pyramid_range3_3d_agents ; 2 ; 32.0
80 ; pyramid_range3_3d_agents ; 5 ; 33.0
81 ; pyramid_range3_3d_agents ; 15 ; 39.0
82 ; pyramid_range3_3d_agents ; 2 ; 40.0
83 ; pyramid_range3_3d_agents ; 5 ; 49.0
84 ; pyramid_range3_3d_agents ; 5 ; 58.0
