id ; Experiment ; nb_agents ; time
0 ; pyramid_range3_3d_agents ; 5 ; 0.01
1 ; pyramid_range3_3d_agents ; 2 ; 0.02
2 ; pyramid_range3_3d_agents ; 5 ; 0.02
3 ; pyramid_range3_3d_agents ; 5 ; 0.02
4 ; pyramid_range3_3d_agents ; 5 ; 0.02
5 ; pyramid_range3_3d_agents ; 5 ; 0.02
6 ; pyramid_range3_3d_agents ; 5 ; 0.02
7 ; pyramid_range3_3d_agents ; 5 ; 0.02
8 ; pyramid_range3_3d_agents ; 2 ; 0.03
9 ; pyramid_range3_3d_agents ; 5 ; 0.03
10 ; pyramid_range3_3d_agents ; 5 ; 0.03
11 ; pyramid_range3_3d_agents ; 5 ; 0.03
12 ; pyramid_range3_3d_agents ; 5 ; 0.03
13 ; pyramid_range3_3d_agents ; 5 ; 0.03
14 ; pyramid_range3_3d_agents ; 5 ; 0.03
15 ; pyramid_range3_3d_agents ; 5 ; 0.03
16 ; pyramid_range3_3d_agents ; 5 ; 0.03
17 ; pyramid_range3_3d_agents ; 10 ; 0.03
18 ; pyramid_range3_3d_agents ; 10 ; 0.03
19 ; pyramid_range3_3d_agents ; 10 ; 0.03
20 ; pyramid_range3_3d_agents ; 10 ; 0.03
21 ; pyramid_range3_3d_agents ; 10 ; 0.03
22 ; pyramid_range3_3d_agents ; 10 ; 0.03
23 ; pyramid_range3_3d_agents ; 10 ; 0.03
24 ; pyramid_range3_3d_agents ; 10 ; 0.03
25 ; pyramid_range3_3d_agents ; 2 ; 0.04
26 ; pyramid_range3_3d_agents ; 2 ; 0.04
27 ; pyramid_range3_3d_agents ; 2 ; 0.04
28 ; pyramid_range3_3d_agents ; 2 ; 0.04
29 ; pyramid_range3_3d_agents ; 5 ; 0.04
30 ; pyramid_range3_3d_agents ; 5 ; 0.04
31 ; pyramid_range3_3d_agents ; 10 ; 0.04
32 ; pyramid_range3_3d_agents ; 10 ; 0.04
33 ; pyramid_range3_3d_agents ; 10 ; 0.04
34 ; pyramid_range3_3d_agents ; 10 ; 0.04
35 ; pyramid_range3_3d_agents ; 10 ; 0.04
36 ; pyramid_range3_3d_agents ; 10 ; 0.04
37 ; pyramid_range3_3d_agents ; 10 ; 0.04
38 ; pyramid_range3_3d_agents ; 20 ; 0.04
39 ; pyramid_range3_3d_agents ; 2 ; 0.05
40 ; pyramid_range3_3d_agents ; 2 ; 0.05
41 ; pyramid_range3_3d_agents ; 2 ; 0.05
42 ; pyramid_range3_3d_agents ; 10 ; 0.05
43 ; pyramid_range3_3d_agents ; 10 ; 0.05
44 ; pyramid_range3_3d_agents ; 15 ; 0.05
45 ; pyramid_range3_3d_agents ; 15 ; 0.05
46 ; pyramid_range3_3d_agents ; 15 ; 0.05
47 ; pyramid_range3_3d_agents ; 2 ; 0.06
48 ; pyramid_range3_3d_agents ; 2 ; 0.06
49 ; pyramid_range3_3d_agents ; 2 ; 0.06
50 ; pyramid_range3_3d_agents ; 2 ; 0.06
51 ; pyramid_range3_3d_agents ; 15 ; 0.06
52 ; pyramid_range3_3d_agents ; 30 ; 0.06
53 ; pyramid_range3_3d_agents ; 2 ; 0.07
54 ; pyramid_range3_3d_agents ; 2 ; 0.07
55 ; pyramid_range3_3d_agents ; 2 ; 0.07
56 ; pyramid_range3_3d_agents ; 15 ; 0.07
57 ; pyramid_range3_3d_agents ; 15 ; 0.07
58 ; pyramid_range3_3d_agents ; 15 ; 0.07
59 ; pyramid_range3_3d_agents ; 2 ; 0.08
60 ; pyramid_range3_3d_agents ; 2 ; 0.08
61 ; pyramid_range3_3d_agents ; 2 ; 0.08
62 ; pyramid_range3_3d_agents ; 15 ; 0.08
63 ; pyramid_range3_3d_agents ; 15 ; 0.08
64 ; pyramid_range3_3d_agents ; 40 ; 0.09
65 ; pyramid_range3_3d_agents ; 5 ; 0.11
66 ; pyramid_range3_3d_agents ; 20 ; 0.13
67 ; pyramid_range3_3d_agents ; 40 ; 0.15
68 ; pyramid_range3_3d_agents ; 2 ; 0.16
69 ; pyramid_range3_3d_agents ; 15 ; 0.2
70 ; pyramid_range3_3d_agents ; 80 ; 0.32
71 ; pyramid_range3_3d_agents ; 15 ; 0.35
72 ; pyramid_range3_3d_agents ; 20 ; 0.35
73 ; pyramid_range3_3d_agents ; 80 ; 0.48
74 ; pyramid_range3_3d_agents ; 15 ; 0.7
75 ; pyramid_range3_3d_agents ; 10 ; 0.75
76 ; pyramid_range3_3d_agents ; 15 ; 0.94
77 ; pyramid_range3_3d_agents ; 30 ; 1.45
78 ; pyramid_range3_3d_agents ; 15 ; 1.95
79 ; pyramid_range3_3d_agents ; 5 ; 3.17
80 ; pyramid_range3_3d_agents ; 15 ; 3.24
81 ; pyramid_range3_3d_agents ; 30 ; 5.29
82 ; pyramid_range3_3d_agents ; 20 ; 7.3
83 ; pyramid_range3_3d_agents ; 5 ; 15.44
84 ; pyramid_range3_3d_agents ; 20 ; 131.07
