id ; Experiment ; nb_agents ; cost
0 ; small_obstacles_range3_3d_agents ; 10 ; 12.0
1 ; small_obstacles_range3_3d_agents ; 2 ; 15.0
2 ; small_obstacles_range3_3d_agents ; 2 ; 19.0
3 ; small_obstacles_range3_3d_agents ; 2 ; 22.0
4 ; small_obstacles_range3_3d_agents ; 2 ; 23.0
5 ; small_obstacles_range3_3d_agents ; 5 ; 23.0
6 ; small_obstacles_range3_3d_agents ; 20 ; 23.0
7 ; small_obstacles_range3_3d_agents ; 2 ; 26.0
8 ; small_obstacles_range3_3d_agents ; 10 ; 26.0
9 ; small_obstacles_range3_3d_agents ; 5 ; 28.0
10 ; small_obstacles_range3_3d_agents ; 20 ; 29.0
11 ; small_obstacles_range3_3d_agents ; 2 ; 30.0
12 ; small_obstacles_range3_3d_agents ; 10 ; 30.0
13 ; small_obstacles_range3_3d_agents ; 2 ; 31.0
14 ; small_obstacles_range3_3d_agents ; 15 ; 32.0
15 ; small_obstacles_range3_3d_agents ; 15 ; 32.0
16 ; small_obstacles_range3_3d_agents ; 5 ; 33.0
17 ; small_obstacles_range3_3d_agents ; 20 ; 33.0
18 ; small_obstacles_range3_3d_agents ; 15 ; 34.0
19 ; small_obstacles_range3_3d_agents ; 5 ; 35.0
20 ; small_obstacles_range3_3d_agents ; 5 ; 36.0
21 ; small_obstacles_range3_3d_agents ; 20 ; 37.0
22 ; small_obstacles_range3_3d_agents ; 2 ; 38.0
23 ; small_obstacles_range3_3d_agents ; 5 ; 38.0
24 ; small_obstacles_range3_3d_agents ; 10 ; 38.0
25 ; small_obstacles_range3_3d_agents ; 2 ; 39.0
26 ; small_obstacles_range3_3d_agents ; 5 ; 39.0
27 ; small_obstacles_range3_3d_agents ; 5 ; 39.0
28 ; small_obstacles_range3_3d_agents ; 15 ; 41.0
29 ; small_obstacles_range3_3d_agents ; 2 ; 42.0
30 ; small_obstacles_range3_3d_agents ; 5 ; 42.0
31 ; small_obstacles_range3_3d_agents ; 10 ; 45.0
32 ; small_obstacles_range3_3d_agents ; 5 ; 47.0
33 ; small_obstacles_range3_3d_agents ; 10 ; 47.0
34 ; small_obstacles_range3_3d_agents ; 2 ; 48.0
35 ; small_obstacles_range3_3d_agents ; 2 ; 49.0
36 ; small_obstacles_range3_3d_agents ; 2 ; 49.0
37 ; small_obstacles_range3_3d_agents ; 2 ; 50.0
38 ; small_obstacles_range3_3d_agents ; 2 ; 51.0
39 ; small_obstacles_range3_3d_agents ; 2 ; 52.0
40 ; small_obstacles_range3_3d_agents ; 5 ; 52.0
41 ; small_obstacles_range3_3d_agents ; 10 ; 52.0
42 ; small_obstacles_range3_3d_agents ; 20 ; 53.0
43 ; small_obstacles_range3_3d_agents ; 5 ; 55.0
44 ; small_obstacles_range3_3d_agents ; 5 ; 55.0
45 ; small_obstacles_range3_3d_agents ; 2 ; 56.0
46 ; small_obstacles_range3_3d_agents ; 10 ; 56.0
47 ; small_obstacles_range3_3d_agents ; 5 ; 57.0
48 ; small_obstacles_range3_3d_agents ; 2 ; 59.0
49 ; small_obstacles_range3_3d_agents ; 5 ; 61.0
50 ; small_obstacles_range3_3d_agents ; 10 ; 61.0
51 ; small_obstacles_range3_3d_agents ; 5 ; 62.0
52 ; small_obstacles_range3_3d_agents ; 2 ; 65.0
53 ; small_obstacles_range3_3d_agents ; 5 ; 68.0
54 ; small_obstacles_range3_3d_agents ; 10 ; 69.0
55 ; small_obstacles_range3_3d_agents ; 5 ; 70.0
56 ; small_obstacles_range3_3d_agents ; 2 ; 71.0
57 ; small_obstacles_range3_3d_agents ; 5 ; 73.0
58 ; small_obstacles_range3_3d_agents ; 10 ; 88.0
