id ; Experiment ; nb_agents ; time
0 ; small_obstacles_range3_3d_agents ; 2 ; 0.25
1 ; small_obstacles_range3_3d_agents ; 2 ; 0.28
2 ; small_obstacles_range3_3d_agents ; 2 ; 0.28
3 ; small_obstacles_range3_3d_agents ; 2 ; 0.28
4 ; small_obstacles_range3_3d_agents ; 2 ; 0.28
5 ; small_obstacles_range3_3d_agents ; 2 ; 0.28
6 ; small_obstacles_range3_3d_agents ; 2 ; 0.28
7 ; small_obstacles_range3_3d_agents ; 2 ; 0.29
8 ; small_obstacles_range3_3d_agents ; 2 ; 0.29
9 ; small_obstacles_range3_3d_agents ; 2 ; 0.29
10 ; small_obstacles_range3_3d_agents ; 2 ; 0.29
11 ; small_obstacles_range3_3d_agents ; 2 ; 0.29
12 ; small_obstacles_range3_3d_agents ; 5 ; 0.29
13 ; small_obstacles_range3_3d_agents ; 2 ; 0.3
14 ; small_obstacles_range3_3d_agents ; 2 ; 0.31
15 ; small_obstacles_range3_3d_agents ; 5 ; 0.31
16 ; small_obstacles_range3_3d_agents ; 2 ; 0.32
17 ; small_obstacles_range3_3d_agents ; 2 ; 0.32
18 ; small_obstacles_range3_3d_agents ; 2 ; 0.33
19 ; small_obstacles_range3_3d_agents ; 5 ; 0.33
20 ; small_obstacles_range3_3d_agents ; 5 ; 0.35
21 ; small_obstacles_range3_3d_agents ; 5 ; 0.35
22 ; small_obstacles_range3_3d_agents ; 5 ; 0.36
23 ; small_obstacles_range3_3d_agents ; 5 ; 0.36
24 ; small_obstacles_range3_3d_agents ; 5 ; 0.37
25 ; small_obstacles_range3_3d_agents ; 5 ; 0.37
26 ; small_obstacles_range3_3d_agents ; 2 ; 0.38
27 ; small_obstacles_range3_3d_agents ; 2 ; 0.39
28 ; small_obstacles_range3_3d_agents ; 5 ; 0.39
29 ; small_obstacles_range3_3d_agents ; 5 ; 0.39
30 ; small_obstacles_range3_3d_agents ; 5 ; 0.4
31 ; small_obstacles_range3_3d_agents ; 5 ; 0.41
32 ; small_obstacles_range3_3d_agents ; 5 ; 0.41
33 ; small_obstacles_range3_3d_agents ; 15 ; 0.44
34 ; small_obstacles_range3_3d_agents ; 10 ; 0.46
35 ; small_obstacles_range3_3d_agents ; 5 ; 0.49
36 ; small_obstacles_range3_3d_agents ; 10 ; 0.56
37 ; small_obstacles_range3_3d_agents ; 5 ; 0.57
38 ; small_obstacles_range3_3d_agents ; 15 ; 0.68
39 ; small_obstacles_range3_3d_agents ; 15 ; 0.71
40 ; small_obstacles_range3_3d_agents ; 10 ; 0.73
41 ; small_obstacles_range3_3d_agents ; 10 ; 0.76
42 ; small_obstacles_range3_3d_agents ; 10 ; 0.78
43 ; small_obstacles_range3_3d_agents ; 10 ; 0.93
44 ; small_obstacles_range3_3d_agents ; 5 ; 0.95
45 ; small_obstacles_range3_3d_agents ; 20 ; 1.09
46 ; small_obstacles_range3_3d_agents ; 2 ; 1.12
47 ; small_obstacles_range3_3d_agents ; 15 ; 3.01
48 ; small_obstacles_range3_3d_agents ; 20 ; 3.56
49 ; small_obstacles_range3_3d_agents ; 10 ; 3.83
50 ; small_obstacles_range3_3d_agents ; 20 ; 4.37
51 ; small_obstacles_range3_3d_agents ; 10 ; 5.14
52 ; small_obstacles_range3_3d_agents ; 5 ; 6.1
53 ; small_obstacles_range3_3d_agents ; 10 ; 6.85
54 ; small_obstacles_range3_3d_agents ; 20 ; 13.97
55 ; small_obstacles_range3_3d_agents ; 10 ; 17.17
56 ; small_obstacles_range3_3d_agents ; 20 ; 22.45
57 ; small_obstacles_range3_3d_agents ; 5 ; 38.63
58 ; small_obstacles_range3_3d_agents ; 10 ; 52.98
