id ; Experiment ; nb_agents ; time
0 ; pyramid_range3_3d_agents ; 2 ; 0.14
1 ; pyramid_range3_3d_agents ; 2 ; 0.14
2 ; pyramid_range3_3d_agents ; 2 ; 0.15
3 ; pyramid_range3_3d_agents ; 2 ; 0.15
4 ; pyramid_range3_3d_agents ; 2 ; 0.15
5 ; pyramid_range3_3d_agents ; 2 ; 0.15
6 ; pyramid_range3_3d_agents ; 2 ; 0.15
7 ; pyramid_range3_3d_agents ; 2 ; 0.16
8 ; pyramid_range3_3d_agents ; 2 ; 0.16
9 ; pyramid_range3_3d_agents ; 2 ; 0.16
10 ; pyramid_range3_3d_agents ; 2 ; 0.17
11 ; pyramid_range3_3d_agents ; 2 ; 0.17
12 ; pyramid_range3_3d_agents ; 2 ; 0.17
13 ; pyramid_range3_3d_agents ; 5 ; 0.17
14 ; pyramid_range3_3d_agents ; 2 ; 0.18
15 ; pyramid_range3_3d_agents ; 2 ; 0.19
16 ; pyramid_range3_3d_agents ; 5 ; 0.19
17 ; pyramid_range3_3d_agents ; 2 ; 0.2
18 ; pyramid_range3_3d_agents ; 2 ; 0.21
19 ; pyramid_range3_3d_agents ; 2 ; 0.22
20 ; pyramid_range3_3d_agents ; 5 ; 0.22
21 ; pyramid_range3_3d_agents ; 5 ; 0.22
22 ; pyramid_range3_3d_agents ; 5 ; 0.23
23 ; pyramid_range3_3d_agents ; 5 ; 0.23
24 ; pyramid_range3_3d_agents ; 5 ; 0.24
25 ; pyramid_range3_3d_agents ; 5 ; 0.25
26 ; pyramid_range3_3d_agents ; 5 ; 0.25
27 ; pyramid_range3_3d_agents ; 2 ; 0.26
28 ; pyramid_range3_3d_agents ; 5 ; 0.28
29 ; pyramid_range3_3d_agents ; 5 ; 0.29
30 ; pyramid_range3_3d_agents ; 2 ; 0.3
31 ; pyramid_range3_3d_agents ; 5 ; 0.3
32 ; pyramid_range3_3d_agents ; 5 ; 0.31
33 ; pyramid_range3_3d_agents ; 5 ; 0.33
34 ; pyramid_range3_3d_agents ; 5 ; 0.34
35 ; pyramid_range3_3d_agents ; 5 ; 0.34
36 ; pyramid_range3_3d_agents ; 5 ; 0.41
37 ; pyramid_range3_3d_agents ; 10 ; 0.43
38 ; pyramid_range3_3d_agents ; 5 ; 0.49
39 ; pyramid_range3_3d_agents ; 10 ; 0.49
40 ; pyramid_range3_3d_agents ; 5 ; 0.53
41 ; pyramid_range3_3d_agents ; 5 ; 0.54
42 ; pyramid_range3_3d_agents ; 10 ; 0.58
43 ; pyramid_range3_3d_agents ; 10 ; 0.61
44 ; pyramid_range3_3d_agents ; 10 ; 0.66
45 ; pyramid_range3_3d_agents ; 10 ; 0.83
46 ; pyramid_range3_3d_agents ; 10 ; 1.02
47 ; pyramid_range3_3d_agents ; 10 ; 1.1
48 ; pyramid_range3_3d_agents ; 15 ; 1.15
49 ; pyramid_range3_3d_agents ; 10 ; 1.16
50 ; pyramid_range3_3d_agents ; 10 ; 1.53
51 ; pyramid_range3_3d_agents ; 10 ; 1.56
52 ; pyramid_range3_3d_agents ; 10 ; 1.62
53 ; pyramid_range3_3d_agents ; 10 ; 1.72
54 ; pyramid_range3_3d_agents ; 15 ; 1.74
55 ; pyramid_range3_3d_agents ; 10 ; 1.87
56 ; pyramid_range3_3d_agents ; 10 ; 1.89
57 ; pyramid_range3_3d_agents ; 15 ; 1.91
58 ; pyramid_range3_3d_agents ; 10 ; 2.01
59 ; pyramid_range3_3d_agents ; 10 ; 2.51
60 ; pyramid_range3_3d_agents ; 15 ; 3.08
61 ; pyramid_range3_3d_agents ; 10 ; 3.33
62 ; pyramid_range3_3d_agents ; 15 ; 3.39
63 ; pyramid_range3_3d_agents ; 15 ; 3.51
64 ; pyramid_range3_3d_agents ; 15 ; 3.61
65 ; pyramid_range3_3d_agents ; 15 ; 4.12
66 ; pyramid_range3_3d_agents ; 15 ; 4.23
67 ; pyramid_range3_3d_agents ; 15 ; 4.27
68 ; pyramid_range3_3d_agents ; 10 ; 4.47
69 ; pyramid_range3_3d_agents ; 15 ; 4.83
70 ; pyramid_range3_3d_agents ; 15 ; 5.17
71 ; pyramid_range3_3d_agents ; 20 ; 5.88
72 ; pyramid_range3_3d_agents ; 20 ; 6.19
73 ; pyramid_range3_3d_agents ; 20 ; 6.26
74 ; pyramid_range3_3d_agents ; 15 ; 6.51
75 ; pyramid_range3_3d_agents ; 15 ; 6.89
76 ; pyramid_range3_3d_agents ; 15 ; 6.97
77 ; pyramid_range3_3d_agents ; 15 ; 7.79
78 ; pyramid_range3_3d_agents ; 20 ; 7.82
79 ; pyramid_range3_3d_agents ; 15 ; 7.86
80 ; pyramid_range3_3d_agents ; 15 ; 7.98
81 ; pyramid_range3_3d_agents ; 15 ; 8.0
82 ; pyramid_range3_3d_agents ; 20 ; 8.22
83 ; pyramid_range3_3d_agents ; 20 ; 10.28
84 ; pyramid_range3_3d_agents ; 20 ; 10.38
85 ; pyramid_range3_3d_agents ; 10 ; 10.93
86 ; pyramid_range3_3d_agents ; 20 ; 12.67
87 ; pyramid_range3_3d_agents ; 20 ; 12.76
88 ; pyramid_range3_3d_agents ; 20 ; 13.73
89 ; pyramid_range3_3d_agents ; 15 ; 15.55
90 ; pyramid_range3_3d_agents ; 20 ; 16.95
91 ; pyramid_range3_3d_agents ; 20 ; 19.8
92 ; pyramid_range3_3d_agents ; 20 ; 22.44
93 ; pyramid_range3_3d_agents ; 30 ; 22.71
94 ; pyramid_range3_3d_agents ; 20 ; 22.81
95 ; pyramid_range3_3d_agents ; 20 ; 23.16
96 ; pyramid_range3_3d_agents ; 30 ; 27.17
97 ; pyramid_range3_3d_agents ; 30 ; 30.61
98 ; pyramid_range3_3d_agents ; 30 ; 30.69
99 ; pyramid_range3_3d_agents ; 30 ; 31.67
100 ; pyramid_range3_3d_agents ; 30 ; 33.45
101 ; pyramid_range3_3d_agents ; 20 ; 36.47
102 ; pyramid_range3_3d_agents ; 30 ; 37.59
103 ; pyramid_range3_3d_agents ; 30 ; 40.89
104 ; pyramid_range3_3d_agents ; 20 ; 41.42
105 ; pyramid_range3_3d_agents ; 40 ; 43.12
106 ; pyramid_range3_3d_agents ; 30 ; 45.52
107 ; pyramid_range3_3d_agents ; 50 ; 48.15
108 ; pyramid_range3_3d_agents ; 40 ; 48.58
109 ; pyramid_range3_3d_agents ; 20 ; 49.02
110 ; pyramid_range3_3d_agents ; 20 ; 51.55
111 ; pyramid_range3_3d_agents ; 30 ; 53.39
112 ; pyramid_range3_3d_agents ; 30 ; 55.15
113 ; pyramid_range3_3d_agents ; 30 ; 61.54
114 ; pyramid_range3_3d_agents ; 30 ; 62.51
115 ; pyramid_range3_3d_agents ; 20 ; 66.12
116 ; pyramid_range3_3d_agents ; 30 ; 70.31
117 ; pyramid_range3_3d_agents ; 40 ; 70.76
118 ; pyramid_range3_3d_agents ; 30 ; 80.76
119 ; pyramid_range3_3d_agents ; 50 ; 86.77
120 ; pyramid_range3_3d_agents ; 40 ; 105.95
121 ; pyramid_range3_3d_agents ; 30 ; 110.21
122 ; pyramid_range3_3d_agents ; 30 ; 111.45
123 ; pyramid_range3_3d_agents ; 40 ; 112.03
124 ; pyramid_range3_3d_agents ; 40 ; 120.27
