id ; Experiment ; nb_agents ; cost
0 ; small_obstacles_range3_3d_agents ; 10 ; 12.0
1 ; small_obstacles_range3_3d_agents ; 2 ; 16.0
2 ; small_obstacles_range3_3d_agents ; 2 ; 19.0
3 ; small_obstacles_range3_3d_agents ; 2 ; 22.0
4 ; small_obstacles_range3_3d_agents ; 2 ; 24.0
5 ; small_obstacles_range3_3d_agents ; 2 ; 27.0
6 ; small_obstacles_range3_3d_agents ; 2 ; 27.0
7 ; small_obstacles_range3_3d_agents ; 2 ; 31.0
8 ; small_obstacles_range3_3d_agents ; 5 ; 33.0
9 ; small_obstacles_range3_3d_agents ; 5 ; 34.0
10 ; small_obstacles_range3_3d_agents ; 2 ; 39.0
11 ; small_obstacles_range3_3d_agents ; 2 ; 39.0
12 ; small_obstacles_range3_3d_agents ; 5 ; 40.0
13 ; small_obstacles_range3_3d_agents ; 2 ; 41.0
14 ; small_obstacles_range3_3d_agents ; 15 ; 41.0
15 ; small_obstacles_range3_3d_agents ; 5 ; 44.0
16 ; small_obstacles_range3_3d_agents ; 5 ; 44.0
17 ; small_obstacles_range3_3d_agents ; 2 ; 47.0
18 ; small_obstacles_range3_3d_agents ; 5 ; 47.0
19 ; small_obstacles_range3_3d_agents ; 10 ; 47.0
20 ; small_obstacles_range3_3d_agents ; 2 ; 48.0
21 ; small_obstacles_range3_3d_agents ; 5 ; 49.0
22 ; small_obstacles_range3_3d_agents ; 5 ; 50.0
23 ; small_obstacles_range3_3d_agents ; 10 ; 50.0
24 ; small_obstacles_range3_3d_agents ; 2 ; 52.0
25 ; small_obstacles_range3_3d_agents ; 5 ; 52.0
26 ; small_obstacles_range3_3d_agents ; 2 ; 53.0
27 ; small_obstacles_range3_3d_agents ; 5 ; 56.0
28 ; small_obstacles_range3_3d_agents ; 5 ; 56.0
29 ; small_obstacles_range3_3d_agents ; 2 ; 57.0
30 ; small_obstacles_range3_3d_agents ; 2 ; 57.0
31 ; small_obstacles_range3_3d_agents ; 15 ; 58.0
32 ; small_obstacles_range3_3d_agents ; 2 ; 63.0
33 ; small_obstacles_range3_3d_agents ; 15 ; 63.0
