id ; Experiment ; nb_agents ; time
0 ; small_obstacles_range3_3d_agents ; 2 ; 1.48
1 ; small_obstacles_range3_3d_agents ; 2 ; 1.48
2 ; small_obstacles_range3_3d_agents ; 2 ; 1.51
3 ; small_obstacles_range3_3d_agents ; 2 ; 1.51
4 ; small_obstacles_range3_3d_agents ; 2 ; 1.52
5 ; small_obstacles_range3_3d_agents ; 2 ; 1.53
6 ; small_obstacles_range3_3d_agents ; 2 ; 1.54
7 ; small_obstacles_range3_3d_agents ; 2 ; 1.55
8 ; small_obstacles_range3_3d_agents ; 2 ; 1.56
9 ; small_obstacles_range3_3d_agents ; 2 ; 1.58
10 ; small_obstacles_range3_3d_agents ; 2 ; 1.59
11 ; small_obstacles_range3_3d_agents ; 2 ; 1.59
12 ; small_obstacles_range3_3d_agents ; 2 ; 1.62
13 ; small_obstacles_range3_3d_agents ; 2 ; 1.7
14 ; small_obstacles_range3_3d_agents ; 10 ; 1.78
15 ; small_obstacles_range3_3d_agents ; 5 ; 1.82
16 ; small_obstacles_range3_3d_agents ; 5 ; 1.84
17 ; small_obstacles_range3_3d_agents ; 2 ; 1.89
18 ; small_obstacles_range3_3d_agents ; 2 ; 1.89
19 ; small_obstacles_range3_3d_agents ; 2 ; 1.95
20 ; small_obstacles_range3_3d_agents ; 2 ; 1.96
21 ; small_obstacles_range3_3d_agents ; 5 ; 1.96
22 ; small_obstacles_range3_3d_agents ; 2 ; 2.0
23 ; small_obstacles_range3_3d_agents ; 5 ; 2.01
24 ; small_obstacles_range3_3d_agents ; 5 ; 2.02
25 ; small_obstacles_range3_3d_agents ; 5 ; 2.1
26 ; small_obstacles_range3_3d_agents ; 5 ; 2.11
27 ; small_obstacles_range3_3d_agents ; 5 ; 2.17
28 ; small_obstacles_range3_3d_agents ; 5 ; 2.18
29 ; small_obstacles_range3_3d_agents ; 5 ; 2.24
30 ; small_obstacles_range3_3d_agents ; 5 ; 2.25
31 ; small_obstacles_range3_3d_agents ; 5 ; 2.25
32 ; small_obstacles_range3_3d_agents ; 5 ; 2.3
33 ; small_obstacles_range3_3d_agents ; 5 ; 2.32
34 ; small_obstacles_range3_3d_agents ; 5 ; 2.38
35 ; small_obstacles_range3_3d_agents ; 5 ; 2.44
36 ; small_obstacles_range3_3d_agents ; 5 ; 2.51
37 ; small_obstacles_range3_3d_agents ; 5 ; 2.59
38 ; small_obstacles_range3_3d_agents ; 10 ; 2.87
39 ; small_obstacles_range3_3d_agents ; 10 ; 3.14
40 ; small_obstacles_range3_3d_agents ; 10 ; 3.35
41 ; small_obstacles_range3_3d_agents ; 10 ; 3.49
42 ; small_obstacles_range3_3d_agents ; 5 ; 3.81
43 ; small_obstacles_range3_3d_agents ; 10 ; 4.38
44 ; small_obstacles_range3_3d_agents ; 15 ; 4.39
45 ; small_obstacles_range3_3d_agents ; 10 ; 4.43
46 ; small_obstacles_range3_3d_agents ; 10 ; 4.51
47 ; small_obstacles_range3_3d_agents ; 10 ; 4.89
