../generation/data/small_obstacles_range3_3d_agents15_0.exp ; 1 ; 216 ; 1.22 ; 431
../generation/data/small_obstacles_range3_3d_agents15_10.exp ; 1 ; 508 ; 1.22 ; 482
../generation/data/small_obstacles_range3_3d_agents15_11.exp ; 1 ; 283 ; 1.01 ; 468
../generation/data/small_obstacles_range3_3d_agents15_12.exp ; 1 ; 321 ; 0.95 ; 464
../generation/data/small_obstacles_range3_3d_agents15_13.exp ; 1 ; 371 ; 1.06 ; 467
../generation/data/small_obstacles_range3_3d_agents15_14.exp ; 1 ; 151 ; 0.74 ; 420
../generation/data/small_obstacles_range3_3d_agents15_15.exp ; 1 ; 68 ; 1.98 ; 467
../generation/data/small_obstacles_range3_3d_agents15_16.exp ; 1 ; 431 ; 1.78 ; 438
../generation/data/small_obstacles_range3_3d_agents15_17.exp ; 1 ; 99 ; 0.66 ; 411
../generation/data/small_obstacles_range3_3d_agents15_18.exp ; 1 ; 473 ; 0.84 ; 517
../generation/data/small_obstacles_range3_3d_agents15_19.exp ; 1 ; 104 ; 0.72 ; 430
../generation/data/small_obstacles_range3_3d_agents15_1.exp ; 1 ; 753 ; 1.04 ; 510
../generation/data/small_obstacles_range3_3d_agents15_2.exp ; 1 ; 351 ; 0.67 ; 417
../generation/data/small_obstacles_range3_3d_agents15_3.exp ; 1 ; 59 ; 0.61 ; 414
../generation/data/small_obstacles_range3_3d_agents15_4.exp ; 1 ; 1250 ; 2.18 ; 564
../generation/data/small_obstacles_range3_3d_agents15_5.exp ; 1 ; 206 ; 0.75 ; 434
../generation/data/small_obstacles_range3_3d_agents15_6.exp ; 1 ; 314 ; 0.8 ; 465
../generation/data/small_obstacles_range3_3d_agents15_7.exp ; 1 ; 209 ; 0.65 ; 452
../generation/data/small_obstacles_range3_3d_agents15_8.exp ; 1 ; 239 ; 0.8 ; 437
../generation/data/small_obstacles_range3_3d_agents15_9.exp ; 1 ; 328 ; 0.69 ; 495
