id ; Experiment ; nb_agents ; cost
0 ; parallel_range4_agents ; 2 ; 5.0
1 ; parallel_range4_agents ; 2 ; 8.0
2 ; parallel_range4_agents ; 2 ; 23.0
3 ; parallel_range4_agents ; 2 ; 23.0
4 ; parallel_range4_agents ; 5 ; 28.0
5 ; parallel_range4_agents ; 5 ; 28.0
6 ; parallel_range4_agents ; 2 ; 29.0
7 ; parallel_range4_agents ; 20 ; 29.0
8 ; parallel_range4_agents ; 2 ; 30.0
9 ; parallel_range4_agents ; 2 ; 33.0
10 ; parallel_range4_agents ; 2 ; 35.0
11 ; parallel_range4_agents ; 2 ; 36.0
12 ; parallel_range4_agents ; 10 ; 37.0
13 ; parallel_range4_agents ; 5 ; 38.0
14 ; parallel_range4_agents ; 2 ; 39.0
15 ; parallel_range4_agents ; 2 ; 41.0
16 ; parallel_range4_agents ; 2 ; 41.0
17 ; parallel_range4_agents ; 5 ; 41.0
18 ; parallel_range4_agents ; 10 ; 41.0
19 ; parallel_range4_agents ; 2 ; 43.0
20 ; parallel_range4_agents ; 5 ; 43.0
21 ; parallel_range4_agents ; 5 ; 45.0
22 ; parallel_range4_agents ; 15 ; 45.0
23 ; parallel_range4_agents ; 5 ; 46.0
24 ; parallel_range4_agents ; 5 ; 47.0
25 ; parallel_range4_agents ; 2 ; 49.0
26 ; parallel_range4_agents ; 5 ; 49.0
27 ; parallel_range4_agents ; 2 ; 51.0
28 ; parallel_range4_agents ; 5 ; 51.0
29 ; parallel_range4_agents ; 10 ; 51.0
30 ; parallel_range4_agents ; 10 ; 51.0
31 ; parallel_range4_agents ; 10 ; 51.0
32 ; parallel_range4_agents ; 15 ; 51.0
33 ; parallel_range4_agents ; 2 ; 52.0
34 ; parallel_range4_agents ; 2 ; 53.0
35 ; parallel_range4_agents ; 2 ; 53.0
36 ; parallel_range4_agents ; 15 ; 54.0
37 ; parallel_range4_agents ; 15 ; 55.0
38 ; parallel_range4_agents ; 20 ; 56.0
39 ; parallel_range4_agents ; 2 ; 57.0
40 ; parallel_range4_agents ; 5 ; 58.0
41 ; parallel_range4_agents ; 15 ; 58.0
42 ; parallel_range4_agents ; 5 ; 62.0
43 ; parallel_range4_agents ; 5 ; 64.0
44 ; parallel_range4_agents ; 2 ; 65.0
45 ; parallel_range4_agents ; 10 ; 66.0
46 ; parallel_range4_agents ; 5 ; 72.0
47 ; parallel_range4_agents ; 20 ; 72.0
48 ; parallel_range4_agents ; 15 ; 73.0
49 ; parallel_range4_agents ; 30 ; 73.0
50 ; parallel_range4_agents ; 30 ; 73.0
51 ; parallel_range4_agents ; 5 ; 74.0
52 ; parallel_range4_agents ; 20 ; 74.0
53 ; parallel_range4_agents ; 30 ; 74.0
54 ; parallel_range4_agents ; 20 ; 75.0
55 ; parallel_range4_agents ; 5 ; 76.0
56 ; parallel_range4_agents ; 10 ; 77.0
57 ; parallel_range4_agents ; 20 ; 84.0
58 ; parallel_range4_agents ; 10 ; 85.0
59 ; parallel_range4_agents ; 10 ; 87.0
60 ; parallel_range4_agents ; 20 ; 87.0
61 ; parallel_range4_agents ; 10 ; 88.0
62 ; parallel_range4_agents ; 10 ; 89.0
63 ; parallel_range4_agents ; 10 ; 89.0
64 ; parallel_range4_agents ; 15 ; 90.0
65 ; parallel_range4_agents ; 15 ; 90.0
66 ; parallel_range4_agents ; 5 ; 92.0
67 ; parallel_range4_agents ; 20 ; 93.0
68 ; parallel_range4_agents ; 60 ; 94.0
69 ; parallel_range4_agents ; 15 ; 96.0
70 ; parallel_range4_agents ; 10 ; 97.0
71 ; parallel_range4_agents ; 10 ; 98.0
72 ; parallel_range4_agents ; 15 ; 102.0
73 ; parallel_range4_agents ; 40 ; 102.0
74 ; parallel_range4_agents ; 20 ; 103.0
75 ; parallel_range4_agents ; 5 ; 105.0
76 ; parallel_range4_agents ; 15 ; 105.0
77 ; parallel_range4_agents ; 5 ; 107.0
78 ; parallel_range4_agents ; 10 ; 107.0
79 ; parallel_range4_agents ; 15 ; 107.0
80 ; parallel_range4_agents ; 15 ; 108.0
81 ; parallel_range4_agents ; 30 ; 109.0
82 ; parallel_range4_agents ; 30 ; 109.0
83 ; parallel_range4_agents ; 20 ; 110.0
84 ; parallel_range4_agents ; 20 ; 111.0
85 ; parallel_range4_agents ; 30 ; 111.0
86 ; parallel_range4_agents ; 10 ; 114.0
87 ; parallel_range4_agents ; 40 ; 114.0
88 ; parallel_range4_agents ; 10 ; 115.0
89 ; parallel_range4_agents ; 10 ; 118.0
90 ; parallel_range4_agents ; 20 ; 123.0
91 ; parallel_range4_agents ; 10 ; 128.0
92 ; parallel_range4_agents ; 10 ; 128.0
93 ; parallel_range4_agents ; 20 ; 129.0
94 ; parallel_range4_agents ; 20 ; 131.0
95 ; parallel_range4_agents ; 5 ; 132.0
96 ; parallel_range4_agents ; 80 ; 135.0
97 ; parallel_range4_agents ; 15 ; 141.0
98 ; parallel_range4_agents ; 40 ; 142.0
99 ; parallel_range4_agents ; 30 ; 143.0
100 ; parallel_range4_agents ; 15 ; 145.0
101 ; parallel_range4_agents ; 30 ; 146.0
102 ; parallel_range4_agents ; 50 ; 148.0
103 ; parallel_range4_agents ; 30 ; 149.0
104 ; parallel_range4_agents ; 60 ; 149.0
105 ; parallel_range4_agents ; 20 ; 152.0
106 ; parallel_range4_agents ; 30 ; 157.0
107 ; parallel_range4_agents ; 50 ; 160.0
108 ; parallel_range4_agents ; 30 ; 163.0
109 ; parallel_range4_agents ; 15 ; 165.0
110 ; parallel_range4_agents ; 80 ; 165.0
111 ; parallel_range4_agents ; 40 ; 167.0
112 ; parallel_range4_agents ; 40 ; 168.0
113 ; parallel_range4_agents ; 30 ; 175.0
114 ; parallel_range4_agents ; 125 ; 178.0
115 ; parallel_range4_agents ; 100 ; 179.0
116 ; parallel_range4_agents ; 20 ; 180.0
117 ; parallel_range4_agents ; 20 ; 183.0
118 ; parallel_range4_agents ; 30 ; 183.0
119 ; parallel_range4_agents ; 50 ; 186.0
120 ; parallel_range4_agents ; 40 ; 197.0
121 ; parallel_range4_agents ; 30 ; 199.0
122 ; parallel_range4_agents ; 50 ; 199.0
123 ; parallel_range4_agents ; 15 ; 200.0
124 ; parallel_range4_agents ; 60 ; 212.0
125 ; parallel_range4_agents ; 30 ; 215.0
126 ; parallel_range4_agents ; 20 ; 222.0
127 ; parallel_range4_agents ; 50 ; 224.0
128 ; parallel_range4_agents ; 40 ; 229.0
129 ; parallel_range4_agents ; 50 ; 230.0
130 ; parallel_range4_agents ; 15 ; 233.0
131 ; parallel_range4_agents ; 40 ; 233.0
132 ; parallel_range4_agents ; 40 ; 234.0
133 ; parallel_range4_agents ; 80 ; 236.0
134 ; parallel_range4_agents ; 50 ; 239.0
135 ; parallel_range4_agents ; 40 ; 246.0
136 ; parallel_range4_agents ; 125 ; 249.0
137 ; parallel_range4_agents ; 30 ; 250.0
138 ; parallel_range4_agents ; 80 ; 251.0
139 ; parallel_range4_agents ; 60 ; 252.0
140 ; parallel_range4_agents ; 60 ; 255.0
141 ; parallel_range4_agents ; 30 ; 260.0
142 ; parallel_range4_agents ; 80 ; 262.0
143 ; parallel_range4_agents ; 40 ; 264.0
144 ; parallel_range4_agents ; 100 ; 266.0
