Experiment ; nb_agents ; success_rate
parallel_range4_agents ; 2 ; 1.0
parallel_range4_agents ; 5 ; 1.0
parallel_range4_agents ; 10 ; 1.0
parallel_range4_agents ; 15 ; 1.0
parallel_range4_agents ; 20 ; 1.0
parallel_range4_agents ; 30 ; 1.0
parallel_range4_agents ; 40 ; 0.95
parallel_range4_agents ; 50 ; 0.9
parallel_range4_agents ; 60 ; 0.95
parallel_range4_agents ; 80 ; 0.5
parallel_range4_agents ; 100 ; 0.45
parallel_range4_agents ; 125 ; 0.35
parallel_range4_agents ; 150 ; 0.0
parallel_range4_agents ; 175 ; 0.05
parallel_range4_agents ; 200 ; 0.0
parallel_range4_agents ; 225 ; 0.0
parallel_range4_agents ; 250 ; 0.0
parallel_range4_agents ; 275 ; 0.0
parallel_range4_agents ; 300 ; 0.0
