id ; Experiment ; nb_agents ; cost
0 ; pyramid_range3_3d_agents ; 2 ; 8.0
1 ; pyramid_range3_3d_agents ; 2 ; 9.0
2 ; pyramid_range3_3d_agents ; 2 ; 10.0
3 ; pyramid_range3_3d_agents ; 5 ; 10.0
4 ; pyramid_range3_3d_agents ; 5 ; 10.0
5 ; pyramid_range3_3d_agents ; 2 ; 11.0
6 ; pyramid_range3_3d_agents ; 5 ; 11.0
7 ; pyramid_range3_3d_agents ; 5 ; 11.0
8 ; pyramid_range3_3d_agents ; 2 ; 13.0
9 ; pyramid_range3_3d_agents ; 5 ; 13.0
10 ; pyramid_range3_3d_agents ; 10 ; 13.0
11 ; pyramid_range3_3d_agents ; 2 ; 14.0
12 ; pyramid_range3_3d_agents ; 2 ; 16.0
13 ; pyramid_range3_3d_agents ; 2 ; 16.0
14 ; pyramid_range3_3d_agents ; 5 ; 16.0
15 ; pyramid_range3_3d_agents ; 2 ; 17.0
16 ; pyramid_range3_3d_agents ; 2 ; 18.0
17 ; pyramid_range3_3d_agents ; 2 ; 18.0
18 ; pyramid_range3_3d_agents ; 5 ; 19.0
19 ; pyramid_range3_3d_agents ; 2 ; 21.0
20 ; pyramid_range3_3d_agents ; 5 ; 21.0
21 ; pyramid_range3_3d_agents ; 5 ; 21.0
22 ; pyramid_range3_3d_agents ; 2 ; 22.0
23 ; pyramid_range3_3d_agents ; 10 ; 23.0
24 ; pyramid_range3_3d_agents ; 2 ; 24.0
25 ; pyramid_range3_3d_agents ; 5 ; 24.0
26 ; pyramid_range3_3d_agents ; 10 ; 25.0
27 ; pyramid_range3_3d_agents ; 2 ; 27.0
28 ; pyramid_range3_3d_agents ; 2 ; 28.0
29 ; pyramid_range3_3d_agents ; 5 ; 29.0
30 ; pyramid_range3_3d_agents ; 5 ; 30.0
31 ; pyramid_range3_3d_agents ; 2 ; 31.0
32 ; pyramid_range3_3d_agents ; 2 ; 32.0
33 ; pyramid_range3_3d_agents ; 15 ; 32.0
34 ; pyramid_range3_3d_agents ; 2 ; 33.0
35 ; pyramid_range3_3d_agents ; 10 ; 33.0
36 ; pyramid_range3_3d_agents ; 20 ; 34.0
37 ; pyramid_range3_3d_agents ; 15 ; 35.0
38 ; pyramid_range3_3d_agents ; 10 ; 37.0
39 ; pyramid_range3_3d_agents ; 5 ; 38.0
40 ; pyramid_range3_3d_agents ; 2 ; 39.0
41 ; pyramid_range3_3d_agents ; 30 ; 40.0
42 ; pyramid_range3_3d_agents ; 15 ; 44.0
43 ; pyramid_range3_3d_agents ; 30 ; 44.0
44 ; pyramid_range3_3d_agents ; 80 ; 44.0
45 ; pyramid_range3_3d_agents ; 5 ; 45.0
46 ; pyramid_range3_3d_agents ; 20 ; 45.0
47 ; pyramid_range3_3d_agents ; 10 ; 49.0
48 ; pyramid_range3_3d_agents ; 20 ; 50.0
49 ; pyramid_range3_3d_agents ; 5 ; 53.0
50 ; pyramid_range3_3d_agents ; 10 ; 55.0
51 ; pyramid_range3_3d_agents ; 15 ; 55.0
52 ; pyramid_range3_3d_agents ; 15 ; 57.0
53 ; pyramid_range3_3d_agents ; 40 ; 57.0
54 ; pyramid_range3_3d_agents ; 5 ; 58.0
55 ; pyramid_range3_3d_agents ; 30 ; 59.0
56 ; pyramid_range3_3d_agents ; 15 ; 60.0
57 ; pyramid_range3_3d_agents ; 15 ; 62.0
58 ; pyramid_range3_3d_agents ; 40 ; 62.0
59 ; pyramid_range3_3d_agents ; 40 ; 62.0
60 ; pyramid_range3_3d_agents ; 30 ; 63.0
61 ; pyramid_range3_3d_agents ; 5 ; 64.0
62 ; pyramid_range3_3d_agents ; 5 ; 65.0
63 ; pyramid_range3_3d_agents ; 15 ; 69.0
64 ; pyramid_range3_3d_agents ; 30 ; 74.0
65 ; pyramid_range3_3d_agents ; 30 ; 77.0
66 ; pyramid_range3_3d_agents ; 60 ; 77.0
67 ; pyramid_range3_3d_agents ; 15 ; 78.0
68 ; pyramid_range3_3d_agents ; 20 ; 80.0
69 ; pyramid_range3_3d_agents ; 10 ; 81.0
70 ; pyramid_range3_3d_agents ; 5 ; 82.0
71 ; pyramid_range3_3d_agents ; 10 ; 82.0
72 ; pyramid_range3_3d_agents ; 10 ; 82.0
73 ; pyramid_range3_3d_agents ; 15 ; 83.0
74 ; pyramid_range3_3d_agents ; 5 ; 85.0
75 ; pyramid_range3_3d_agents ; 10 ; 85.0
76 ; pyramid_range3_3d_agents ; 40 ; 87.0
77 ; pyramid_range3_3d_agents ; 15 ; 92.0
78 ; pyramid_range3_3d_agents ; 30 ; 92.0
79 ; pyramid_range3_3d_agents ; 15 ; 93.0
80 ; pyramid_range3_3d_agents ; 50 ; 94.0
81 ; pyramid_range3_3d_agents ; 20 ; 98.0
82 ; pyramid_range3_3d_agents ; 80 ; 98.0
83 ; pyramid_range3_3d_agents ; 10 ; 101.0
84 ; pyramid_range3_3d_agents ; 30 ; 104.0
85 ; pyramid_range3_3d_agents ; 10 ; 106.0
86 ; pyramid_range3_3d_agents ; 15 ; 106.0
87 ; pyramid_range3_3d_agents ; 40 ; 113.0
88 ; pyramid_range3_3d_agents ; 20 ; 114.0
89 ; pyramid_range3_3d_agents ; 20 ; 115.0
90 ; pyramid_range3_3d_agents ; 15 ; 121.0
91 ; pyramid_range3_3d_agents ; 50 ; 127.0
92 ; pyramid_range3_3d_agents ; 40 ; 128.0
93 ; pyramid_range3_3d_agents ; 100 ; 130.0
94 ; pyramid_range3_3d_agents ; 20 ; 134.0
95 ; pyramid_range3_3d_agents ; 20 ; 137.0
96 ; pyramid_range3_3d_agents ; 150 ; 143.0
97 ; pyramid_range3_3d_agents ; 10 ; 144.0
98 ; pyramid_range3_3d_agents ; 30 ; 152.0
99 ; pyramid_range3_3d_agents ; 15 ; 153.0
100 ; pyramid_range3_3d_agents ; 10 ; 155.0
101 ; pyramid_range3_3d_agents ; 50 ; 155.0
102 ; pyramid_range3_3d_agents ; 30 ; 160.0
103 ; pyramid_range3_3d_agents ; 10 ; 162.0
104 ; pyramid_range3_3d_agents ; 50 ; 162.0
105 ; pyramid_range3_3d_agents ; 20 ; 163.0
106 ; pyramid_range3_3d_agents ; 30 ; 167.0
107 ; pyramid_range3_3d_agents ; 60 ; 167.0
108 ; pyramid_range3_3d_agents ; 20 ; 172.0
109 ; pyramid_range3_3d_agents ; 20 ; 179.0
110 ; pyramid_range3_3d_agents ; 30 ; 179.0
111 ; pyramid_range3_3d_agents ; 60 ; 183.0
112 ; pyramid_range3_3d_agents ; 15 ; 186.0
113 ; pyramid_range3_3d_agents ; 10 ; 187.0
114 ; pyramid_range3_3d_agents ; 15 ; 190.0
115 ; pyramid_range3_3d_agents ; 50 ; 193.0
116 ; pyramid_range3_3d_agents ; 30 ; 194.0
117 ; pyramid_range3_3d_agents ; 40 ; 196.0
118 ; pyramid_range3_3d_agents ; 10 ; 199.0
119 ; pyramid_range3_3d_agents ; 50 ; 206.0
120 ; pyramid_range3_3d_agents ; 20 ; 214.0
121 ; pyramid_range3_3d_agents ; 50 ; 216.0
122 ; pyramid_range3_3d_agents ; 15 ; 220.0
123 ; pyramid_range3_3d_agents ; 80 ; 231.0
124 ; pyramid_range3_3d_agents ; 40 ; 234.0
125 ; pyramid_range3_3d_agents ; 100 ; 236.0
126 ; pyramid_range3_3d_agents ; 15 ; 241.0
