id ; Experiment ; nb_agents ; time
0 ; pyramid_range3_3d_agents ; 2 ; 0.12
1 ; pyramid_range3_3d_agents ; 2 ; 0.12
2 ; pyramid_range3_3d_agents ; 2 ; 0.13
3 ; pyramid_range3_3d_agents ; 2 ; 0.13
4 ; pyramid_range3_3d_agents ; 2 ; 0.13
5 ; pyramid_range3_3d_agents ; 2 ; 0.13
6 ; pyramid_range3_3d_agents ; 2 ; 0.13
7 ; pyramid_range3_3d_agents ; 2 ; 0.13
8 ; pyramid_range3_3d_agents ; 2 ; 0.13
9 ; pyramid_range3_3d_agents ; 5 ; 0.13
10 ; pyramid_range3_3d_agents ; 2 ; 0.14
11 ; pyramid_range3_3d_agents ; 2 ; 0.14
12 ; pyramid_range3_3d_agents ; 5 ; 0.14
13 ; pyramid_range3_3d_agents ; 2 ; 0.15
14 ; pyramid_range3_3d_agents ; 2 ; 0.15
15 ; pyramid_range3_3d_agents ; 2 ; 0.15
16 ; pyramid_range3_3d_agents ; 2 ; 0.15
17 ; pyramid_range3_3d_agents ; 5 ; 0.15
18 ; pyramid_range3_3d_agents ; 5 ; 0.15
19 ; pyramid_range3_3d_agents ; 2 ; 0.16
20 ; pyramid_range3_3d_agents ; 2 ; 0.16
21 ; pyramid_range3_3d_agents ; 2 ; 0.16
22 ; pyramid_range3_3d_agents ; 5 ; 0.16
23 ; pyramid_range3_3d_agents ; 5 ; 0.16
24 ; pyramid_range3_3d_agents ; 5 ; 0.16
25 ; pyramid_range3_3d_agents ; 2 ; 0.17
26 ; pyramid_range3_3d_agents ; 5 ; 0.17
27 ; pyramid_range3_3d_agents ; 5 ; 0.17
28 ; pyramid_range3_3d_agents ; 5 ; 0.18
29 ; pyramid_range3_3d_agents ; 5 ; 0.19
30 ; pyramid_range3_3d_agents ; 5 ; 0.19
31 ; pyramid_range3_3d_agents ; 5 ; 0.2
32 ; pyramid_range3_3d_agents ; 5 ; 0.2
33 ; pyramid_range3_3d_agents ; 5 ; 0.21
34 ; pyramid_range3_3d_agents ; 5 ; 0.21
35 ; pyramid_range3_3d_agents ; 5 ; 0.22
36 ; pyramid_range3_3d_agents ; 10 ; 0.22
37 ; pyramid_range3_3d_agents ; 5 ; 0.23
38 ; pyramid_range3_3d_agents ; 10 ; 0.24
39 ; pyramid_range3_3d_agents ; 5 ; 0.25
40 ; pyramid_range3_3d_agents ; 10 ; 0.26
41 ; pyramid_range3_3d_agents ; 2 ; 0.27
42 ; pyramid_range3_3d_agents ; 5 ; 0.27
43 ; pyramid_range3_3d_agents ; 10 ; 0.3
44 ; pyramid_range3_3d_agents ; 10 ; 0.3
45 ; pyramid_range3_3d_agents ; 10 ; 0.32
46 ; pyramid_range3_3d_agents ; 10 ; 0.34
