id ; Experiment ; nb_agents ; time
0 ; small_obstacles_range3_3d_agents ; 2 ; 1.43
1 ; small_obstacles_range3_3d_agents ; 2 ; 1.44
2 ; small_obstacles_range3_3d_agents ; 2 ; 1.45
3 ; small_obstacles_range3_3d_agents ; 2 ; 1.46
4 ; small_obstacles_range3_3d_agents ; 2 ; 1.48
5 ; small_obstacles_range3_3d_agents ; 2 ; 1.48
6 ; small_obstacles_range3_3d_agents ; 2 ; 1.49
7 ; small_obstacles_range3_3d_agents ; 2 ; 1.49
8 ; small_obstacles_range3_3d_agents ; 2 ; 1.5
9 ; small_obstacles_range3_3d_agents ; 2 ; 1.5
10 ; small_obstacles_range3_3d_agents ; 5 ; 1.51
11 ; small_obstacles_range3_3d_agents ; 2 ; 1.52
12 ; small_obstacles_range3_3d_agents ; 2 ; 1.53
13 ; small_obstacles_range3_3d_agents ; 2 ; 1.54
14 ; small_obstacles_range3_3d_agents ; 2 ; 1.54
15 ; small_obstacles_range3_3d_agents ; 2 ; 1.55
16 ; small_obstacles_range3_3d_agents ; 2 ; 1.56
17 ; small_obstacles_range3_3d_agents ; 5 ; 1.56
18 ; small_obstacles_range3_3d_agents ; 5 ; 1.57
19 ; small_obstacles_range3_3d_agents ; 5 ; 1.58
20 ; small_obstacles_range3_3d_agents ; 5 ; 1.6
21 ; small_obstacles_range3_3d_agents ; 5 ; 1.61
22 ; small_obstacles_range3_3d_agents ; 5 ; 1.61
23 ; small_obstacles_range3_3d_agents ; 5 ; 1.61
24 ; small_obstacles_range3_3d_agents ; 2 ; 1.63
25 ; small_obstacles_range3_3d_agents ; 2 ; 1.64
26 ; small_obstacles_range3_3d_agents ; 10 ; 1.64
27 ; small_obstacles_range3_3d_agents ; 5 ; 1.67
28 ; small_obstacles_range3_3d_agents ; 5 ; 1.68
29 ; small_obstacles_range3_3d_agents ; 5 ; 1.68
30 ; small_obstacles_range3_3d_agents ; 5 ; 1.7
31 ; small_obstacles_range3_3d_agents ; 5 ; 1.7
32 ; small_obstacles_range3_3d_agents ; 5 ; 1.71
33 ; small_obstacles_range3_3d_agents ; 5 ; 1.72
34 ; small_obstacles_range3_3d_agents ; 5 ; 1.76
35 ; small_obstacles_range3_3d_agents ; 2 ; 1.98
36 ; small_obstacles_range3_3d_agents ; 10 ; 1.98
37 ; small_obstacles_range3_3d_agents ; 5 ; 2.1
38 ; small_obstacles_range3_3d_agents ; 10 ; 2.12
39 ; small_obstacles_range3_3d_agents ; 10 ; 2.13
40 ; small_obstacles_range3_3d_agents ; 10 ; 2.16
41 ; small_obstacles_range3_3d_agents ; 10 ; 2.18
42 ; small_obstacles_range3_3d_agents ; 10 ; 2.21
43 ; small_obstacles_range3_3d_agents ; 10 ; 2.22
44 ; small_obstacles_range3_3d_agents ; 10 ; 2.29
45 ; small_obstacles_range3_3d_agents ; 5 ; 2.33
46 ; small_obstacles_range3_3d_agents ; 10 ; 2.41
47 ; small_obstacles_range3_3d_agents ; 10 ; 2.53
48 ; small_obstacles_range3_3d_agents ; 10 ; 2.54
49 ; small_obstacles_range3_3d_agents ; 10 ; 2.7
50 ; small_obstacles_range3_3d_agents ; 15 ; 2.78
51 ; small_obstacles_range3_3d_agents ; 10 ; 2.85
52 ; small_obstacles_range3_3d_agents ; 10 ; 2.85
53 ; small_obstacles_range3_3d_agents ; 15 ; 2.97
54 ; small_obstacles_range3_3d_agents ; 15 ; 2.98
55 ; small_obstacles_range3_3d_agents ; 10 ; 3.02
56 ; small_obstacles_range3_3d_agents ; 10 ; 3.06
57 ; small_obstacles_range3_3d_agents ; 10 ; 3.08
58 ; small_obstacles_range3_3d_agents ; 15 ; 3.22
59 ; small_obstacles_range3_3d_agents ; 10 ; 3.27
60 ; small_obstacles_range3_3d_agents ; 20 ; 3.41
61 ; small_obstacles_range3_3d_agents ; 20 ; 3.42
62 ; small_obstacles_range3_3d_agents ; 10 ; 3.49
63 ; small_obstacles_range3_3d_agents ; 15 ; 3.59
64 ; small_obstacles_range3_3d_agents ; 15 ; 3.73
65 ; small_obstacles_range3_3d_agents ; 15 ; 3.76
66 ; small_obstacles_range3_3d_agents ; 15 ; 3.9
67 ; small_obstacles_range3_3d_agents ; 20 ; 4.11
68 ; small_obstacles_range3_3d_agents ; 15 ; 4.49
69 ; small_obstacles_range3_3d_agents ; 2 ; 4.66
70 ; small_obstacles_range3_3d_agents ; 20 ; 4.67
71 ; small_obstacles_range3_3d_agents ; 30 ; 5.04
72 ; small_obstacles_range3_3d_agents ; 20 ; 5.06
73 ; small_obstacles_range3_3d_agents ; 15 ; 5.08
74 ; small_obstacles_range3_3d_agents ; 15 ; 5.31
75 ; small_obstacles_range3_3d_agents ; 15 ; 5.57
76 ; small_obstacles_range3_3d_agents ; 5 ; 5.67
77 ; small_obstacles_range3_3d_agents ; 15 ; 5.92
78 ; small_obstacles_range3_3d_agents ; 20 ; 5.94
79 ; small_obstacles_range3_3d_agents ; 15 ; 5.99
80 ; small_obstacles_range3_3d_agents ; 15 ; 6.02
81 ; small_obstacles_range3_3d_agents ; 20 ; 6.02
82 ; small_obstacles_range3_3d_agents ; 15 ; 6.44
83 ; small_obstacles_range3_3d_agents ; 15 ; 6.53
84 ; small_obstacles_range3_3d_agents ; 30 ; 7.19
85 ; small_obstacles_range3_3d_agents ; 20 ; 7.5
86 ; small_obstacles_range3_3d_agents ; 20 ; 7.84
87 ; small_obstacles_range3_3d_agents ; 20 ; 7.9
88 ; small_obstacles_range3_3d_agents ; 20 ; 8.06
89 ; small_obstacles_range3_3d_agents ; 30 ; 8.37
90 ; small_obstacles_range3_3d_agents ; 20 ; 8.39
91 ; small_obstacles_range3_3d_agents ; 20 ; 8.45
92 ; small_obstacles_range3_3d_agents ; 30 ; 8.73
93 ; small_obstacles_range3_3d_agents ; 15 ; 8.9
94 ; small_obstacles_range3_3d_agents ; 30 ; 8.92
95 ; small_obstacles_range3_3d_agents ; 30 ; 9.02
96 ; small_obstacles_range3_3d_agents ; 20 ; 9.35
97 ; small_obstacles_range3_3d_agents ; 20 ; 10.16
98 ; small_obstacles_range3_3d_agents ; 20 ; 10.37
99 ; small_obstacles_range3_3d_agents ; 15 ; 11.02
100 ; small_obstacles_range3_3d_agents ; 30 ; 11.06
101 ; small_obstacles_range3_3d_agents ; 30 ; 11.95
102 ; small_obstacles_range3_3d_agents ; 30 ; 12.08
103 ; small_obstacles_range3_3d_agents ; 30 ; 12.77
104 ; small_obstacles_range3_3d_agents ; 5 ; 12.82
105 ; small_obstacles_range3_3d_agents ; 30 ; 12.84
106 ; small_obstacles_range3_3d_agents ; 30 ; 13.71
107 ; small_obstacles_range3_3d_agents ; 20 ; 13.87
108 ; small_obstacles_range3_3d_agents ; 30 ; 14.2
109 ; small_obstacles_range3_3d_agents ; 20 ; 16.69
110 ; small_obstacles_range3_3d_agents ; 20 ; 17.28
111 ; small_obstacles_range3_3d_agents ; 30 ; 17.71
112 ; small_obstacles_range3_3d_agents ; 60 ; 18.25
113 ; small_obstacles_range3_3d_agents ; 40 ; 21.06
114 ; small_obstacles_range3_3d_agents ; 30 ; 21.09
115 ; small_obstacles_range3_3d_agents ; 30 ; 21.5
116 ; small_obstacles_range3_3d_agents ; 50 ; 21.5
117 ; small_obstacles_range3_3d_agents ; 40 ; 21.58
118 ; small_obstacles_range3_3d_agents ; 60 ; 21.67
119 ; small_obstacles_range3_3d_agents ; 50 ; 23.21
120 ; small_obstacles_range3_3d_agents ; 30 ; 23.56
121 ; small_obstacles_range3_3d_agents ; 40 ; 24.04
122 ; small_obstacles_range3_3d_agents ; 50 ; 24.16
123 ; small_obstacles_range3_3d_agents ; 20 ; 25.05
124 ; small_obstacles_range3_3d_agents ; 50 ; 25.26
125 ; small_obstacles_range3_3d_agents ; 40 ; 25.38
126 ; small_obstacles_range3_3d_agents ; 40 ; 25.49
127 ; small_obstacles_range3_3d_agents ; 50 ; 25.49
128 ; small_obstacles_range3_3d_agents ; 40 ; 26.3
129 ; small_obstacles_range3_3d_agents ; 40 ; 26.87
130 ; small_obstacles_range3_3d_agents ; 60 ; 27.1
131 ; small_obstacles_range3_3d_agents ; 40 ; 29.06
132 ; small_obstacles_range3_3d_agents ; 50 ; 29.72
133 ; small_obstacles_range3_3d_agents ; 40 ; 31.38
134 ; small_obstacles_range3_3d_agents ; 50 ; 31.5
135 ; small_obstacles_range3_3d_agents ; 60 ; 32.76
136 ; small_obstacles_range3_3d_agents ; 50 ; 32.78
137 ; small_obstacles_range3_3d_agents ; 40 ; 35.46
138 ; small_obstacles_range3_3d_agents ; 40 ; 35.79
139 ; small_obstacles_range3_3d_agents ; 40 ; 36.53
140 ; small_obstacles_range3_3d_agents ; 40 ; 37.04
141 ; small_obstacles_range3_3d_agents ; 50 ; 38.65
142 ; small_obstacles_range3_3d_agents ; 50 ; 40.39
143 ; small_obstacles_range3_3d_agents ; 100 ; 42.03
144 ; small_obstacles_range3_3d_agents ; 40 ; 42.69
145 ; small_obstacles_range3_3d_agents ; 100 ; 43.38
146 ; small_obstacles_range3_3d_agents ; 50 ; 43.45
147 ; small_obstacles_range3_3d_agents ; 50 ; 44.35
148 ; small_obstacles_range3_3d_agents ; 50 ; 46.91
149 ; small_obstacles_range3_3d_agents ; 60 ; 46.95
150 ; small_obstacles_range3_3d_agents ; 80 ; 50.67
151 ; small_obstacles_range3_3d_agents ; 60 ; 51.96
152 ; small_obstacles_range3_3d_agents ; 50 ; 60.11
153 ; small_obstacles_range3_3d_agents ; 125 ; 60.76
154 ; small_obstacles_range3_3d_agents ; 60 ; 61.01
155 ; small_obstacles_range3_3d_agents ; 40 ; 61.22
156 ; small_obstacles_range3_3d_agents ; 30 ; 62.35
157 ; small_obstacles_range3_3d_agents ; 60 ; 66.54
158 ; small_obstacles_range3_3d_agents ; 60 ; 67.41
159 ; small_obstacles_range3_3d_agents ; 60 ; 72.75
160 ; small_obstacles_range3_3d_agents ; 40 ; 73.61
161 ; small_obstacles_range3_3d_agents ; 80 ; 77.31
162 ; small_obstacles_range3_3d_agents ; 50 ; 84.19
163 ; small_obstacles_range3_3d_agents ; 80 ; 88.12
164 ; small_obstacles_range3_3d_agents ; 40 ; 89.22
165 ; small_obstacles_range3_3d_agents ; 80 ; 89.78
166 ; small_obstacles_range3_3d_agents ; 100 ; 93.63
167 ; small_obstacles_range3_3d_agents ; 50 ; 95.1
168 ; small_obstacles_range3_3d_agents ; 50 ; 95.25
169 ; small_obstacles_range3_3d_agents ; 80 ; 98.53
170 ; small_obstacles_range3_3d_agents ; 50 ; 104.17
171 ; small_obstacles_range3_3d_agents ; 80 ; 104.29
172 ; small_obstacles_range3_3d_agents ; 80 ; 104.47
173 ; small_obstacles_range3_3d_agents ; 60 ; 107.16
174 ; small_obstacles_range3_3d_agents ; 80 ; 107.38
175 ; small_obstacles_range3_3d_agents ; 30 ; 109.25
176 ; small_obstacles_range3_3d_agents ; 60 ; 111.73
177 ; small_obstacles_range3_3d_agents ; 60 ; 116.83
178 ; small_obstacles_range3_3d_agents ; 60 ; 120.41
179 ; small_obstacles_range3_3d_agents ; 50 ; 127.62
