id ; Experiment ; nb_agents ; time
0 ; offices_range1_agents ; 2 ; 0.02
1 ; offices_range1_agents ; 2 ; 0.02
2 ; offices_range1_agents ; 2 ; 0.02
3 ; offices_range1_agents ; 2 ; 0.02
4 ; offices_range1_agents ; 5 ; 0.02
5 ; offices_range1_agents ; 5 ; 0.02
6 ; offices_range1_agents ; 5 ; 0.02
7 ; offices_range1_agents ; 5 ; 0.02
8 ; offices_range1_agents ; 2 ; 0.03
9 ; offices_range1_agents ; 2 ; 0.03
10 ; offices_range1_agents ; 2 ; 0.03
11 ; offices_range1_agents ; 2 ; 0.03
12 ; offices_range1_agents ; 2 ; 0.03
13 ; offices_range1_agents ; 2 ; 0.03
14 ; offices_range1_agents ; 2 ; 0.03
15 ; offices_range1_agents ; 2 ; 0.03
16 ; offices_range1_agents ; 2 ; 0.03
17 ; offices_range1_agents ; 2 ; 0.03
18 ; offices_range1_agents ; 2 ; 0.03
19 ; offices_range1_agents ; 2 ; 0.03
20 ; offices_range1_agents ; 2 ; 0.03
21 ; offices_range1_agents ; 5 ; 0.03
22 ; offices_range1_agents ; 5 ; 0.03
23 ; offices_range1_agents ; 5 ; 0.03
24 ; offices_range1_agents ; 5 ; 0.03
25 ; offices_range1_agents ; 5 ; 0.03
26 ; offices_range1_agents ; 2 ; 0.04
27 ; offices_range1_agents ; 5 ; 0.04
28 ; offices_range1_agents ; 5 ; 0.04
29 ; offices_range1_agents ; 5 ; 0.04
30 ; offices_range1_agents ; 5 ; 0.04
31 ; offices_range1_agents ; 5 ; 0.04
32 ; offices_range1_agents ; 5 ; 0.04
33 ; offices_range1_agents ; 5 ; 0.04
34 ; offices_range1_agents ; 5 ; 0.04
35 ; offices_range1_agents ; 2 ; 0.05
36 ; offices_range1_agents ; 5 ; 0.05
37 ; offices_range1_agents ; 5 ; 0.05
38 ; offices_range1_agents ; 5 ; 0.05
39 ; offices_range1_agents ; 10 ; 0.05
40 ; offices_range1_agents ; 10 ; 0.05
41 ; offices_range1_agents ; 10 ; 0.06
42 ; offices_range1_agents ; 10 ; 0.06
43 ; offices_range1_agents ; 10 ; 0.06
44 ; offices_range1_agents ; 10 ; 0.06
45 ; offices_range1_agents ; 10 ; 0.06
46 ; offices_range1_agents ; 15 ; 0.06
47 ; offices_range1_agents ; 10 ; 0.07
48 ; offices_range1_agents ; 15 ; 0.07
49 ; offices_range1_agents ; 15 ; 0.07
50 ; offices_range1_agents ; 10 ; 0.08
51 ; offices_range1_agents ; 10 ; 0.08
52 ; offices_range1_agents ; 10 ; 0.08
53 ; offices_range1_agents ; 10 ; 0.08
54 ; offices_range1_agents ; 10 ; 0.08
55 ; offices_range1_agents ; 10 ; 0.08
