id ; Experiment ; nb_agents ; time
0 ; parallel_range4_agents ; 2 ; 0.02
1 ; parallel_range4_agents ; 2 ; 0.02
2 ; parallel_range4_agents ; 2 ; 0.02
3 ; parallel_range4_agents ; 2 ; 0.02
4 ; parallel_range4_agents ; 2 ; 0.02
5 ; parallel_range4_agents ; 5 ; 0.02
6 ; parallel_range4_agents ; 5 ; 0.02
7 ; parallel_range4_agents ; 5 ; 0.02
8 ; parallel_range4_agents ; 5 ; 0.02
9 ; parallel_range4_agents ; 2 ; 0.03
10 ; parallel_range4_agents ; 2 ; 0.03
11 ; parallel_range4_agents ; 2 ; 0.03
12 ; parallel_range4_agents ; 2 ; 0.03
13 ; parallel_range4_agents ; 2 ; 0.03
14 ; parallel_range4_agents ; 2 ; 0.03
15 ; parallel_range4_agents ; 2 ; 0.03
16 ; parallel_range4_agents ; 5 ; 0.03
17 ; parallel_range4_agents ; 5 ; 0.03
18 ; parallel_range4_agents ; 5 ; 0.03
19 ; parallel_range4_agents ; 5 ; 0.03
20 ; parallel_range4_agents ; 5 ; 0.03
21 ; parallel_range4_agents ; 5 ; 0.03
22 ; parallel_range4_agents ; 5 ; 0.03
23 ; parallel_range4_agents ; 10 ; 0.03
24 ; parallel_range4_agents ; 2 ; 0.04
25 ; parallel_range4_agents ; 2 ; 0.04
26 ; parallel_range4_agents ; 2 ; 0.04
27 ; parallel_range4_agents ; 2 ; 0.04
28 ; parallel_range4_agents ; 2 ; 0.04
29 ; parallel_range4_agents ; 5 ; 0.04
30 ; parallel_range4_agents ; 5 ; 0.04
31 ; parallel_range4_agents ; 5 ; 0.04
32 ; parallel_range4_agents ; 5 ; 0.04
33 ; parallel_range4_agents ; 5 ; 0.04
34 ; parallel_range4_agents ; 5 ; 0.04
35 ; parallel_range4_agents ; 5 ; 0.04
36 ; parallel_range4_agents ; 10 ; 0.04
37 ; parallel_range4_agents ; 10 ; 0.04
38 ; parallel_range4_agents ; 10 ; 0.04
39 ; parallel_range4_agents ; 10 ; 0.04
40 ; parallel_range4_agents ; 10 ; 0.04
41 ; parallel_range4_agents ; 10 ; 0.04
42 ; parallel_range4_agents ; 2 ; 0.05
43 ; parallel_range4_agents ; 2 ; 0.05
44 ; parallel_range4_agents ; 5 ; 0.05
45 ; parallel_range4_agents ; 10 ; 0.05
46 ; parallel_range4_agents ; 10 ; 0.05
47 ; parallel_range4_agents ; 10 ; 0.05
48 ; parallel_range4_agents ; 10 ; 0.05
49 ; parallel_range4_agents ; 15 ; 0.05
50 ; parallel_range4_agents ; 10 ; 0.06
51 ; parallel_range4_agents ; 15 ; 0.06
52 ; parallel_range4_agents ; 20 ; 0.06
53 ; parallel_range4_agents ; 5 ; 0.07
54 ; parallel_range4_agents ; 10 ; 0.07
55 ; parallel_range4_agents ; 20 ; 0.07
56 ; parallel_range4_agents ; 10 ; 0.08
57 ; parallel_range4_agents ; 10 ; 0.08
58 ; parallel_range4_agents ; 15 ; 0.08
59 ; parallel_range4_agents ; 15 ; 0.08
60 ; parallel_range4_agents ; 15 ; 0.08
61 ; parallel_range4_agents ; 20 ; 0.08
62 ; parallel_range4_agents ; 10 ; 0.09
63 ; parallel_range4_agents ; 10 ; 0.09
64 ; parallel_range4_agents ; 15 ; 0.09
65 ; parallel_range4_agents ; 15 ; 0.09
66 ; parallel_range4_agents ; 15 ; 0.09
67 ; parallel_range4_agents ; 15 ; 0.09
68 ; parallel_range4_agents ; 15 ; 0.09
69 ; parallel_range4_agents ; 20 ; 0.09
70 ; parallel_range4_agents ; 2 ; 0.1
71 ; parallel_range4_agents ; 10 ; 0.1
72 ; parallel_range4_agents ; 10 ; 0.1
73 ; parallel_range4_agents ; 15 ; 0.1
74 ; parallel_range4_agents ; 15 ; 0.1
75 ; parallel_range4_agents ; 20 ; 0.1
76 ; parallel_range4_agents ; 15 ; 0.11
77 ; parallel_range4_agents ; 15 ; 0.11
78 ; parallel_range4_agents ; 15 ; 0.12
79 ; parallel_range4_agents ; 20 ; 0.12
80 ; parallel_range4_agents ; 30 ; 0.12
81 ; parallel_range4_agents ; 30 ; 0.12
82 ; parallel_range4_agents ; 20 ; 0.13
83 ; parallel_range4_agents ; 20 ; 0.13
84 ; parallel_range4_agents ; 20 ; 0.14
85 ; parallel_range4_agents ; 15 ; 0.15
86 ; parallel_range4_agents ; 15 ; 0.15
87 ; parallel_range4_agents ; 20 ; 0.15
88 ; parallel_range4_agents ; 30 ; 0.15
89 ; parallel_range4_agents ; 20 ; 0.16
