id ; Experiment ; nb_agents ; time
0 ; pyramid_range3_3d_agents ; 2 ; 0.03
1 ; pyramid_range3_3d_agents ; 2 ; 0.03
2 ; pyramid_range3_3d_agents ; 2 ; 0.03
3 ; pyramid_range3_3d_agents ; 2 ; 0.03
4 ; pyramid_range3_3d_agents ; 2 ; 0.03
5 ; pyramid_range3_3d_agents ; 2 ; 0.03
6 ; pyramid_range3_3d_agents ; 5 ; 0.03
7 ; pyramid_range3_3d_agents ; 5 ; 0.03
8 ; pyramid_range3_3d_agents ; 10 ; 0.03
9 ; pyramid_range3_3d_agents ; 2 ; 0.04
10 ; pyramid_range3_3d_agents ; 2 ; 0.04
11 ; pyramid_range3_3d_agents ; 2 ; 0.04
12 ; pyramid_range3_3d_agents ; 2 ; 0.04
13 ; pyramid_range3_3d_agents ; 2 ; 0.04
14 ; pyramid_range3_3d_agents ; 5 ; 0.04
15 ; pyramid_range3_3d_agents ; 5 ; 0.04
16 ; pyramid_range3_3d_agents ; 5 ; 0.04
17 ; pyramid_range3_3d_agents ; 5 ; 0.04
18 ; pyramid_range3_3d_agents ; 5 ; 0.04
19 ; pyramid_range3_3d_agents ; 5 ; 0.04
20 ; pyramid_range3_3d_agents ; 10 ; 0.04
21 ; pyramid_range3_3d_agents ; 5 ; 0.05
22 ; pyramid_range3_3d_agents ; 5 ; 0.05
23 ; pyramid_range3_3d_agents ; 5 ; 0.05
24 ; pyramid_range3_3d_agents ; 15 ; 0.05
25 ; pyramid_range3_3d_agents ; 15 ; 0.05
26 ; pyramid_range3_3d_agents ; 5 ; 0.06
27 ; pyramid_range3_3d_agents ; 5 ; 0.06
28 ; pyramid_range3_3d_agents ; 5 ; 0.06
29 ; pyramid_range3_3d_agents ; 5 ; 0.06
30 ; pyramid_range3_3d_agents ; 5 ; 0.06
31 ; pyramid_range3_3d_agents ; 5 ; 0.06
32 ; pyramid_range3_3d_agents ; 10 ; 0.06
33 ; pyramid_range3_3d_agents ; 10 ; 0.06
34 ; pyramid_range3_3d_agents ; 15 ; 0.06
35 ; pyramid_range3_3d_agents ; 15 ; 0.06
36 ; pyramid_range3_3d_agents ; 2 ; 0.07
37 ; pyramid_range3_3d_agents ; 2 ; 0.07
38 ; pyramid_range3_3d_agents ; 2 ; 0.07
39 ; pyramid_range3_3d_agents ; 2 ; 0.07
40 ; pyramid_range3_3d_agents ; 2 ; 0.07
41 ; pyramid_range3_3d_agents ; 2 ; 0.07
42 ; pyramid_range3_3d_agents ; 10 ; 0.07
43 ; pyramid_range3_3d_agents ; 10 ; 0.07
44 ; pyramid_range3_3d_agents ; 10 ; 0.07
45 ; pyramid_range3_3d_agents ; 15 ; 0.07
46 ; pyramid_range3_3d_agents ; 15 ; 0.07
47 ; pyramid_range3_3d_agents ; 2 ; 0.08
48 ; pyramid_range3_3d_agents ; 2 ; 0.08
49 ; pyramid_range3_3d_agents ; 5 ; 0.08
50 ; pyramid_range3_3d_agents ; 5 ; 0.08
51 ; pyramid_range3_3d_agents ; 10 ; 0.08
52 ; pyramid_range3_3d_agents ; 10 ; 0.08
53 ; pyramid_range3_3d_agents ; 10 ; 0.08
54 ; pyramid_range3_3d_agents ; 15 ; 0.08
55 ; pyramid_range3_3d_agents ; 20 ; 0.08
56 ; pyramid_range3_3d_agents ; 5 ; 0.09
57 ; pyramid_range3_3d_agents ; 10 ; 0.09
58 ; pyramid_range3_3d_agents ; 15 ; 0.09
59 ; pyramid_range3_3d_agents ; 15 ; 0.09
60 ; pyramid_range3_3d_agents ; 10 ; 0.1
61 ; pyramid_range3_3d_agents ; 10 ; 0.1
62 ; pyramid_range3_3d_agents ; 10 ; 0.1
63 ; pyramid_range3_3d_agents ; 15 ; 0.1
64 ; pyramid_range3_3d_agents ; 10 ; 0.11
65 ; pyramid_range3_3d_agents ; 10 ; 0.11
66 ; pyramid_range3_3d_agents ; 10 ; 0.12
67 ; pyramid_range3_3d_agents ; 15 ; 0.12
68 ; pyramid_range3_3d_agents ; 20 ; 0.12
69 ; pyramid_range3_3d_agents ; 15 ; 0.13
70 ; pyramid_range3_3d_agents ; 15 ; 0.13
