id ; Experiment ; nb_agents ; time
0 ; small_obstacles_range3_3d_agents ; 2 ; 0.34
1 ; small_obstacles_range3_3d_agents ; 2 ; 0.35
2 ; small_obstacles_range3_3d_agents ; 2 ; 0.36
3 ; small_obstacles_range3_3d_agents ; 2 ; 0.36
4 ; small_obstacles_range3_3d_agents ; 2 ; 0.36
5 ; small_obstacles_range3_3d_agents ; 2 ; 0.37
6 ; small_obstacles_range3_3d_agents ; 2 ; 0.38
7 ; small_obstacles_range3_3d_agents ; 2 ; 0.38
8 ; small_obstacles_range3_3d_agents ; 2 ; 0.38
9 ; small_obstacles_range3_3d_agents ; 2 ; 0.38
10 ; small_obstacles_range3_3d_agents ; 2 ; 0.38
11 ; small_obstacles_range3_3d_agents ; 2 ; 0.38
12 ; small_obstacles_range3_3d_agents ; 2 ; 0.38
13 ; small_obstacles_range3_3d_agents ; 2 ; 0.39
14 ; small_obstacles_range3_3d_agents ; 2 ; 0.39
15 ; small_obstacles_range3_3d_agents ; 2 ; 0.4
16 ; small_obstacles_range3_3d_agents ; 5 ; 0.4
17 ; small_obstacles_range3_3d_agents ; 2 ; 0.41
18 ; small_obstacles_range3_3d_agents ; 5 ; 0.41
19 ; small_obstacles_range3_3d_agents ; 5 ; 0.41
20 ; small_obstacles_range3_3d_agents ; 2 ; 0.42
21 ; small_obstacles_range3_3d_agents ; 5 ; 0.42
22 ; small_obstacles_range3_3d_agents ; 5 ; 0.42
23 ; small_obstacles_range3_3d_agents ; 5 ; 0.42
24 ; small_obstacles_range3_3d_agents ; 5 ; 0.43
25 ; small_obstacles_range3_3d_agents ; 5 ; 0.44
26 ; small_obstacles_range3_3d_agents ; 5 ; 0.44
27 ; small_obstacles_range3_3d_agents ; 5 ; 0.44
28 ; small_obstacles_range3_3d_agents ; 5 ; 0.44
29 ; small_obstacles_range3_3d_agents ; 5 ; 0.44
30 ; small_obstacles_range3_3d_agents ; 5 ; 0.46
31 ; small_obstacles_range3_3d_agents ; 5 ; 0.46
32 ; small_obstacles_range3_3d_agents ; 2 ; 0.5
33 ; small_obstacles_range3_3d_agents ; 5 ; 0.5
34 ; small_obstacles_range3_3d_agents ; 10 ; 0.5
35 ; small_obstacles_range3_3d_agents ; 5 ; 0.51
36 ; small_obstacles_range3_3d_agents ; 5 ; 0.51
37 ; small_obstacles_range3_3d_agents ; 5 ; 0.52
38 ; small_obstacles_range3_3d_agents ; 10 ; 0.52
39 ; small_obstacles_range3_3d_agents ; 10 ; 0.53
40 ; small_obstacles_range3_3d_agents ; 10 ; 0.55
