id ; Experiment ; nb_agents ; cost
0 ; offices_range1_agents ; 5 ; 15.0
1 ; offices_range1_agents ; 5 ; 19.0
2 ; offices_range1_agents ; 2 ; 22.0
3 ; offices_range1_agents ; 2 ; 26.0
4 ; offices_range1_agents ; 2 ; 26.0
5 ; offices_range1_agents ; 2 ; 27.0
6 ; offices_range1_agents ; 15 ; 29.0
7 ; offices_range1_agents ; 2 ; 31.0
8 ; offices_range1_agents ; 2 ; 34.0
9 ; offices_range1_agents ; 2 ; 35.0
10 ; offices_range1_agents ; 5 ; 37.0
11 ; offices_range1_agents ; 10 ; 39.0
12 ; offices_range1_agents ; 5 ; 40.0
13 ; offices_range1_agents ; 5 ; 40.0
14 ; offices_range1_agents ; 15 ; 40.0
15 ; offices_range1_agents ; 2 ; 41.0
16 ; offices_range1_agents ; 5 ; 41.0
17 ; offices_range1_agents ; 15 ; 41.0
18 ; offices_range1_agents ; 2 ; 43.0
19 ; offices_range1_agents ; 2 ; 43.0
20 ; offices_range1_agents ; 10 ; 43.0
21 ; offices_range1_agents ; 10 ; 44.0
22 ; offices_range1_agents ; 2 ; 45.0
23 ; offices_range1_agents ; 2 ; 49.0
24 ; offices_range1_agents ; 2 ; 49.0
25 ; offices_range1_agents ; 5 ; 49.0
26 ; offices_range1_agents ; 10 ; 49.0
27 ; offices_range1_agents ; 20 ; 49.0
28 ; offices_range1_agents ; 2 ; 51.0
29 ; offices_range1_agents ; 2 ; 52.0
30 ; offices_range1_agents ; 20 ; 52.0
31 ; offices_range1_agents ; 15 ; 55.0
32 ; offices_range1_agents ; 5 ; 56.0
33 ; offices_range1_agents ; 15 ; 56.0
34 ; offices_range1_agents ; 5 ; 62.0
35 ; offices_range1_agents ; 15 ; 63.0
36 ; offices_range1_agents ; 2 ; 67.0
37 ; offices_range1_agents ; 10 ; 69.0
38 ; offices_range1_agents ; 2 ; 70.0
39 ; offices_range1_agents ; 2 ; 70.0
40 ; offices_range1_agents ; 20 ; 71.0
41 ; offices_range1_agents ; 15 ; 72.0
42 ; offices_range1_agents ; 5 ; 73.0
43 ; offices_range1_agents ; 15 ; 73.0
44 ; offices_range1_agents ; 20 ; 73.0
45 ; offices_range1_agents ; 2 ; 75.0
46 ; offices_range1_agents ; 5 ; 75.0
47 ; offices_range1_agents ; 2 ; 83.0
48 ; offices_range1_agents ; 5 ; 84.0
49 ; offices_range1_agents ; 5 ; 86.0
50 ; offices_range1_agents ; 5 ; 87.0
51 ; offices_range1_agents ; 20 ; 92.0
52 ; offices_range1_agents ; 5 ; 95.0
53 ; offices_range1_agents ; 5 ; 96.0
54 ; offices_range1_agents ; 30 ; 97.0
55 ; offices_range1_agents ; 10 ; 102.0
56 ; offices_range1_agents ; 5 ; 103.0
57 ; offices_range1_agents ; 5 ; 108.0
58 ; offices_range1_agents ; 30 ; 108.0
59 ; offices_range1_agents ; 10 ; 112.0
60 ; offices_range1_agents ; 30 ; 112.0
61 ; offices_range1_agents ; 15 ; 116.0
62 ; offices_range1_agents ; 20 ; 116.0
63 ; offices_range1_agents ; 30 ; 117.0
64 ; offices_range1_agents ; 20 ; 118.0
65 ; offices_range1_agents ; 20 ; 120.0
66 ; offices_range1_agents ; 5 ; 122.0
67 ; offices_range1_agents ; 15 ; 122.0
68 ; offices_range1_agents ; 20 ; 123.0
69 ; offices_range1_agents ; 20 ; 124.0
70 ; offices_range1_agents ; 40 ; 125.0
71 ; offices_range1_agents ; 40 ; 126.0
72 ; offices_range1_agents ; 40 ; 128.0
73 ; offices_range1_agents ; 15 ; 132.0
74 ; offices_range1_agents ; 30 ; 133.0
75 ; offices_range1_agents ; 15 ; 135.0
76 ; offices_range1_agents ; 15 ; 138.0
77 ; offices_range1_agents ; 30 ; 138.0
78 ; offices_range1_agents ; 10 ; 139.0
79 ; offices_range1_agents ; 10 ; 140.0
80 ; offices_range1_agents ; 30 ; 141.0
81 ; offices_range1_agents ; 40 ; 144.0
82 ; offices_range1_agents ; 15 ; 147.0
83 ; offices_range1_agents ; 15 ; 148.0
84 ; offices_range1_agents ; 50 ; 148.0
85 ; offices_range1_agents ; 15 ; 149.0
86 ; offices_range1_agents ; 30 ; 149.0
