id ; Experiment ; nb_agents ; time
0 ; parallel_range4_agents ; 5 ; 0.02
1 ; parallel_range4_agents ; 2 ; 0.03
2 ; parallel_range4_agents ; 2 ; 0.03
3 ; parallel_range4_agents ; 2 ; 0.03
4 ; parallel_range4_agents ; 2 ; 0.03
5 ; parallel_range4_agents ; 5 ; 0.03
6 ; parallel_range4_agents ; 5 ; 0.03
7 ; parallel_range4_agents ; 5 ; 0.03
8 ; parallel_range4_agents ; 5 ; 0.03
9 ; parallel_range4_agents ; 5 ; 0.03
10 ; parallel_range4_agents ; 5 ; 0.03
11 ; parallel_range4_agents ; 5 ; 0.03
12 ; parallel_range4_agents ; 2 ; 0.04
13 ; parallel_range4_agents ; 2 ; 0.04
14 ; parallel_range4_agents ; 2 ; 0.04
15 ; parallel_range4_agents ; 2 ; 0.04
16 ; parallel_range4_agents ; 5 ; 0.04
17 ; parallel_range4_agents ; 10 ; 0.04
18 ; parallel_range4_agents ; 10 ; 0.04
19 ; parallel_range4_agents ; 10 ; 0.04
20 ; parallel_range4_agents ; 10 ; 0.04
21 ; parallel_range4_agents ; 2 ; 0.05
22 ; parallel_range4_agents ; 2 ; 0.05
23 ; parallel_range4_agents ; 2 ; 0.05
24 ; parallel_range4_agents ; 2 ; 0.05
25 ; parallel_range4_agents ; 2 ; 0.05
26 ; parallel_range4_agents ; 2 ; 0.05
27 ; parallel_range4_agents ; 5 ; 0.05
28 ; parallel_range4_agents ; 5 ; 0.05
29 ; parallel_range4_agents ; 5 ; 0.05
30 ; parallel_range4_agents ; 5 ; 0.05
31 ; parallel_range4_agents ; 10 ; 0.05
32 ; parallel_range4_agents ; 10 ; 0.05
33 ; parallel_range4_agents ; 10 ; 0.05
34 ; parallel_range4_agents ; 10 ; 0.05
35 ; parallel_range4_agents ; 10 ; 0.05
36 ; parallel_range4_agents ; 15 ; 0.05
37 ; parallel_range4_agents ; 2 ; 0.06
38 ; parallel_range4_agents ; 2 ; 0.06
39 ; parallel_range4_agents ; 2 ; 0.06
40 ; parallel_range4_agents ; 2 ; 0.06
41 ; parallel_range4_agents ; 2 ; 0.06
42 ; parallel_range4_agents ; 5 ; 0.06
43 ; parallel_range4_agents ; 5 ; 0.06
44 ; parallel_range4_agents ; 10 ; 0.06
45 ; parallel_range4_agents ; 15 ; 0.06
46 ; parallel_range4_agents ; 15 ; 0.06
47 ; parallel_range4_agents ; 15 ; 0.06
48 ; parallel_range4_agents ; 5 ; 0.07
49 ; parallel_range4_agents ; 5 ; 0.07
50 ; parallel_range4_agents ; 5 ; 0.07
51 ; parallel_range4_agents ; 5 ; 0.07
52 ; parallel_range4_agents ; 10 ; 0.07
53 ; parallel_range4_agents ; 15 ; 0.07
54 ; parallel_range4_agents ; 20 ; 0.07
55 ; parallel_range4_agents ; 20 ; 0.07
56 ; parallel_range4_agents ; 15 ; 0.08
