id ; Experiment ; nb_agents ; time
0 ; small_obstacles_range3_3d_agents ; 2 ; 0.37
1 ; small_obstacles_range3_3d_agents ; 2 ; 0.39
2 ; small_obstacles_range3_3d_agents ; 2 ; 0.4
3 ; small_obstacles_range3_3d_agents ; 2 ; 0.4
4 ; small_obstacles_range3_3d_agents ; 2 ; 0.41
5 ; small_obstacles_range3_3d_agents ; 2 ; 0.41
6 ; small_obstacles_range3_3d_agents ; 2 ; 0.42
7 ; small_obstacles_range3_3d_agents ; 2 ; 0.42
8 ; small_obstacles_range3_3d_agents ; 2 ; 0.42
9 ; small_obstacles_range3_3d_agents ; 2 ; 0.43
10 ; small_obstacles_range3_3d_agents ; 2 ; 0.43
11 ; small_obstacles_range3_3d_agents ; 2 ; 0.43
12 ; small_obstacles_range3_3d_agents ; 2 ; 0.44
13 ; small_obstacles_range3_3d_agents ; 2 ; 0.44
14 ; small_obstacles_range3_3d_agents ; 2 ; 0.44
15 ; small_obstacles_range3_3d_agents ; 2 ; 0.46
16 ; small_obstacles_range3_3d_agents ; 2 ; 0.46
17 ; small_obstacles_range3_3d_agents ; 5 ; 0.46
18 ; small_obstacles_range3_3d_agents ; 5 ; 0.47
19 ; small_obstacles_range3_3d_agents ; 5 ; 0.47
20 ; small_obstacles_range3_3d_agents ; 5 ; 0.47
21 ; small_obstacles_range3_3d_agents ; 5 ; 0.48
22 ; small_obstacles_range3_3d_agents ; 5 ; 0.48
23 ; small_obstacles_range3_3d_agents ; 5 ; 0.48
24 ; small_obstacles_range3_3d_agents ; 5 ; 0.48
25 ; small_obstacles_range3_3d_agents ; 5 ; 0.49
26 ; small_obstacles_range3_3d_agents ; 5 ; 0.49
27 ; small_obstacles_range3_3d_agents ; 5 ; 0.5
28 ; small_obstacles_range3_3d_agents ; 5 ; 0.5
29 ; small_obstacles_range3_3d_agents ; 5 ; 0.5
30 ; small_obstacles_range3_3d_agents ; 5 ; 0.52
31 ; small_obstacles_range3_3d_agents ; 5 ; 0.53
32 ; small_obstacles_range3_3d_agents ; 5 ; 0.53
33 ; small_obstacles_range3_3d_agents ; 2 ; 0.54
34 ; small_obstacles_range3_3d_agents ; 5 ; 0.57
35 ; small_obstacles_range3_3d_agents ; 5 ; 0.58
36 ; small_obstacles_range3_3d_agents ; 2 ; 0.59
37 ; small_obstacles_range3_3d_agents ; 10 ; 0.6
38 ; small_obstacles_range3_3d_agents ; 10 ; 0.6
39 ; small_obstacles_range3_3d_agents ; 15 ; 0.61
40 ; small_obstacles_range3_3d_agents ; 5 ; 0.62
41 ; small_obstacles_range3_3d_agents ; 10 ; 0.62
42 ; small_obstacles_range3_3d_agents ; 10 ; 0.64
43 ; small_obstacles_range3_3d_agents ; 10 ; 0.65
44 ; small_obstacles_range3_3d_agents ; 15 ; 0.65
45 ; small_obstacles_range3_3d_agents ; 10 ; 0.66
46 ; small_obstacles_range3_3d_agents ; 15 ; 0.66
47 ; small_obstacles_range3_3d_agents ; 10 ; 0.67
48 ; small_obstacles_range3_3d_agents ; 15 ; 0.67
49 ; small_obstacles_range3_3d_agents ; 2 ; 0.69
50 ; small_obstacles_range3_3d_agents ; 15 ; 0.69
51 ; small_obstacles_range3_3d_agents ; 20 ; 0.69
52 ; small_obstacles_range3_3d_agents ; 15 ; 0.72
53 ; small_obstacles_range3_3d_agents ; 10 ; 0.73
54 ; small_obstacles_range3_3d_agents ; 10 ; 0.73
55 ; small_obstacles_range3_3d_agents ; 5 ; 0.74
56 ; small_obstacles_range3_3d_agents ; 15 ; 0.74
57 ; small_obstacles_range3_3d_agents ; 10 ; 0.75
58 ; small_obstacles_range3_3d_agents ; 10 ; 0.75
59 ; small_obstacles_range3_3d_agents ; 15 ; 0.75
60 ; small_obstacles_range3_3d_agents ; 10 ; 0.76
61 ; small_obstacles_range3_3d_agents ; 10 ; 0.8
62 ; small_obstacles_range3_3d_agents ; 10 ; 0.8
63 ; small_obstacles_range3_3d_agents ; 15 ; 0.8
64 ; small_obstacles_range3_3d_agents ; 15 ; 0.8
65 ; small_obstacles_range3_3d_agents ; 20 ; 0.83
66 ; small_obstacles_range3_3d_agents ; 10 ; 0.84
67 ; small_obstacles_range3_3d_agents ; 15 ; 0.84
68 ; small_obstacles_range3_3d_agents ; 20 ; 0.85
69 ; small_obstacles_range3_3d_agents ; 20 ; 0.88
70 ; small_obstacles_range3_3d_agents ; 10 ; 0.91
71 ; small_obstacles_range3_3d_agents ; 15 ; 0.95
72 ; small_obstacles_range3_3d_agents ; 20 ; 0.96
73 ; small_obstacles_range3_3d_agents ; 10 ; 0.99
74 ; small_obstacles_range3_3d_agents ; 20 ; 1.0
75 ; small_obstacles_range3_3d_agents ; 15 ; 1.01
76 ; small_obstacles_range3_3d_agents ; 10 ; 1.03
77 ; small_obstacles_range3_3d_agents ; 15 ; 1.04
78 ; small_obstacles_range3_3d_agents ; 15 ; 1.06
79 ; small_obstacles_range3_3d_agents ; 20 ; 1.06
80 ; small_obstacles_range3_3d_agents ; 20 ; 1.07
81 ; small_obstacles_range3_3d_agents ; 20 ; 1.14
82 ; small_obstacles_range3_3d_agents ; 20 ; 1.16
83 ; small_obstacles_range3_3d_agents ; 20 ; 1.16
84 ; small_obstacles_range3_3d_agents ; 30 ; 1.16
85 ; small_obstacles_range3_3d_agents ; 10 ; 1.18
86 ; small_obstacles_range3_3d_agents ; 15 ; 1.22
87 ; small_obstacles_range3_3d_agents ; 15 ; 1.22
88 ; small_obstacles_range3_3d_agents ; 30 ; 1.23
89 ; small_obstacles_range3_3d_agents ; 30 ; 1.23
90 ; small_obstacles_range3_3d_agents ; 20 ; 1.25
91 ; small_obstacles_range3_3d_agents ; 10 ; 1.27
92 ; small_obstacles_range3_3d_agents ; 20 ; 1.36
93 ; small_obstacles_range3_3d_agents ; 20 ; 1.38
94 ; small_obstacles_range3_3d_agents ; 20 ; 1.42
95 ; small_obstacles_range3_3d_agents ; 30 ; 1.45
96 ; small_obstacles_range3_3d_agents ; 20 ; 1.47
97 ; small_obstacles_range3_3d_agents ; 30 ; 1.51
98 ; small_obstacles_range3_3d_agents ; 30 ; 1.53
99 ; small_obstacles_range3_3d_agents ; 40 ; 1.55
100 ; small_obstacles_range3_3d_agents ; 30 ; 1.58
101 ; small_obstacles_range3_3d_agents ; 20 ; 1.6
102 ; small_obstacles_range3_3d_agents ; 20 ; 1.67
103 ; small_obstacles_range3_3d_agents ; 30 ; 1.72
104 ; small_obstacles_range3_3d_agents ; 15 ; 1.78
105 ; small_obstacles_range3_3d_agents ; 40 ; 1.82
106 ; small_obstacles_range3_3d_agents ; 30 ; 1.86
107 ; small_obstacles_range3_3d_agents ; 15 ; 1.98
108 ; small_obstacles_range3_3d_agents ; 30 ; 2.05
109 ; small_obstacles_range3_3d_agents ; 15 ; 2.18
110 ; small_obstacles_range3_3d_agents ; 30 ; 2.23
111 ; small_obstacles_range3_3d_agents ; 30 ; 2.23
112 ; small_obstacles_range3_3d_agents ; 30 ; 2.32
113 ; small_obstacles_range3_3d_agents ; 30 ; 2.34
114 ; small_obstacles_range3_3d_agents ; 30 ; 2.62
115 ; small_obstacles_range3_3d_agents ; 30 ; 2.64
116 ; small_obstacles_range3_3d_agents ; 40 ; 2.73
117 ; small_obstacles_range3_3d_agents ; 30 ; 2.76
118 ; small_obstacles_range3_3d_agents ; 20 ; 2.83
119 ; small_obstacles_range3_3d_agents ; 40 ; 2.84
120 ; small_obstacles_range3_3d_agents ; 50 ; 2.93
121 ; small_obstacles_range3_3d_agents ; 50 ; 2.95
122 ; small_obstacles_range3_3d_agents ; 40 ; 3.03
123 ; small_obstacles_range3_3d_agents ; 30 ; 3.07
124 ; small_obstacles_range3_3d_agents ; 50 ; 3.16
125 ; small_obstacles_range3_3d_agents ; 40 ; 3.45
126 ; small_obstacles_range3_3d_agents ; 50 ; 3.7
127 ; small_obstacles_range3_3d_agents ; 60 ; 3.7
128 ; small_obstacles_range3_3d_agents ; 40 ; 3.73
129 ; small_obstacles_range3_3d_agents ; 40 ; 4.1
130 ; small_obstacles_range3_3d_agents ; 30 ; 4.13
131 ; small_obstacles_range3_3d_agents ; 60 ; 4.13
132 ; small_obstacles_range3_3d_agents ; 60 ; 4.34
133 ; small_obstacles_range3_3d_agents ; 40 ; 4.36
134 ; small_obstacles_range3_3d_agents ; 50 ; 4.42
135 ; small_obstacles_range3_3d_agents ; 60 ; 4.42
136 ; small_obstacles_range3_3d_agents ; 40 ; 4.57
137 ; small_obstacles_range3_3d_agents ; 60 ; 4.9
138 ; small_obstacles_range3_3d_agents ; 60 ; 4.91
139 ; small_obstacles_range3_3d_agents ; 50 ; 4.95
140 ; small_obstacles_range3_3d_agents ; 50 ; 5.12
141 ; small_obstacles_range3_3d_agents ; 50 ; 5.26
