../generation/data/small_obstacles_range3_3d_agents15_0.exp ; 1 ; 216 ; 2.57 ; 431
../generation/data/small_obstacles_range3_3d_agents15_10.exp ; 1 ; 508 ; 2.81 ; 482
../generation/data/small_obstacles_range3_3d_agents15_11.exp ; 1 ; 283 ; 2.07 ; 468
../generation/data/small_obstacles_range3_3d_agents15_12.exp ; 1 ; 321 ; 2.28 ; 464
../generation/data/small_obstacles_range3_3d_agents15_13.exp ; 1 ; 371 ; 3.28 ; 467
../generation/data/small_obstacles_range3_3d_agents15_14.exp ; 1 ; 151 ; 1.46 ; 420
../generation/data/small_obstacles_range3_3d_agents15_15.exp ; 1 ; 248 ; 9.12 ; 468
../generation/data/small_obstacles_range3_3d_agents15_16.exp ; 1 ; 436 ; 4.25 ; 438
../generation/data/small_obstacles_range3_3d_agents15_17.exp ; 1 ; 99 ; 1.06 ; 412
../generation/data/small_obstacles_range3_3d_agents15_18.exp ; 1 ; 473 ; 2.16 ; 517
../generation/data/small_obstacles_range3_3d_agents15_19.exp ; 1 ; 104 ; 1.31 ; 430
../generation/data/small_obstacles_range3_3d_agents15_1.exp ; 1 ; 753 ; 3.41 ; 510
../generation/data/small_obstacles_range3_3d_agents15_2.exp ; 1 ; 351 ; 1.07 ; 417
../generation/data/small_obstacles_range3_3d_agents15_3.exp ; 1 ; 59 ; 0.95 ; 414
../generation/data/small_obstacles_range3_3d_agents15_4.exp ; 1 ; 1213 ; 6.77 ; 565
../generation/data/small_obstacles_range3_3d_agents15_5.exp ; 1 ; 206 ; 1.79 ; 434
../generation/data/small_obstacles_range3_3d_agents15_6.exp ; 1 ; 314 ; 2.08 ; 465
../generation/data/small_obstacles_range3_3d_agents15_7.exp ; 1 ; 209 ; 1.41 ; 452
../generation/data/small_obstacles_range3_3d_agents15_8.exp ; 1 ; 239 ; 2.19 ; 437
../generation/data/small_obstacles_range3_3d_agents15_9.exp ; 1 ; 328 ; 1.72 ; 496
