id ; Experiment ; nb_agents ; cost
0 ; offices_range1_agents ; 5 ; 15.0
1 ; offices_range1_agents ; 2 ; 23.0
2 ; offices_range1_agents ; 2 ; 27.0
3 ; offices_range1_agents ; 5 ; 27.0
4 ; offices_range1_agents ; 10 ; 27.0
5 ; offices_range1_agents ; 10 ; 27.0
6 ; offices_range1_agents ; 2 ; 32.0
7 ; offices_range1_agents ; 2 ; 32.0
8 ; offices_range1_agents ; 2 ; 33.0
9 ; offices_range1_agents ; 5 ; 35.0
10 ; offices_range1_agents ; 5 ; 36.0
11 ; offices_range1_agents ; 20 ; 36.0
12 ; offices_range1_agents ; 5 ; 37.0
13 ; offices_range1_agents ; 2 ; 38.0
14 ; offices_range1_agents ; 2 ; 39.0
15 ; offices_range1_agents ; 5 ; 39.0
16 ; offices_range1_agents ; 10 ; 39.0
17 ; offices_range1_agents ; 15 ; 39.0
18 ; offices_range1_agents ; 2 ; 44.0
19 ; offices_range1_agents ; 2 ; 44.0
20 ; offices_range1_agents ; 2 ; 46.0
21 ; offices_range1_agents ; 15 ; 46.0
22 ; offices_range1_agents ; 5 ; 47.0
23 ; offices_range1_agents ; 2 ; 49.0
24 ; offices_range1_agents ; 2 ; 50.0
25 ; offices_range1_agents ; 2 ; 50.0
26 ; offices_range1_agents ; 2 ; 52.0
27 ; offices_range1_agents ; 5 ; 52.0
28 ; offices_range1_agents ; 10 ; 52.0
29 ; offices_range1_agents ; 2 ; 53.0
30 ; offices_range1_agents ; 5 ; 54.0
31 ; offices_range1_agents ; 10 ; 55.0
32 ; offices_range1_agents ; 10 ; 56.0
33 ; offices_range1_agents ; 10 ; 58.0
34 ; offices_range1_agents ; 5 ; 63.0
35 ; offices_range1_agents ; 5 ; 65.0
36 ; offices_range1_agents ; 2 ; 68.0
37 ; offices_range1_agents ; 5 ; 68.0
38 ; offices_range1_agents ; 5 ; 68.0
39 ; offices_range1_agents ; 20 ; 69.0
40 ; offices_range1_agents ; 15 ; 70.0
41 ; offices_range1_agents ; 20 ; 70.0
42 ; offices_range1_agents ; 2 ; 71.0
43 ; offices_range1_agents ; 2 ; 71.0
44 ; offices_range1_agents ; 10 ; 71.0
45 ; offices_range1_agents ; 15 ; 71.0
46 ; offices_range1_agents ; 15 ; 74.0
47 ; offices_range1_agents ; 20 ; 74.0
48 ; offices_range1_agents ; 30 ; 74.0
49 ; offices_range1_agents ; 30 ; 75.0
50 ; offices_range1_agents ; 10 ; 76.0
51 ; offices_range1_agents ; 10 ; 78.0
52 ; offices_range1_agents ; 2 ; 79.0
53 ; offices_range1_agents ; 10 ; 83.0
54 ; offices_range1_agents ; 2 ; 84.0
55 ; offices_range1_agents ; 15 ; 84.0
56 ; offices_range1_agents ; 10 ; 86.0
57 ; offices_range1_agents ; 15 ; 87.0
58 ; offices_range1_agents ; 5 ; 88.0
59 ; offices_range1_agents ; 5 ; 88.0
60 ; offices_range1_agents ; 5 ; 89.0
61 ; offices_range1_agents ; 20 ; 89.0
62 ; offices_range1_agents ; 20 ; 89.0
63 ; offices_range1_agents ; 30 ; 91.0
64 ; offices_range1_agents ; 10 ; 92.0
65 ; offices_range1_agents ; 5 ; 93.0
66 ; offices_range1_agents ; 10 ; 95.0
67 ; offices_range1_agents ; 15 ; 98.0
68 ; offices_range1_agents ; 5 ; 100.0
69 ; offices_range1_agents ; 10 ; 101.0
70 ; offices_range1_agents ; 10 ; 102.0
71 ; offices_range1_agents ; 10 ; 103.0
72 ; offices_range1_agents ; 20 ; 103.0
73 ; offices_range1_agents ; 5 ; 104.0
74 ; offices_range1_agents ; 15 ; 106.0
75 ; offices_range1_agents ; 20 ; 107.0
76 ; offices_range1_agents ; 30 ; 116.0
77 ; offices_range1_agents ; 15 ; 117.0
78 ; offices_range1_agents ; 10 ; 118.0
79 ; offices_range1_agents ; 10 ; 119.0
80 ; offices_range1_agents ; 15 ; 119.0
81 ; offices_range1_agents ; 5 ; 120.0
82 ; offices_range1_agents ; 20 ; 120.0
83 ; offices_range1_agents ; 20 ; 121.0
84 ; offices_range1_agents ; 20 ; 121.0
85 ; offices_range1_agents ; 20 ; 121.0
86 ; offices_range1_agents ; 15 ; 124.0
87 ; offices_range1_agents ; 30 ; 124.0
88 ; offices_range1_agents ; 15 ; 125.0
89 ; offices_range1_agents ; 15 ; 126.0
90 ; offices_range1_agents ; 30 ; 129.0
91 ; offices_range1_agents ; 20 ; 131.0
92 ; offices_range1_agents ; 10 ; 132.0
93 ; offices_range1_agents ; 15 ; 133.0
94 ; offices_range1_agents ; 15 ; 138.0
95 ; offices_range1_agents ; 20 ; 139.0
96 ; offices_range1_agents ; 20 ; 139.0
97 ; offices_range1_agents ; 15 ; 142.0
98 ; offices_range1_agents ; 20 ; 143.0
99 ; offices_range1_agents ; 20 ; 143.0
100 ; offices_range1_agents ; 15 ; 144.0
101 ; offices_range1_agents ; 15 ; 146.0
102 ; offices_range1_agents ; 20 ; 147.0
103 ; offices_range1_agents ; 30 ; 147.0
104 ; offices_range1_agents ; 15 ; 150.0
105 ; offices_range1_agents ; 30 ; 162.0
106 ; offices_range1_agents ; 20 ; 182.0
