id ; Experiment ; nb_agents ; time
0 ; offices_range1_agents ; 2 ; 0.08
1 ; offices_range1_agents ; 2 ; 0.08
2 ; offices_range1_agents ; 2 ; 0.08
3 ; offices_range1_agents ; 2 ; 0.08
4 ; offices_range1_agents ; 2 ; 0.09
5 ; offices_range1_agents ; 2 ; 0.09
6 ; offices_range1_agents ; 2 ; 0.09
7 ; offices_range1_agents ; 2 ; 0.09
8 ; offices_range1_agents ; 5 ; 0.09
9 ; offices_range1_agents ; 2 ; 0.1
10 ; offices_range1_agents ; 2 ; 0.1
11 ; offices_range1_agents ; 2 ; 0.1
12 ; offices_range1_agents ; 5 ; 0.1
13 ; offices_range1_agents ; 5 ; 0.1
14 ; offices_range1_agents ; 2 ; 0.11
15 ; offices_range1_agents ; 2 ; 0.11
16 ; offices_range1_agents ; 2 ; 0.11
17 ; offices_range1_agents ; 2 ; 0.11
18 ; offices_range1_agents ; 2 ; 0.11
19 ; offices_range1_agents ; 5 ; 0.11
20 ; offices_range1_agents ; 2 ; 0.12
21 ; offices_range1_agents ; 2 ; 0.12
22 ; offices_range1_agents ; 5 ; 0.12
23 ; offices_range1_agents ; 5 ; 0.12
24 ; offices_range1_agents ; 2 ; 0.13
25 ; offices_range1_agents ; 5 ; 0.13
26 ; offices_range1_agents ; 5 ; 0.14
27 ; offices_range1_agents ; 5 ; 0.14
28 ; offices_range1_agents ; 5 ; 0.15
29 ; offices_range1_agents ; 5 ; 0.15
30 ; offices_range1_agents ; 5 ; 0.15
31 ; offices_range1_agents ; 5 ; 0.16
32 ; offices_range1_agents ; 2 ; 0.17
33 ; offices_range1_agents ; 10 ; 0.17
34 ; offices_range1_agents ; 5 ; 0.18
35 ; offices_range1_agents ; 5 ; 0.18
36 ; offices_range1_agents ; 5 ; 0.18
37 ; offices_range1_agents ; 5 ; 0.19
38 ; offices_range1_agents ; 5 ; 0.2
39 ; offices_range1_agents ; 5 ; 0.21
40 ; offices_range1_agents ; 10 ; 0.21
41 ; offices_range1_agents ; 5 ; 0.22
42 ; offices_range1_agents ; 10 ; 0.31
43 ; offices_range1_agents ; 10 ; 0.37
44 ; offices_range1_agents ; 10 ; 0.37
45 ; offices_range1_agents ; 10 ; 0.37
46 ; offices_range1_agents ; 10 ; 0.38
47 ; offices_range1_agents ; 10 ; 0.41
48 ; offices_range1_agents ; 10 ; 0.41
49 ; offices_range1_agents ; 10 ; 0.41
50 ; offices_range1_agents ; 15 ; 0.45
51 ; offices_range1_agents ; 10 ; 0.52
52 ; offices_range1_agents ; 10 ; 0.52
53 ; offices_range1_agents ; 10 ; 0.57
54 ; offices_range1_agents ; 10 ; 0.58
55 ; offices_range1_agents ; 10 ; 0.59
56 ; offices_range1_agents ; 10 ; 0.61
57 ; offices_range1_agents ; 10 ; 0.65
58 ; offices_range1_agents ; 10 ; 0.68
59 ; offices_range1_agents ; 15 ; 0.7
60 ; offices_range1_agents ; 15 ; 0.82
61 ; offices_range1_agents ; 15 ; 0.84
62 ; offices_range1_agents ; 15 ; 0.88
63 ; offices_range1_agents ; 10 ; 0.95
64 ; offices_range1_agents ; 15 ; 0.96
65 ; offices_range1_agents ; 15 ; 0.97
66 ; offices_range1_agents ; 15 ; 0.99
67 ; offices_range1_agents ; 15 ; 1.09
68 ; offices_range1_agents ; 15 ; 1.3
69 ; offices_range1_agents ; 10 ; 1.34
70 ; offices_range1_agents ; 15 ; 1.6
71 ; offices_range1_agents ; 15 ; 1.62
72 ; offices_range1_agents ; 15 ; 1.64
73 ; offices_range1_agents ; 15 ; 1.68
74 ; offices_range1_agents ; 15 ; 1.8
75 ; offices_range1_agents ; 15 ; 1.84
76 ; offices_range1_agents ; 20 ; 2.03
77 ; offices_range1_agents ; 20 ; 2.07
78 ; offices_range1_agents ; 15 ; 2.09
79 ; offices_range1_agents ; 20 ; 2.49
80 ; offices_range1_agents ; 15 ; 2.51
81 ; offices_range1_agents ; 20 ; 2.71
82 ; offices_range1_agents ; 15 ; 2.91
83 ; offices_range1_agents ; 20 ; 3.04
84 ; offices_range1_agents ; 20 ; 3.23
85 ; offices_range1_agents ; 20 ; 3.32
86 ; offices_range1_agents ; 15 ; 3.58
87 ; offices_range1_agents ; 20 ; 3.94
88 ; offices_range1_agents ; 20 ; 4.52
89 ; offices_range1_agents ; 20 ; 5.0
90 ; offices_range1_agents ; 20 ; 5.3
91 ; offices_range1_agents ; 20 ; 7.67
92 ; offices_range1_agents ; 20 ; 8.39
93 ; offices_range1_agents ; 20 ; 9.06
94 ; offices_range1_agents ; 30 ; 10.02
95 ; offices_range1_agents ; 30 ; 11.8
96 ; offices_range1_agents ; 20 ; 12.1
97 ; offices_range1_agents ; 30 ; 15.39
98 ; offices_range1_agents ; 20 ; 16.51
99 ; offices_range1_agents ; 20 ; 20.35
100 ; offices_range1_agents ; 20 ; 24.23
101 ; offices_range1_agents ; 30 ; 25.57
102 ; offices_range1_agents ; 20 ; 25.58
103 ; offices_range1_agents ; 30 ; 36.78
104 ; offices_range1_agents ; 30 ; 49.68
105 ; offices_range1_agents ; 30 ; 90.67
106 ; offices_range1_agents ; 30 ; 115.58
