id ; Experiment ; nb_agents ; cost
0 ; parallel_range4_agents ; 2 ; 5.0
1 ; parallel_range4_agents ; 2 ; 8.0
2 ; parallel_range4_agents ; 2 ; 16.0
3 ; parallel_range4_agents ; 2 ; 21.0
4 ; parallel_range4_agents ; 2 ; 22.0
5 ; parallel_range4_agents ; 5 ; 26.0
6 ; parallel_range4_agents ; 2 ; 29.0
7 ; parallel_range4_agents ; 2 ; 29.0
8 ; parallel_range4_agents ; 5 ; 30.0
9 ; parallel_range4_agents ; 5 ; 32.0
10 ; parallel_range4_agents ; 2 ; 33.0
11 ; parallel_range4_agents ; 2 ; 35.0
12 ; parallel_range4_agents ; 10 ; 35.0
13 ; parallel_range4_agents ; 5 ; 38.0
14 ; parallel_range4_agents ; 2 ; 39.0
15 ; parallel_range4_agents ; 10 ; 40.0
16 ; parallel_range4_agents ; 2 ; 41.0
17 ; parallel_range4_agents ; 2 ; 41.0
18 ; parallel_range4_agents ; 5 ; 41.0
19 ; parallel_range4_agents ; 5 ; 41.0
20 ; parallel_range4_agents ; 2 ; 43.0
21 ; parallel_range4_agents ; 5 ; 44.0
22 ; parallel_range4_agents ; 5 ; 45.0
23 ; parallel_range4_agents ; 2 ; 46.0
24 ; parallel_range4_agents ; 5 ; 47.0
25 ; parallel_range4_agents ; 2 ; 49.0
26 ; parallel_range4_agents ; 5 ; 49.0
27 ; parallel_range4_agents ; 2 ; 51.0
28 ; parallel_range4_agents ; 15 ; 51.0
29 ; parallel_range4_agents ; 15 ; 51.0
30 ; parallel_range4_agents ; 15 ; 51.0
31 ; parallel_range4_agents ; 2 ; 52.0
32 ; parallel_range4_agents ; 5 ; 53.0
33 ; parallel_range4_agents ; 10 ; 53.0
34 ; parallel_range4_agents ; 2 ; 54.0
35 ; parallel_range4_agents ; 20 ; 57.0
36 ; parallel_range4_agents ; 5 ; 58.0
37 ; parallel_range4_agents ; 15 ; 58.0
38 ; parallel_range4_agents ; 5 ; 59.0
39 ; parallel_range4_agents ; 2 ; 60.0
40 ; parallel_range4_agents ; 10 ; 60.0
41 ; parallel_range4_agents ; 2 ; 66.0
42 ; parallel_range4_agents ; 5 ; 66.0
43 ; parallel_range4_agents ; 10 ; 66.0
44 ; parallel_range4_agents ; 5 ; 67.0
45 ; parallel_range4_agents ; 10 ; 68.0
46 ; parallel_range4_agents ; 5 ; 74.0
47 ; parallel_range4_agents ; 5 ; 75.0
48 ; parallel_range4_agents ; 10 ; 75.0
49 ; parallel_range4_agents ; 15 ; 75.0
50 ; parallel_range4_agents ; 15 ; 75.0
51 ; parallel_range4_agents ; 10 ; 76.0
52 ; parallel_range4_agents ; 20 ; 78.0
53 ; parallel_range4_agents ; 10 ; 80.0
54 ; parallel_range4_agents ; 5 ; 82.0
55 ; parallel_range4_agents ; 10 ; 83.0
56 ; parallel_range4_agents ; 10 ; 84.0
57 ; parallel_range4_agents ; 15 ; 84.0
58 ; parallel_range4_agents ; 20 ; 85.0
59 ; parallel_range4_agents ; 20 ; 85.0
60 ; parallel_range4_agents ; 10 ; 88.0
61 ; parallel_range4_agents ; 20 ; 88.0
62 ; parallel_range4_agents ; 10 ; 90.0
63 ; parallel_range4_agents ; 10 ; 92.0
64 ; parallel_range4_agents ; 15 ; 92.0
65 ; parallel_range4_agents ; 30 ; 93.0
66 ; parallel_range4_agents ; 20 ; 98.0
67 ; parallel_range4_agents ; 10 ; 101.0
68 ; parallel_range4_agents ; 5 ; 102.0
69 ; parallel_range4_agents ; 30 ; 104.0
70 ; parallel_range4_agents ; 10 ; 105.0
71 ; parallel_range4_agents ; 40 ; 105.0
72 ; parallel_range4_agents ; 20 ; 108.0
73 ; parallel_range4_agents ; 10 ; 111.0
74 ; parallel_range4_agents ; 15 ; 114.0
75 ; parallel_range4_agents ; 10 ; 115.0
76 ; parallel_range4_agents ; 40 ; 116.0
77 ; parallel_range4_agents ; 30 ; 117.0
78 ; parallel_range4_agents ; 40 ; 117.0
79 ; parallel_range4_agents ; 15 ; 119.0
80 ; parallel_range4_agents ; 15 ; 123.0
81 ; parallel_range4_agents ; 20 ; 124.0
82 ; parallel_range4_agents ; 30 ; 126.0
83 ; parallel_range4_agents ; 10 ; 127.0
84 ; parallel_range4_agents ; 20 ; 127.0
85 ; parallel_range4_agents ; 30 ; 127.0
86 ; parallel_range4_agents ; 20 ; 129.0
87 ; parallel_range4_agents ; 15 ; 130.0
88 ; parallel_range4_agents ; 10 ; 133.0
89 ; parallel_range4_agents ; 20 ; 133.0
90 ; parallel_range4_agents ; 20 ; 136.0
91 ; parallel_range4_agents ; 15 ; 137.0
92 ; parallel_range4_agents ; 20 ; 139.0
93 ; parallel_range4_agents ; 30 ; 139.0
94 ; parallel_range4_agents ; 30 ; 149.0
95 ; parallel_range4_agents ; 30 ; 151.0
96 ; parallel_range4_agents ; 15 ; 153.0
97 ; parallel_range4_agents ; 40 ; 153.0
98 ; parallel_range4_agents ; 5 ; 159.0
99 ; parallel_range4_agents ; 40 ; 160.0
100 ; parallel_range4_agents ; 15 ; 163.0
101 ; parallel_range4_agents ; 50 ; 177.0
102 ; parallel_range4_agents ; 20 ; 179.0
103 ; parallel_range4_agents ; 30 ; 180.0
104 ; parallel_range4_agents ; 30 ; 185.0
105 ; parallel_range4_agents ; 15 ; 191.0
106 ; parallel_range4_agents ; 40 ; 192.0
107 ; parallel_range4_agents ; 40 ; 194.0
108 ; parallel_range4_agents ; 30 ; 195.0
109 ; parallel_range4_agents ; 50 ; 195.0
110 ; parallel_range4_agents ; 30 ; 197.0
111 ; parallel_range4_agents ; 30 ; 202.0
112 ; parallel_range4_agents ; 40 ; 209.0
113 ; parallel_range4_agents ; 30 ; 211.0
114 ; parallel_range4_agents ; 40 ; 237.0
115 ; parallel_range4_agents ; 15 ; 239.0
116 ; parallel_range4_agents ; 30 ; 241.0
117 ; parallel_range4_agents ; 15 ; 244.0
118 ; parallel_range4_agents ; 20 ; 251.0
119 ; parallel_range4_agents ; 20 ; 265.0
120 ; parallel_range4_agents ; 40 ; 277.0
121 ; parallel_range4_agents ; 40 ; 277.0
122 ; parallel_range4_agents ; 20 ; 330.0
123 ; parallel_range4_agents ; 40 ; 365.0
124 ; parallel_range4_agents ; 20 ; 372.0
125 ; parallel_range4_agents ; 20 ; 385.0
126 ; parallel_range4_agents ; 30 ; 652.0
