id ; Experiment ; nb_agents ; cost
0 ; pyramid_range3_3d_agents ; 2 ; 7.0
1 ; pyramid_range3_3d_agents ; 5 ; 9.0
2 ; pyramid_range3_3d_agents ; 2 ; 10.0
3 ; pyramid_range3_3d_agents ; 2 ; 10.0
4 ; pyramid_range3_3d_agents ; 5 ; 11.0
5 ; pyramid_range3_3d_agents ; 2 ; 13.0
6 ; pyramid_range3_3d_agents ; 2 ; 13.0
7 ; pyramid_range3_3d_agents ; 2 ; 13.0
8 ; pyramid_range3_3d_agents ; 5 ; 14.0
9 ; pyramid_range3_3d_agents ; 10 ; 14.0
10 ; pyramid_range3_3d_agents ; 2 ; 15.0
11 ; pyramid_range3_3d_agents ; 5 ; 15.0
12 ; pyramid_range3_3d_agents ; 2 ; 16.0
13 ; pyramid_range3_3d_agents ; 2 ; 17.0
14 ; pyramid_range3_3d_agents ; 2 ; 18.0
15 ; pyramid_range3_3d_agents ; 5 ; 18.0
16 ; pyramid_range3_3d_agents ; 5 ; 19.0
17 ; pyramid_range3_3d_agents ; 10 ; 19.0
18 ; pyramid_range3_3d_agents ; 5 ; 20.0
19 ; pyramid_range3_3d_agents ; 5 ; 20.0
20 ; pyramid_range3_3d_agents ; 2 ; 21.0
21 ; pyramid_range3_3d_agents ; 2 ; 22.0
22 ; pyramid_range3_3d_agents ; 2 ; 22.0
23 ; pyramid_range3_3d_agents ; 2 ; 24.0
24 ; pyramid_range3_3d_agents ; 5 ; 24.0
25 ; pyramid_range3_3d_agents ; 5 ; 26.0
26 ; pyramid_range3_3d_agents ; 5 ; 26.0
27 ; pyramid_range3_3d_agents ; 10 ; 26.0
28 ; pyramid_range3_3d_agents ; 2 ; 27.0
29 ; pyramid_range3_3d_agents ; 10 ; 27.0
30 ; pyramid_range3_3d_agents ; 15 ; 27.0
31 ; pyramid_range3_3d_agents ; 2 ; 28.0
32 ; pyramid_range3_3d_agents ; 15 ; 28.0
33 ; pyramid_range3_3d_agents ; 5 ; 30.0
34 ; pyramid_range3_3d_agents ; 2 ; 31.0
35 ; pyramid_range3_3d_agents ; 2 ; 31.0
36 ; pyramid_range3_3d_agents ; 2 ; 32.0
37 ; pyramid_range3_3d_agents ; 2 ; 33.0
38 ; pyramid_range3_3d_agents ; 10 ; 34.0
39 ; pyramid_range3_3d_agents ; 5 ; 37.0
40 ; pyramid_range3_3d_agents ; 5 ; 39.0
41 ; pyramid_range3_3d_agents ; 15 ; 40.0
42 ; pyramid_range3_3d_agents ; 20 ; 42.0
43 ; pyramid_range3_3d_agents ; 50 ; 44.0
44 ; pyramid_range3_3d_agents ; 5 ; 45.0
45 ; pyramid_range3_3d_agents ; 5 ; 48.0
46 ; pyramid_range3_3d_agents ; 10 ; 48.0
47 ; pyramid_range3_3d_agents ; 15 ; 49.0
48 ; pyramid_range3_3d_agents ; 15 ; 53.0
49 ; pyramid_range3_3d_agents ; 10 ; 54.0
50 ; pyramid_range3_3d_agents ; 5 ; 55.0
51 ; pyramid_range3_3d_agents ; 10 ; 58.0
52 ; pyramid_range3_3d_agents ; 15 ; 62.0
53 ; pyramid_range3_3d_agents ; 20 ; 67.0
54 ; pyramid_range3_3d_agents ; 10 ; 76.0
55 ; pyramid_range3_3d_agents ; 20 ; 76.0
56 ; pyramid_range3_3d_agents ; 40 ; 76.0
57 ; pyramid_range3_3d_agents ; 10 ; 79.0
58 ; pyramid_range3_3d_agents ; 10 ; 80.0
59 ; pyramid_range3_3d_agents ; 20 ; 83.0
60 ; pyramid_range3_3d_agents ; 5 ; 84.0
61 ; pyramid_range3_3d_agents ; 5 ; 85.0
62 ; pyramid_range3_3d_agents ; 10 ; 86.0
63 ; pyramid_range3_3d_agents ; 10 ; 90.0
64 ; pyramid_range3_3d_agents ; 30 ; 90.0
65 ; pyramid_range3_3d_agents ; 15 ; 91.0
66 ; pyramid_range3_3d_agents ; 20 ; 91.0
67 ; pyramid_range3_3d_agents ; 20 ; 92.0
68 ; pyramid_range3_3d_agents ; 30 ; 92.0
69 ; pyramid_range3_3d_agents ; 15 ; 93.0
70 ; pyramid_range3_3d_agents ; 15 ; 95.0
71 ; pyramid_range3_3d_agents ; 5 ; 99.0
72 ; pyramid_range3_3d_agents ; 30 ; 101.0
73 ; pyramid_range3_3d_agents ; 10 ; 102.0
74 ; pyramid_range3_3d_agents ; 20 ; 103.0
75 ; pyramid_range3_3d_agents ; 10 ; 105.0
76 ; pyramid_range3_3d_agents ; 10 ; 106.0
77 ; pyramid_range3_3d_agents ; 10 ; 108.0
78 ; pyramid_range3_3d_agents ; 40 ; 112.0
79 ; pyramid_range3_3d_agents ; 30 ; 113.0
80 ; pyramid_range3_3d_agents ; 10 ; 115.0
81 ; pyramid_range3_3d_agents ; 15 ; 117.0
82 ; pyramid_range3_3d_agents ; 15 ; 117.0
83 ; pyramid_range3_3d_agents ; 15 ; 118.0
84 ; pyramid_range3_3d_agents ; 15 ; 120.0
85 ; pyramid_range3_3d_agents ; 40 ; 123.0
86 ; pyramid_range3_3d_agents ; 30 ; 124.0
87 ; pyramid_range3_3d_agents ; 30 ; 126.0
88 ; pyramid_range3_3d_agents ; 10 ; 131.0
89 ; pyramid_range3_3d_agents ; 40 ; 132.0
90 ; pyramid_range3_3d_agents ; 20 ; 133.0
91 ; pyramid_range3_3d_agents ; 15 ; 138.0
92 ; pyramid_range3_3d_agents ; 20 ; 143.0
93 ; pyramid_range3_3d_agents ; 40 ; 143.0
94 ; pyramid_range3_3d_agents ; 20 ; 145.0
95 ; pyramid_range3_3d_agents ; 15 ; 146.0
96 ; pyramid_range3_3d_agents ; 20 ; 146.0
97 ; pyramid_range3_3d_agents ; 15 ; 148.0
98 ; pyramid_range3_3d_agents ; 15 ; 151.0
99 ; pyramid_range3_3d_agents ; 30 ; 153.0
100 ; pyramid_range3_3d_agents ; 20 ; 155.0
101 ; pyramid_range3_3d_agents ; 40 ; 161.0
102 ; pyramid_range3_3d_agents ; 20 ; 165.0
103 ; pyramid_range3_3d_agents ; 30 ; 166.0
104 ; pyramid_range3_3d_agents ; 20 ; 172.0
105 ; pyramid_range3_3d_agents ; 30 ; 174.0
106 ; pyramid_range3_3d_agents ; 20 ; 178.0
107 ; pyramid_range3_3d_agents ; 20 ; 191.0
108 ; pyramid_range3_3d_agents ; 15 ; 198.0
109 ; pyramid_range3_3d_agents ; 10 ; 202.0
110 ; pyramid_range3_3d_agents ; 30 ; 208.0
111 ; pyramid_range3_3d_agents ; 15 ; 216.0
112 ; pyramid_range3_3d_agents ; 15 ; 220.0
113 ; pyramid_range3_3d_agents ; 30 ; 236.0
114 ; pyramid_range3_3d_agents ; 50 ; 239.0
115 ; pyramid_range3_3d_agents ; 20 ; 249.0
116 ; pyramid_range3_3d_agents ; 20 ; 250.0
117 ; pyramid_range3_3d_agents ; 30 ; 254.0
118 ; pyramid_range3_3d_agents ; 30 ; 301.0
119 ; pyramid_range3_3d_agents ; 20 ; 332.0
120 ; pyramid_range3_3d_agents ; 30 ; 344.0
