id ; Experiment ; nb_agents ; cost
0 ; offices_range1_agents ; 5 ; 19.0
1 ; offices_range1_agents ; 2 ; 22.0
2 ; offices_range1_agents ; 2 ; 26.0
3 ; offices_range1_agents ; 2 ; 26.0
4 ; offices_range1_agents ; 2 ; 27.0
5 ; offices_range1_agents ; 5 ; 27.0
6 ; offices_range1_agents ; 10 ; 27.0
7 ; offices_range1_agents ; 2 ; 31.0
8 ; offices_range1_agents ; 2 ; 34.0
9 ; offices_range1_agents ; 2 ; 35.0
10 ; offices_range1_agents ; 5 ; 35.0
11 ; offices_range1_agents ; 5 ; 39.0
12 ; offices_range1_agents ; 5 ; 39.0
13 ; offices_range1_agents ; 10 ; 40.0
14 ; offices_range1_agents ; 2 ; 41.0
15 ; offices_range1_agents ; 10 ; 41.0
16 ; offices_range1_agents ; 15 ; 41.0
17 ; offices_range1_agents ; 5 ; 42.0
18 ; offices_range1_agents ; 2 ; 43.0
19 ; offices_range1_agents ; 2 ; 43.0
20 ; offices_range1_agents ; 5 ; 43.0
21 ; offices_range1_agents ; 15 ; 43.0
22 ; offices_range1_agents ; 2 ; 45.0
23 ; offices_range1_agents ; 10 ; 47.0
24 ; offices_range1_agents ; 10 ; 48.0
25 ; offices_range1_agents ; 2 ; 49.0
26 ; offices_range1_agents ; 2 ; 49.0
27 ; offices_range1_agents ; 5 ; 50.0
28 ; offices_range1_agents ; 2 ; 51.0
29 ; offices_range1_agents ; 2 ; 52.0
30 ; offices_range1_agents ; 5 ; 56.0
31 ; offices_range1_agents ; 20 ; 56.0
32 ; offices_range1_agents ; 5 ; 65.0
33 ; offices_range1_agents ; 2 ; 67.0
34 ; offices_range1_agents ; 2 ; 70.0
35 ; offices_range1_agents ; 2 ; 70.0
36 ; offices_range1_agents ; 15 ; 72.0
37 ; offices_range1_agents ; 5 ; 73.0
38 ; offices_range1_agents ; 10 ; 74.0
39 ; offices_range1_agents ; 2 ; 75.0
40 ; offices_range1_agents ; 15 ; 75.0
41 ; offices_range1_agents ; 15 ; 75.0
42 ; offices_range1_agents ; 15 ; 78.0
43 ; offices_range1_agents ; 15 ; 79.0
44 ; offices_range1_agents ; 2 ; 83.0
45 ; offices_range1_agents ; 10 ; 83.0
46 ; offices_range1_agents ; 5 ; 86.0
47 ; offices_range1_agents ; 5 ; 86.0
48 ; offices_range1_agents ; 5 ; 87.0
49 ; offices_range1_agents ; 30 ; 89.0
50 ; offices_range1_agents ; 10 ; 92.0
51 ; offices_range1_agents ; 15 ; 93.0
52 ; offices_range1_agents ; 5 ; 97.0
53 ; offices_range1_agents ; 15 ; 97.0
54 ; offices_range1_agents ; 5 ; 99.0
55 ; offices_range1_agents ; 5 ; 99.0
56 ; offices_range1_agents ; 15 ; 107.0
57 ; offices_range1_agents ; 5 ; 108.0
58 ; offices_range1_agents ; 15 ; 108.0
59 ; offices_range1_agents ; 15 ; 108.0
60 ; offices_range1_agents ; 15 ; 112.0
61 ; offices_range1_agents ; 10 ; 119.0
62 ; offices_range1_agents ; 10 ; 121.0
63 ; offices_range1_agents ; 10 ; 121.0
64 ; offices_range1_agents ; 30 ; 128.0
65 ; offices_range1_agents ; 30 ; 129.0
66 ; offices_range1_agents ; 30 ; 130.0
67 ; offices_range1_agents ; 30 ; 131.0
68 ; offices_range1_agents ; 15 ; 135.0
69 ; offices_range1_agents ; 20 ; 137.0
70 ; offices_range1_agents ; 40 ; 140.0
71 ; offices_range1_agents ; 20 ; 141.0
72 ; offices_range1_agents ; 30 ; 142.0
73 ; offices_range1_agents ; 15 ; 143.0
74 ; offices_range1_agents ; 40 ; 144.0
75 ; offices_range1_agents ; 10 ; 147.0
76 ; offices_range1_agents ; 30 ; 148.0
77 ; offices_range1_agents ; 10 ; 153.0
78 ; offices_range1_agents ; 10 ; 154.0
79 ; offices_range1_agents ; 15 ; 154.0
80 ; offices_range1_agents ; 30 ; 154.0
81 ; offices_range1_agents ; 5 ; 156.0
82 ; offices_range1_agents ; 30 ; 163.0
83 ; offices_range1_agents ; 15 ; 166.0
84 ; offices_range1_agents ; 40 ; 171.0
85 ; offices_range1_agents ; 20 ; 174.0
86 ; offices_range1_agents ; 10 ; 181.0
87 ; offices_range1_agents ; 50 ; 181.0
88 ; offices_range1_agents ; 20 ; 186.0
89 ; offices_range1_agents ; 40 ; 195.0
90 ; offices_range1_agents ; 5 ; 196.0
91 ; offices_range1_agents ; 30 ; 196.0
92 ; offices_range1_agents ; 10 ; 201.0
93 ; offices_range1_agents ; 40 ; 202.0
94 ; offices_range1_agents ; 40 ; 204.0
95 ; offices_range1_agents ; 40 ; 208.0
96 ; offices_range1_agents ; 10 ; 210.0
97 ; offices_range1_agents ; 30 ; 213.0
98 ; offices_range1_agents ; 30 ; 214.0
99 ; offices_range1_agents ; 30 ; 214.0
100 ; offices_range1_agents ; 40 ; 217.0
101 ; offices_range1_agents ; 10 ; 218.0
102 ; offices_range1_agents ; 15 ; 219.0
103 ; offices_range1_agents ; 40 ; 219.0
104 ; offices_range1_agents ; 15 ; 220.0
105 ; offices_range1_agents ; 30 ; 220.0
106 ; offices_range1_agents ; 50 ; 221.0
107 ; offices_range1_agents ; 30 ; 222.0
108 ; offices_range1_agents ; 50 ; 222.0
109 ; offices_range1_agents ; 50 ; 232.0
110 ; offices_range1_agents ; 20 ; 242.0
111 ; offices_range1_agents ; 15 ; 243.0
112 ; offices_range1_agents ; 20 ; 251.0
113 ; offices_range1_agents ; 40 ; 259.0
114 ; offices_range1_agents ; 40 ; 276.0
115 ; offices_range1_agents ; 40 ; 277.0
116 ; offices_range1_agents ; 20 ; 284.0
117 ; offices_range1_agents ; 20 ; 290.0
118 ; offices_range1_agents ; 30 ; 291.0
119 ; offices_range1_agents ; 50 ; 294.0
120 ; offices_range1_agents ; 10 ; 297.0
121 ; offices_range1_agents ; 20 ; 303.0
122 ; offices_range1_agents ; 50 ; 308.0
123 ; offices_range1_agents ; 60 ; 311.0
124 ; offices_range1_agents ; 30 ; 315.0
125 ; offices_range1_agents ; 40 ; 319.0
126 ; offices_range1_agents ; 10 ; 322.0
127 ; offices_range1_agents ; 20 ; 334.0
128 ; offices_range1_agents ; 20 ; 335.0
129 ; offices_range1_agents ; 30 ; 354.0
130 ; offices_range1_agents ; 50 ; 364.0
131 ; offices_range1_agents ; 20 ; 371.0
132 ; offices_range1_agents ; 20 ; 381.0
133 ; offices_range1_agents ; 60 ; 382.0
134 ; offices_range1_agents ; 50 ; 390.0
135 ; offices_range1_agents ; 40 ; 407.0
136 ; offices_range1_agents ; 50 ; 410.0
137 ; offices_range1_agents ; 60 ; 410.0
138 ; offices_range1_agents ; 50 ; 413.0
139 ; offices_range1_agents ; 60 ; 423.0
140 ; offices_range1_agents ; 60 ; 434.0
141 ; offices_range1_agents ; 20 ; 436.0
142 ; offices_range1_agents ; 20 ; 439.0
143 ; offices_range1_agents ; 50 ; 443.0
144 ; offices_range1_agents ; 60 ; 446.0
145 ; offices_range1_agents ; 80 ; 494.0
146 ; offices_range1_agents ; 50 ; 496.0
147 ; offices_range1_agents ; 80 ; 537.0
148 ; offices_range1_agents ; 60 ; 554.0
149 ; offices_range1_agents ; 60 ; 558.0
150 ; offices_range1_agents ; 20 ; 564.0
151 ; offices_range1_agents ; 50 ; 564.0
152 ; offices_range1_agents ; 40 ; 572.0
153 ; offices_range1_agents ; 20 ; 594.0
154 ; offices_range1_agents ; 50 ; 629.0
155 ; offices_range1_agents ; 40 ; 639.0
156 ; offices_range1_agents ; 60 ; 643.0
157 ; offices_range1_agents ; 30 ; 652.0
158 ; offices_range1_agents ; 60 ; 654.0
159 ; offices_range1_agents ; 60 ; 735.0
160 ; offices_range1_agents ; 80 ; 743.0
161 ; offices_range1_agents ; 50 ; 753.0
162 ; offices_range1_agents ; 80 ; 804.0
163 ; offices_range1_agents ; 60 ; 805.0
164 ; offices_range1_agents ; 80 ; 860.0
165 ; offices_range1_agents ; 20 ; 1003.0
