id ; Experiment ; nb_agents ; time
0 ; offices_range1_agents ; 5 ; 0.01
1 ; offices_range1_agents ; 2 ; 0.02
2 ; offices_range1_agents ; 2 ; 0.02
3 ; offices_range1_agents ; 5 ; 0.02
4 ; offices_range1_agents ; 2 ; 0.03
5 ; offices_range1_agents ; 2 ; 0.03
6 ; offices_range1_agents ; 2 ; 0.03
7 ; offices_range1_agents ; 5 ; 0.03
8 ; offices_range1_agents ; 5 ; 0.03
9 ; offices_range1_agents ; 5 ; 0.03
10 ; offices_range1_agents ; 5 ; 0.03
11 ; offices_range1_agents ; 5 ; 0.03
12 ; offices_range1_agents ; 5 ; 0.03
13 ; offices_range1_agents ; 5 ; 0.03
14 ; offices_range1_agents ; 2 ; 0.04
15 ; offices_range1_agents ; 2 ; 0.04
16 ; offices_range1_agents ; 2 ; 0.04
17 ; offices_range1_agents ; 2 ; 0.04
18 ; offices_range1_agents ; 2 ; 0.04
19 ; offices_range1_agents ; 2 ; 0.04
20 ; offices_range1_agents ; 5 ; 0.04
21 ; offices_range1_agents ; 5 ; 0.04
22 ; offices_range1_agents ; 5 ; 0.04
23 ; offices_range1_agents ; 5 ; 0.04
24 ; offices_range1_agents ; 2 ; 0.05
25 ; offices_range1_agents ; 2 ; 0.05
26 ; offices_range1_agents ; 2 ; 0.05
27 ; offices_range1_agents ; 2 ; 0.05
28 ; offices_range1_agents ; 2 ; 0.05
29 ; offices_range1_agents ; 2 ; 0.05
30 ; offices_range1_agents ; 2 ; 0.05
31 ; offices_range1_agents ; 2 ; 0.05
32 ; offices_range1_agents ; 5 ; 0.05
33 ; offices_range1_agents ; 5 ; 0.05
34 ; offices_range1_agents ; 5 ; 0.05
35 ; offices_range1_agents ; 10 ; 0.05
36 ; offices_range1_agents ; 10 ; 0.05
37 ; offices_range1_agents ; 10 ; 0.05
38 ; offices_range1_agents ; 5 ; 0.06
39 ; offices_range1_agents ; 5 ; 0.06
40 ; offices_range1_agents ; 5 ; 0.06
41 ; offices_range1_agents ; 10 ; 0.06
42 ; offices_range1_agents ; 10 ; 0.06
43 ; offices_range1_agents ; 15 ; 0.06
44 ; offices_range1_agents ; 5 ; 0.07
45 ; offices_range1_agents ; 10 ; 0.07
46 ; offices_range1_agents ; 15 ; 0.08
47 ; offices_range1_agents ; 15 ; 0.08
48 ; offices_range1_agents ; 2 ; 0.09
49 ; offices_range1_agents ; 10 ; 0.09
50 ; offices_range1_agents ; 10 ; 0.09
51 ; offices_range1_agents ; 15 ; 0.09
52 ; offices_range1_agents ; 10 ; 0.1
53 ; offices_range1_agents ; 15 ; 0.1
54 ; offices_range1_agents ; 10 ; 0.11
55 ; offices_range1_agents ; 10 ; 0.12
56 ; offices_range1_agents ; 10 ; 0.12
