id ; Experiment ; nb_agents ; cost
0 ; parallel_range4_agents ; 2 ; 4.0
1 ; parallel_range4_agents ; 2 ; 8.0
2 ; parallel_range4_agents ; 2 ; 15.0
3 ; parallel_range4_agents ; 2 ; 20.0
4 ; parallel_range4_agents ; 2 ; 22.0
5 ; parallel_range4_agents ; 2 ; 23.0
6 ; parallel_range4_agents ; 5 ; 25.0
7 ; parallel_range4_agents ; 10 ; 27.0
8 ; parallel_range4_agents ; 2 ; 28.0
9 ; parallel_range4_agents ; 2 ; 28.0
10 ; parallel_range4_agents ; 5 ; 28.0
11 ; parallel_range4_agents ; 2 ; 31.0
12 ; parallel_range4_agents ; 5 ; 32.0
13 ; parallel_range4_agents ; 2 ; 34.0
14 ; parallel_range4_agents ; 2 ; 34.0
15 ; parallel_range4_agents ; 5 ; 34.0
16 ; parallel_range4_agents ; 2 ; 37.0
17 ; parallel_range4_agents ; 15 ; 37.0
18 ; parallel_range4_agents ; 5 ; 38.0
19 ; parallel_range4_agents ; 10 ; 41.0
20 ; parallel_range4_agents ; 20 ; 41.0
21 ; parallel_range4_agents ; 2 ; 43.0
22 ; parallel_range4_agents ; 5 ; 44.0
23 ; parallel_range4_agents ; 5 ; 45.0
24 ; parallel_range4_agents ; 2 ; 46.0
25 ; parallel_range4_agents ; 2 ; 48.0
26 ; parallel_range4_agents ; 5 ; 48.0
27 ; parallel_range4_agents ; 5 ; 48.0
28 ; parallel_range4_agents ; 5 ; 48.0
29 ; parallel_range4_agents ; 5 ; 48.0
30 ; parallel_range4_agents ; 2 ; 51.0
31 ; parallel_range4_agents ; 2 ; 53.0
32 ; parallel_range4_agents ; 5 ; 55.0
33 ; parallel_range4_agents ; 2 ; 56.0
34 ; parallel_range4_agents ; 15 ; 56.0
35 ; parallel_range4_agents ; 20 ; 56.0
36 ; parallel_range4_agents ; 5 ; 58.0
37 ; parallel_range4_agents ; 20 ; 60.0
38 ; parallel_range4_agents ; 10 ; 62.0
39 ; parallel_range4_agents ; 20 ; 62.0
40 ; parallel_range4_agents ; 5 ; 63.0
41 ; parallel_range4_agents ; 10 ; 63.0
42 ; parallel_range4_agents ; 15 ; 63.0
43 ; parallel_range4_agents ; 2 ; 65.0
44 ; parallel_range4_agents ; 20 ; 65.0
45 ; parallel_range4_agents ; 10 ; 66.0
46 ; parallel_range4_agents ; 20 ; 68.0
47 ; parallel_range4_agents ; 5 ; 69.0
48 ; parallel_range4_agents ; 10 ; 69.0
49 ; parallel_range4_agents ; 2 ; 70.0
50 ; parallel_range4_agents ; 15 ; 73.0
51 ; parallel_range4_agents ; 30 ; 73.0
52 ; parallel_range4_agents ; 15 ; 74.0
53 ; parallel_range4_agents ; 15 ; 74.0
54 ; parallel_range4_agents ; 10 ; 76.0
55 ; parallel_range4_agents ; 10 ; 76.0
56 ; parallel_range4_agents ; 5 ; 77.0
57 ; parallel_range4_agents ; 5 ; 79.0
58 ; parallel_range4_agents ; 10 ; 80.0
59 ; parallel_range4_agents ; 10 ; 80.0
60 ; parallel_range4_agents ; 40 ; 80.0
61 ; parallel_range4_agents ; 5 ; 81.0
62 ; parallel_range4_agents ; 10 ; 81.0
63 ; parallel_range4_agents ; 15 ; 81.0
64 ; parallel_range4_agents ; 5 ; 82.0
65 ; parallel_range4_agents ; 15 ; 82.0
66 ; parallel_range4_agents ; 15 ; 82.0
67 ; parallel_range4_agents ; 30 ; 86.0
68 ; parallel_range4_agents ; 10 ; 87.0
69 ; parallel_range4_agents ; 10 ; 87.0
70 ; parallel_range4_agents ; 30 ; 87.0
71 ; parallel_range4_agents ; 30 ; 90.0
72 ; parallel_range4_agents ; 15 ; 92.0
73 ; parallel_range4_agents ; 40 ; 92.0
74 ; parallel_range4_agents ; 15 ; 94.0
75 ; parallel_range4_agents ; 15 ; 95.0
76 ; parallel_range4_agents ; 20 ; 98.0
77 ; parallel_range4_agents ; 20 ; 100.0
78 ; parallel_range4_agents ; 60 ; 101.0
79 ; parallel_range4_agents ; 5 ; 103.0
80 ; parallel_range4_agents ; 40 ; 103.0
81 ; parallel_range4_agents ; 15 ; 104.0
82 ; parallel_range4_agents ; 20 ; 108.0
83 ; parallel_range4_agents ; 40 ; 108.0
84 ; parallel_range4_agents ; 20 ; 110.0
85 ; parallel_range4_agents ; 15 ; 111.0
86 ; parallel_range4_agents ; 20 ; 111.0
87 ; parallel_range4_agents ; 15 ; 112.0
88 ; parallel_range4_agents ; 50 ; 114.0
89 ; parallel_range4_agents ; 40 ; 122.0
90 ; parallel_range4_agents ; 10 ; 127.0
91 ; parallel_range4_agents ; 20 ; 127.0
92 ; parallel_range4_agents ; 30 ; 128.0
93 ; parallel_range4_agents ; 10 ; 129.0
94 ; parallel_range4_agents ; 20 ; 129.0
95 ; parallel_range4_agents ; 100 ; 137.0
96 ; parallel_range4_agents ; 20 ; 139.0
97 ; parallel_range4_agents ; 10 ; 145.0
98 ; parallel_range4_agents ; 15 ; 149.0
99 ; parallel_range4_agents ; 15 ; 150.0
100 ; parallel_range4_agents ; 60 ; 151.0
101 ; parallel_range4_agents ; 10 ; 152.0
102 ; parallel_range4_agents ; 40 ; 154.0
103 ; parallel_range4_agents ; 20 ; 158.0
104 ; parallel_range4_agents ; 10 ; 159.0
105 ; parallel_range4_agents ; 60 ; 164.0
106 ; parallel_range4_agents ; 20 ; 165.0
107 ; parallel_range4_agents ; 40 ; 166.0
108 ; parallel_range4_agents ; 60 ; 167.0
109 ; parallel_range4_agents ; 30 ; 168.0
110 ; parallel_range4_agents ; 20 ; 170.0
111 ; parallel_range4_agents ; 30 ; 172.0
112 ; parallel_range4_agents ; 50 ; 174.0
113 ; parallel_range4_agents ; 30 ; 178.0
114 ; parallel_range4_agents ; 30 ; 183.0
115 ; parallel_range4_agents ; 10 ; 187.0
116 ; parallel_range4_agents ; 40 ; 195.0
117 ; parallel_range4_agents ; 30 ; 196.0
118 ; parallel_range4_agents ; 60 ; 197.0
119 ; parallel_range4_agents ; 50 ; 200.0
120 ; parallel_range4_agents ; 30 ; 201.0
121 ; parallel_range4_agents ; 15 ; 205.0
122 ; parallel_range4_agents ; 50 ; 205.0
123 ; parallel_range4_agents ; 20 ; 210.0
124 ; parallel_range4_agents ; 50 ; 215.0
125 ; parallel_range4_agents ; 60 ; 216.0
126 ; parallel_range4_agents ; 30 ; 226.0
127 ; parallel_range4_agents ; 60 ; 240.0
128 ; parallel_range4_agents ; 30 ; 243.0
129 ; parallel_range4_agents ; 10 ; 255.0
130 ; parallel_range4_agents ; 50 ; 260.0
131 ; parallel_range4_agents ; 40 ; 263.0
132 ; parallel_range4_agents ; 60 ; 264.0
133 ; parallel_range4_agents ; 30 ; 268.0
134 ; parallel_range4_agents ; 50 ; 274.0
135 ; parallel_range4_agents ; 40 ; 279.0
136 ; parallel_range4_agents ; 60 ; 291.0
137 ; parallel_range4_agents ; 60 ; 299.0
138 ; parallel_range4_agents ; 20 ; 301.0
139 ; parallel_range4_agents ; 80 ; 302.0
140 ; parallel_range4_agents ; 60 ; 313.0
141 ; parallel_range4_agents ; 80 ; 319.0
142 ; parallel_range4_agents ; 100 ; 338.0
143 ; parallel_range4_agents ; 40 ; 343.0
144 ; parallel_range4_agents ; 40 ; 346.0
145 ; parallel_range4_agents ; 50 ; 356.0
146 ; parallel_range4_agents ; 60 ; 356.0
147 ; parallel_range4_agents ; 30 ; 357.0
148 ; parallel_range4_agents ; 40 ; 386.0
149 ; parallel_range4_agents ; 50 ; 396.0
150 ; parallel_range4_agents ; 60 ; 398.0
151 ; parallel_range4_agents ; 15 ; 400.0
152 ; parallel_range4_agents ; 80 ; 408.0
153 ; parallel_range4_agents ; 50 ; 504.0
154 ; parallel_range4_agents ; 60 ; 509.0
155 ; parallel_range4_agents ; 40 ; 512.0
156 ; parallel_range4_agents ; 80 ; 513.0
157 ; parallel_range4_agents ; 80 ; 518.0
158 ; parallel_range4_agents ; 50 ; 540.0
159 ; parallel_range4_agents ; 30 ; 544.0
160 ; parallel_range4_agents ; 80 ; 597.0
161 ; parallel_range4_agents ; 30 ; 604.0
162 ; parallel_range4_agents ; 40 ; 619.0
163 ; parallel_range4_agents ; 50 ; 626.0
164 ; parallel_range4_agents ; 50 ; 701.0
165 ; parallel_range4_agents ; 50 ; 711.0
166 ; parallel_range4_agents ; 50 ; 764.0
167 ; parallel_range4_agents ; 30 ; 794.0
168 ; parallel_range4_agents ; 40 ; 800.0
169 ; parallel_range4_agents ; 50 ; 805.0
170 ; parallel_range4_agents ; 50 ; 805.0
171 ; parallel_range4_agents ; 30 ; 868.0
172 ; parallel_range4_agents ; 40 ; 877.0
173 ; parallel_range4_agents ; 40 ; 886.0
174 ; parallel_range4_agents ; 50 ; 904.0
175 ; parallel_range4_agents ; 20 ; 906.0
176 ; parallel_range4_agents ; 80 ; 909.0
177 ; parallel_range4_agents ; 50 ; 1199.0
178 ; parallel_range4_agents ; 60 ; 1214.0
179 ; parallel_range4_agents ; 40 ; 2360.0
