id ; Experiment ; nb_agents ; time
0 ; parallel_range4_agents ; 2 ; 0.02
1 ; parallel_range4_agents ; 2 ; 0.02
2 ; parallel_range4_agents ; 2 ; 0.02
3 ; parallel_range4_agents ; 5 ; 0.02
4 ; parallel_range4_agents ; 5 ; 0.02
5 ; parallel_range4_agents ; 5 ; 0.02
6 ; parallel_range4_agents ; 2 ; 0.03
7 ; parallel_range4_agents ; 2 ; 0.03
8 ; parallel_range4_agents ; 2 ; 0.03
9 ; parallel_range4_agents ; 2 ; 0.03
10 ; parallel_range4_agents ; 2 ; 0.03
11 ; parallel_range4_agents ; 5 ; 0.03
12 ; parallel_range4_agents ; 5 ; 0.03
13 ; parallel_range4_agents ; 5 ; 0.03
14 ; parallel_range4_agents ; 5 ; 0.03
15 ; parallel_range4_agents ; 5 ; 0.03
16 ; parallel_range4_agents ; 5 ; 0.03
17 ; parallel_range4_agents ; 5 ; 0.03
18 ; parallel_range4_agents ; 5 ; 0.03
19 ; parallel_range4_agents ; 5 ; 0.03
20 ; parallel_range4_agents ; 2 ; 0.04
21 ; parallel_range4_agents ; 2 ; 0.04
22 ; parallel_range4_agents ; 2 ; 0.04
23 ; parallel_range4_agents ; 2 ; 0.04
24 ; parallel_range4_agents ; 2 ; 0.04
25 ; parallel_range4_agents ; 2 ; 0.04
26 ; parallel_range4_agents ; 2 ; 0.04
27 ; parallel_range4_agents ; 2 ; 0.04
28 ; parallel_range4_agents ; 5 ; 0.04
29 ; parallel_range4_agents ; 5 ; 0.04
30 ; parallel_range4_agents ; 5 ; 0.04
31 ; parallel_range4_agents ; 5 ; 0.04
32 ; parallel_range4_agents ; 5 ; 0.04
33 ; parallel_range4_agents ; 5 ; 0.04
34 ; parallel_range4_agents ; 5 ; 0.04
35 ; parallel_range4_agents ; 2 ; 0.05
36 ; parallel_range4_agents ; 2 ; 0.05
37 ; parallel_range4_agents ; 2 ; 0.05
38 ; parallel_range4_agents ; 10 ; 0.05
39 ; parallel_range4_agents ; 10 ; 0.06
40 ; parallel_range4_agents ; 10 ; 0.07
41 ; parallel_range4_agents ; 10 ; 0.07
42 ; parallel_range4_agents ; 10 ; 0.07
43 ; parallel_range4_agents ; 10 ; 0.07
44 ; parallel_range4_agents ; 10 ; 0.07
45 ; parallel_range4_agents ; 10 ; 0.07
46 ; parallel_range4_agents ; 2 ; 0.08
47 ; parallel_range4_agents ; 5 ; 0.08
48 ; parallel_range4_agents ; 10 ; 0.08
49 ; parallel_range4_agents ; 15 ; 0.08
50 ; parallel_range4_agents ; 10 ; 0.1
51 ; parallel_range4_agents ; 10 ; 0.1
52 ; parallel_range4_agents ; 10 ; 0.12
53 ; parallel_range4_agents ; 15 ; 0.12
54 ; parallel_range4_agents ; 10 ; 0.13
55 ; parallel_range4_agents ; 15 ; 0.13
56 ; parallel_range4_agents ; 10 ; 0.15
57 ; parallel_range4_agents ; 15 ; 0.15
58 ; parallel_range4_agents ; 10 ; 0.16
59 ; parallel_range4_agents ; 15 ; 0.17
60 ; parallel_range4_agents ; 15 ; 0.18
61 ; parallel_range4_agents ; 15 ; 0.18
62 ; parallel_range4_agents ; 15 ; 0.18
63 ; parallel_range4_agents ; 10 ; 0.19
64 ; parallel_range4_agents ; 20 ; 0.19
65 ; parallel_range4_agents ; 10 ; 0.22
66 ; parallel_range4_agents ; 15 ; 0.22
67 ; parallel_range4_agents ; 20 ; 0.22
68 ; parallel_range4_agents ; 10 ; 0.23
69 ; parallel_range4_agents ; 10 ; 0.23
70 ; parallel_range4_agents ; 15 ; 0.24
71 ; parallel_range4_agents ; 15 ; 0.25
72 ; parallel_range4_agents ; 20 ; 0.27
73 ; parallel_range4_agents ; 15 ; 0.28
74 ; parallel_range4_agents ; 15 ; 0.28
75 ; parallel_range4_agents ; 15 ; 0.29
76 ; parallel_range4_agents ; 20 ; 0.29
77 ; parallel_range4_agents ; 20 ; 0.31
78 ; parallel_range4_agents ; 20 ; 0.32
79 ; parallel_range4_agents ; 15 ; 0.34
80 ; parallel_range4_agents ; 15 ; 0.35
81 ; parallel_range4_agents ; 15 ; 0.36
82 ; parallel_range4_agents ; 20 ; 0.4
83 ; parallel_range4_agents ; 20 ; 0.4
84 ; parallel_range4_agents ; 20 ; 0.41
85 ; parallel_range4_agents ; 10 ; 0.43
86 ; parallel_range4_agents ; 15 ; 0.43
87 ; parallel_range4_agents ; 20 ; 0.45
88 ; parallel_range4_agents ; 20 ; 0.47
89 ; parallel_range4_agents ; 30 ; 0.48
