Experiment ; nb_agents ; success_rate
small_obstacles_range3_3d_agents ; 2 ; 1.0
small_obstacles_range3_3d_agents ; 5 ; 1.0
small_obstacles_range3_3d_agents ; 10 ; 1.0
small_obstacles_range3_3d_agents ; 15 ; 0.9
small_obstacles_range3_3d_agents ; 20 ; 1.0
small_obstacles_range3_3d_agents ; 30 ; 0.95
small_obstacles_range3_3d_agents ; 40 ; 0.95
small_obstacles_range3_3d_agents ; 50 ; 0.7
small_obstacles_range3_3d_agents ; 60 ; 0.5
small_obstacles_range3_3d_agents ; 80 ; 0.15
small_obstacles_range3_3d_agents ; 100 ; 0.15
small_obstacles_range3_3d_agents ; 125 ; 0.05
small_obstacles_range3_3d_agents ; 150 ; 0.0
small_obstacles_range3_3d_agents ; 175 ; 0.0
small_obstacles_range3_3d_agents ; 200 ; 0.0
small_obstacles_range3_3d_agents ; 225 ; 0.0
small_obstacles_range3_3d_agents ; 250 ; 0.0
small_obstacles_range3_3d_agents ; 275 ; 0.0
small_obstacles_range3_3d_agents ; 300 ; 0.0
