id ; Experiment ; nb_agents ; time
0 ; small_obstacles_range3_3d_agents ; 2 ; 0.34
1 ; small_obstacles_range3_3d_agents ; 2 ; 0.35
2 ; small_obstacles_range3_3d_agents ; 2 ; 0.36
3 ; small_obstacles_range3_3d_agents ; 2 ; 0.36
4 ; small_obstacles_range3_3d_agents ; 2 ; 0.37
5 ; small_obstacles_range3_3d_agents ; 2 ; 0.37
6 ; small_obstacles_range3_3d_agents ; 2 ; 0.37
7 ; small_obstacles_range3_3d_agents ; 2 ; 0.37
8 ; small_obstacles_range3_3d_agents ; 2 ; 0.37
9 ; small_obstacles_range3_3d_agents ; 2 ; 0.37
10 ; small_obstacles_range3_3d_agents ; 2 ; 0.38
11 ; small_obstacles_range3_3d_agents ; 2 ; 0.38
12 ; small_obstacles_range3_3d_agents ; 2 ; 0.38
13 ; small_obstacles_range3_3d_agents ; 2 ; 0.38
14 ; small_obstacles_range3_3d_agents ; 2 ; 0.4
15 ; small_obstacles_range3_3d_agents ; 5 ; 0.4
16 ; small_obstacles_range3_3d_agents ; 5 ; 0.4
17 ; small_obstacles_range3_3d_agents ; 2 ; 0.41
18 ; small_obstacles_range3_3d_agents ; 2 ; 0.41
19 ; small_obstacles_range3_3d_agents ; 5 ; 0.41
20 ; small_obstacles_range3_3d_agents ; 2 ; 0.42
21 ; small_obstacles_range3_3d_agents ; 5 ; 0.42
22 ; small_obstacles_range3_3d_agents ; 5 ; 0.42
23 ; small_obstacles_range3_3d_agents ; 5 ; 0.42
24 ; small_obstacles_range3_3d_agents ; 5 ; 0.43
25 ; small_obstacles_range3_3d_agents ; 5 ; 0.43
26 ; small_obstacles_range3_3d_agents ; 5 ; 0.43
27 ; small_obstacles_range3_3d_agents ; 5 ; 0.43
28 ; small_obstacles_range3_3d_agents ; 5 ; 0.44
29 ; small_obstacles_range3_3d_agents ; 5 ; 0.44
30 ; small_obstacles_range3_3d_agents ; 5 ; 0.45
31 ; small_obstacles_range3_3d_agents ; 5 ; 0.45
32 ; small_obstacles_range3_3d_agents ; 2 ; 0.5
33 ; small_obstacles_range3_3d_agents ; 5 ; 0.51
34 ; small_obstacles_range3_3d_agents ; 5 ; 0.51
35 ; small_obstacles_range3_3d_agents ; 10 ; 0.54
36 ; small_obstacles_range3_3d_agents ; 5 ; 0.55
37 ; small_obstacles_range3_3d_agents ; 5 ; 0.55
38 ; small_obstacles_range3_3d_agents ; 5 ; 0.56
39 ; small_obstacles_range3_3d_agents ; 10 ; 0.58
40 ; small_obstacles_range3_3d_agents ; 2 ; 0.59
