id ; Experiment ; nb_agents ; time
0 ; offices_range1_agents ; 2 ; 0.03
1 ; offices_range1_agents ; 2 ; 0.03
2 ; offices_range1_agents ; 2 ; 0.03
3 ; offices_range1_agents ; 5 ; 0.03
4 ; offices_range1_agents ; 2 ; 0.04
5 ; offices_range1_agents ; 5 ; 0.04
6 ; offices_range1_agents ; 5 ; 0.04
7 ; offices_range1_agents ; 5 ; 0.04
8 ; offices_range1_agents ; 5 ; 0.04
9 ; offices_range1_agents ; 5 ; 0.04
10 ; offices_range1_agents ; 2 ; 0.05
11 ; offices_range1_agents ; 5 ; 0.05
12 ; offices_range1_agents ; 5 ; 0.05
13 ; offices_range1_agents ; 5 ; 0.05
14 ; offices_range1_agents ; 5 ; 0.05
15 ; offices_range1_agents ; 5 ; 0.05
16 ; offices_range1_agents ; 5 ; 0.05
17 ; offices_range1_agents ; 5 ; 0.05
18 ; offices_range1_agents ; 5 ; 0.05
19 ; offices_range1_agents ; 5 ; 0.05
20 ; offices_range1_agents ; 10 ; 0.05
21 ; offices_range1_agents ; 10 ; 0.05
22 ; offices_range1_agents ; 2 ; 0.06
23 ; offices_range1_agents ; 2 ; 0.06
24 ; offices_range1_agents ; 2 ; 0.06
25 ; offices_range1_agents ; 2 ; 0.06
26 ; offices_range1_agents ; 2 ; 0.06
27 ; offices_range1_agents ; 2 ; 0.06
28 ; offices_range1_agents ; 5 ; 0.06
29 ; offices_range1_agents ; 5 ; 0.06
30 ; offices_range1_agents ; 5 ; 0.06
31 ; offices_range1_agents ; 2 ; 0.07
32 ; offices_range1_agents ; 2 ; 0.07
33 ; offices_range1_agents ; 2 ; 0.07
34 ; offices_range1_agents ; 2 ; 0.07
35 ; offices_range1_agents ; 2 ; 0.07
36 ; offices_range1_agents ; 2 ; 0.07
37 ; offices_range1_agents ; 2 ; 0.07
38 ; offices_range1_agents ; 2 ; 0.07
39 ; offices_range1_agents ; 5 ; 0.07
40 ; offices_range1_agents ; 10 ; 0.07
41 ; offices_range1_agents ; 10 ; 0.07
42 ; offices_range1_agents ; 10 ; 0.08
43 ; offices_range1_agents ; 10 ; 0.08
44 ; offices_range1_agents ; 2 ; 0.09
45 ; offices_range1_agents ; 5 ; 0.09
46 ; offices_range1_agents ; 10 ; 0.09
47 ; offices_range1_agents ; 10 ; 0.1
48 ; offices_range1_agents ; 10 ; 0.1
49 ; offices_range1_agents ; 10 ; 0.11
50 ; offices_range1_agents ; 10 ; 0.12
51 ; offices_range1_agents ; 10 ; 0.12
52 ; offices_range1_agents ; 10 ; 0.13
53 ; offices_range1_agents ; 10 ; 0.14
54 ; offices_range1_agents ; 10 ; 0.16
55 ; offices_range1_agents ; 10 ; 0.16
56 ; offices_range1_agents ; 15 ; 0.16
57 ; offices_range1_agents ; 10 ; 0.17
58 ; offices_range1_agents ; 15 ; 0.17
59 ; offices_range1_agents ; 10 ; 0.19
60 ; offices_range1_agents ; 15 ; 0.19
61 ; offices_range1_agents ; 15 ; 0.19
62 ; offices_range1_agents ; 15 ; 0.2
63 ; offices_range1_agents ; 30 ; 0.21
64 ; offices_range1_agents ; 10 ; 0.22
65 ; offices_range1_agents ; 15 ; 0.22
66 ; offices_range1_agents ; 15 ; 0.22
67 ; offices_range1_agents ; 20 ; 0.22
68 ; offices_range1_agents ; 15 ; 0.24
69 ; offices_range1_agents ; 15 ; 0.25
70 ; offices_range1_agents ; 30 ; 0.25
71 ; offices_range1_agents ; 15 ; 0.26
72 ; offices_range1_agents ; 20 ; 0.26
73 ; offices_range1_agents ; 20 ; 0.26
74 ; offices_range1_agents ; 15 ; 0.27
75 ; offices_range1_agents ; 15 ; 0.28
76 ; offices_range1_agents ; 15 ; 0.29
77 ; offices_range1_agents ; 20 ; 0.29
78 ; offices_range1_agents ; 15 ; 0.31
79 ; offices_range1_agents ; 15 ; 0.33
80 ; offices_range1_agents ; 30 ; 0.33
81 ; offices_range1_agents ; 20 ; 0.34
82 ; offices_range1_agents ; 15 ; 0.35
83 ; offices_range1_agents ; 30 ; 0.35
84 ; offices_range1_agents ; 30 ; 0.37
85 ; offices_range1_agents ; 15 ; 0.38
86 ; offices_range1_agents ; 15 ; 0.43
87 ; offices_range1_agents ; 30 ; 0.44
88 ; offices_range1_agents ; 15 ; 0.46
89 ; offices_range1_agents ; 20 ; 0.46
90 ; offices_range1_agents ; 20 ; 0.48
91 ; offices_range1_agents ; 20 ; 0.49
92 ; offices_range1_agents ; 20 ; 0.5
93 ; offices_range1_agents ; 10 ; 0.52
94 ; offices_range1_agents ; 20 ; 0.55
95 ; offices_range1_agents ; 30 ; 0.58
96 ; offices_range1_agents ; 30 ; 0.59
97 ; offices_range1_agents ; 30 ; 0.6
98 ; offices_range1_agents ; 15 ; 0.62
99 ; offices_range1_agents ; 20 ; 0.65
100 ; offices_range1_agents ; 30 ; 0.67
101 ; offices_range1_agents ; 20 ; 0.68
102 ; offices_range1_agents ; 20 ; 0.72
103 ; offices_range1_agents ; 20 ; 0.77
104 ; offices_range1_agents ; 20 ; 0.78
105 ; offices_range1_agents ; 40 ; 0.86
106 ; offices_range1_agents ; 30 ; 0.91
107 ; offices_range1_agents ; 30 ; 0.92
108 ; offices_range1_agents ; 40 ; 0.98
