id ; Experiment ; nb_agents ; time
0 ; parallel_range4_agents ; 2 ; 0.02
1 ; parallel_range4_agents ; 2 ; 0.02
2 ; parallel_range4_agents ; 2 ; 0.02
3 ; parallel_range4_agents ; 2 ; 0.02
4 ; parallel_range4_agents ; 2 ; 0.02
5 ; parallel_range4_agents ; 2 ; 0.03
6 ; parallel_range4_agents ; 2 ; 0.03
7 ; parallel_range4_agents ; 2 ; 0.03
8 ; parallel_range4_agents ; 2 ; 0.03
9 ; parallel_range4_agents ; 2 ; 0.03
10 ; parallel_range4_agents ; 2 ; 0.03
11 ; parallel_range4_agents ; 5 ; 0.03
12 ; parallel_range4_agents ; 5 ; 0.03
13 ; parallel_range4_agents ; 5 ; 0.03
14 ; parallel_range4_agents ; 5 ; 0.03
15 ; parallel_range4_agents ; 5 ; 0.03
16 ; parallel_range4_agents ; 5 ; 0.03
17 ; parallel_range4_agents ; 5 ; 0.03
18 ; parallel_range4_agents ; 2 ; 0.04
19 ; parallel_range4_agents ; 2 ; 0.04
20 ; parallel_range4_agents ; 2 ; 0.04
21 ; parallel_range4_agents ; 5 ; 0.04
22 ; parallel_range4_agents ; 5 ; 0.04
23 ; parallel_range4_agents ; 5 ; 0.04
24 ; parallel_range4_agents ; 5 ; 0.04
25 ; parallel_range4_agents ; 5 ; 0.04
26 ; parallel_range4_agents ; 5 ; 0.04
27 ; parallel_range4_agents ; 5 ; 0.04
28 ; parallel_range4_agents ; 5 ; 0.04
29 ; parallel_range4_agents ; 2 ; 0.05
30 ; parallel_range4_agents ; 2 ; 0.05
31 ; parallel_range4_agents ; 2 ; 0.05
32 ; parallel_range4_agents ; 5 ; 0.05
33 ; parallel_range4_agents ; 5 ; 0.05
34 ; parallel_range4_agents ; 2 ; 0.06
35 ; parallel_range4_agents ; 2 ; 0.06
36 ; parallel_range4_agents ; 10 ; 0.06
37 ; parallel_range4_agents ; 10 ; 0.06
38 ; parallel_range4_agents ; 10 ; 0.06
39 ; parallel_range4_agents ; 5 ; 0.07
40 ; parallel_range4_agents ; 10 ; 0.07
41 ; parallel_range4_agents ; 10 ; 0.07
42 ; parallel_range4_agents ; 5 ; 0.08
43 ; parallel_range4_agents ; 5 ; 0.08
44 ; parallel_range4_agents ; 10 ; 0.08
45 ; parallel_range4_agents ; 10 ; 0.08
46 ; parallel_range4_agents ; 15 ; 0.08
47 ; parallel_range4_agents ; 2 ; 0.09
48 ; parallel_range4_agents ; 10 ; 0.09
49 ; parallel_range4_agents ; 10 ; 0.09
50 ; parallel_range4_agents ; 15 ; 0.1
51 ; parallel_range4_agents ; 10 ; 0.11
52 ; parallel_range4_agents ; 15 ; 0.11
53 ; parallel_range4_agents ; 10 ; 0.12
54 ; parallel_range4_agents ; 10 ; 0.12
55 ; parallel_range4_agents ; 10 ; 0.12
56 ; parallel_range4_agents ; 15 ; 0.12
57 ; parallel_range4_agents ; 15 ; 0.12
58 ; parallel_range4_agents ; 10 ; 0.14
59 ; parallel_range4_agents ; 15 ; 0.14
60 ; parallel_range4_agents ; 10 ; 0.16
61 ; parallel_range4_agents ; 15 ; 0.16
62 ; parallel_range4_agents ; 20 ; 0.16
63 ; parallel_range4_agents ; 15 ; 0.18
64 ; parallel_range4_agents ; 15 ; 0.2
65 ; parallel_range4_agents ; 20 ; 0.21
66 ; parallel_range4_agents ; 20 ; 0.23
67 ; parallel_range4_agents ; 10 ; 0.24
68 ; parallel_range4_agents ; 15 ; 0.25
69 ; parallel_range4_agents ; 15 ; 0.25
70 ; parallel_range4_agents ; 15 ; 0.26
71 ; parallel_range4_agents ; 20 ; 0.26
72 ; parallel_range4_agents ; 15 ; 0.27
73 ; parallel_range4_agents ; 10 ; 0.31
74 ; parallel_range4_agents ; 15 ; 0.31
75 ; parallel_range4_agents ; 30 ; 0.32
76 ; parallel_range4_agents ; 15 ; 0.33
77 ; parallel_range4_agents ; 15 ; 0.33
78 ; parallel_range4_agents ; 10 ; 0.34
79 ; parallel_range4_agents ; 20 ; 0.34
80 ; parallel_range4_agents ; 10 ; 0.35
81 ; parallel_range4_agents ; 20 ; 0.44
82 ; parallel_range4_agents ; 20 ; 0.46
83 ; parallel_range4_agents ; 20 ; 0.46
84 ; parallel_range4_agents ; 15 ; 0.48
85 ; parallel_range4_agents ; 20 ; 0.48
86 ; parallel_range4_agents ; 20 ; 0.5
87 ; parallel_range4_agents ; 20 ; 0.54
88 ; parallel_range4_agents ; 30 ; 0.55
89 ; parallel_range4_agents ; 20 ; 0.66
