Experiment ; nb_agents ; success_rate
pyramid_range3_3d_agents ; 2 ; 1.0
pyramid_range3_3d_agents ; 5 ; 1.0
pyramid_range3_3d_agents ; 10 ; 1.0
pyramid_range3_3d_agents ; 15 ; 1.0
pyramid_range3_3d_agents ; 20 ; 1.0
pyramid_range3_3d_agents ; 30 ; 1.0
pyramid_range3_3d_agents ; 40 ; 0.95
pyramid_range3_3d_agents ; 50 ; 1.0
pyramid_range3_3d_agents ; 60 ; 0.8
pyramid_range3_3d_agents ; 80 ; 0.2
pyramid_range3_3d_agents ; 100 ; 0.2
pyramid_range3_3d_agents ; 125 ; 0.05
pyramid_range3_3d_agents ; 150 ; 0.05
pyramid_range3_3d_agents ; 175 ; 0.0
pyramid_range3_3d_agents ; 200 ; 0.0
pyramid_range3_3d_agents ; 225 ; 0.0
pyramid_range3_3d_agents ; 250 ; 0.0
pyramid_range3_3d_agents ; 275 ; 0.0
pyramid_range3_3d_agents ; 300 ; 0.0
