id ; Experiment ; nb_agents ; time
0 ; pyramid_range3_3d_agents ; 2 ; 0.03
1 ; pyramid_range3_3d_agents ; 2 ; 0.03
2 ; pyramid_range3_3d_agents ; 5 ; 0.03
3 ; pyramid_range3_3d_agents ; 5 ; 0.03
4 ; pyramid_range3_3d_agents ; 2 ; 0.04
5 ; pyramid_range3_3d_agents ; 2 ; 0.04
6 ; pyramid_range3_3d_agents ; 2 ; 0.04
7 ; pyramid_range3_3d_agents ; 2 ; 0.04
8 ; pyramid_range3_3d_agents ; 2 ; 0.04
9 ; pyramid_range3_3d_agents ; 2 ; 0.04
10 ; pyramid_range3_3d_agents ; 2 ; 0.04
11 ; pyramid_range3_3d_agents ; 2 ; 0.04
12 ; pyramid_range3_3d_agents ; 5 ; 0.04
13 ; pyramid_range3_3d_agents ; 5 ; 0.04
14 ; pyramid_range3_3d_agents ; 2 ; 0.05
15 ; pyramid_range3_3d_agents ; 2 ; 0.05
16 ; pyramid_range3_3d_agents ; 2 ; 0.05
17 ; pyramid_range3_3d_agents ; 5 ; 0.05
18 ; pyramid_range3_3d_agents ; 5 ; 0.05
19 ; pyramid_range3_3d_agents ; 5 ; 0.05
20 ; pyramid_range3_3d_agents ; 5 ; 0.05
21 ; pyramid_range3_3d_agents ; 5 ; 0.05
22 ; pyramid_range3_3d_agents ; 5 ; 0.05
23 ; pyramid_range3_3d_agents ; 5 ; 0.05
24 ; pyramid_range3_3d_agents ; 5 ; 0.05
25 ; pyramid_range3_3d_agents ; 5 ; 0.05
26 ; pyramid_range3_3d_agents ; 10 ; 0.05
27 ; pyramid_range3_3d_agents ; 10 ; 0.05
28 ; pyramid_range3_3d_agents ; 2 ; 0.06
29 ; pyramid_range3_3d_agents ; 5 ; 0.06
30 ; pyramid_range3_3d_agents ; 5 ; 0.06
31 ; pyramid_range3_3d_agents ; 5 ; 0.06
32 ; pyramid_range3_3d_agents ; 5 ; 0.06
33 ; pyramid_range3_3d_agents ; 15 ; 0.06
34 ; pyramid_range3_3d_agents ; 2 ; 0.07
35 ; pyramid_range3_3d_agents ; 2 ; 0.07
36 ; pyramid_range3_3d_agents ; 5 ; 0.07
37 ; pyramid_range3_3d_agents ; 2 ; 0.08
38 ; pyramid_range3_3d_agents ; 2 ; 0.08
39 ; pyramid_range3_3d_agents ; 5 ; 0.08
40 ; pyramid_range3_3d_agents ; 10 ; 0.08
41 ; pyramid_range3_3d_agents ; 10 ; 0.08
42 ; pyramid_range3_3d_agents ; 2 ; 0.09
43 ; pyramid_range3_3d_agents ; 2 ; 0.09
44 ; pyramid_range3_3d_agents ; 5 ; 0.09
45 ; pyramid_range3_3d_agents ; 10 ; 0.09
46 ; pyramid_range3_3d_agents ; 15 ; 0.09
47 ; pyramid_range3_3d_agents ; 10 ; 0.1
48 ; pyramid_range3_3d_agents ; 10 ; 0.11
49 ; pyramid_range3_3d_agents ; 10 ; 0.11
50 ; pyramid_range3_3d_agents ; 10 ; 0.11
51 ; pyramid_range3_3d_agents ; 10 ; 0.14
52 ; pyramid_range3_3d_agents ; 15 ; 0.14
53 ; pyramid_range3_3d_agents ; 15 ; 0.16
54 ; pyramid_range3_3d_agents ; 10 ; 0.19
55 ; pyramid_range3_3d_agents ; 15 ; 0.19
56 ; pyramid_range3_3d_agents ; 15 ; 0.21
57 ; pyramid_range3_3d_agents ; 10 ; 0.22
58 ; pyramid_range3_3d_agents ; 10 ; 0.22
59 ; pyramid_range3_3d_agents ; 10 ; 0.22
60 ; pyramid_range3_3d_agents ; 10 ; 0.25
61 ; pyramid_range3_3d_agents ; 10 ; 0.27
62 ; pyramid_range3_3d_agents ; 10 ; 0.28
63 ; pyramid_range3_3d_agents ; 10 ; 0.32
64 ; pyramid_range3_3d_agents ; 10 ; 0.34
65 ; pyramid_range3_3d_agents ; 10 ; 0.37
66 ; pyramid_range3_3d_agents ; 15 ; 0.4
67 ; pyramid_range3_3d_agents ; 15 ; 0.41
68 ; pyramid_range3_3d_agents ; 20 ; 0.45
69 ; pyramid_range3_3d_agents ; 20 ; 0.47
70 ; pyramid_range3_3d_agents ; 20 ; 0.51
