id ; Experiment ; nb_agents ; cost
0 ; small_obstacles_range3_3d_agents ; 2 ; 15.0
1 ; small_obstacles_range3_3d_agents ; 10 ; 18.0
2 ; small_obstacles_range3_3d_agents ; 2 ; 19.0
3 ; small_obstacles_range3_3d_agents ; 2 ; 21.0
4 ; small_obstacles_range3_3d_agents ; 2 ; 23.0
5 ; small_obstacles_range3_3d_agents ; 2 ; 29.0
6 ; small_obstacles_range3_3d_agents ; 2 ; 30.0
7 ; small_obstacles_range3_3d_agents ; 5 ; 32.0
8 ; small_obstacles_range3_3d_agents ; 10 ; 37.0
9 ; small_obstacles_range3_3d_agents ; 2 ; 38.0
10 ; small_obstacles_range3_3d_agents ; 2 ; 39.0
11 ; small_obstacles_range3_3d_agents ; 2 ; 40.0
12 ; small_obstacles_range3_3d_agents ; 2 ; 40.0
13 ; small_obstacles_range3_3d_agents ; 5 ; 40.0
14 ; small_obstacles_range3_3d_agents ; 5 ; 40.0
15 ; small_obstacles_range3_3d_agents ; 2 ; 42.0
16 ; small_obstacles_range3_3d_agents ; 2 ; 51.0
17 ; small_obstacles_range3_3d_agents ; 2 ; 53.0
18 ; small_obstacles_range3_3d_agents ; 2 ; 55.0
19 ; small_obstacles_range3_3d_agents ; 2 ; 56.0
20 ; small_obstacles_range3_3d_agents ; 5 ; 57.0
21 ; small_obstacles_range3_3d_agents ; 2 ; 59.0
22 ; small_obstacles_range3_3d_agents ; 5 ; 59.0
23 ; small_obstacles_range3_3d_agents ; 15 ; 59.0
24 ; small_obstacles_range3_3d_agents ; 40 ; 60.0
25 ; small_obstacles_range3_3d_agents ; 2 ; 63.0
26 ; small_obstacles_range3_3d_agents ; 2 ; 65.0
27 ; small_obstacles_range3_3d_agents ; 2 ; 66.0
28 ; small_obstacles_range3_3d_agents ; 10 ; 67.0
29 ; small_obstacles_range3_3d_agents ; 5 ; 70.0
30 ; small_obstacles_range3_3d_agents ; 2 ; 71.0
31 ; small_obstacles_range3_3d_agents ; 5 ; 72.0
32 ; small_obstacles_range3_3d_agents ; 5 ; 73.0
33 ; small_obstacles_range3_3d_agents ; 5 ; 74.0
34 ; small_obstacles_range3_3d_agents ; 10 ; 78.0
35 ; small_obstacles_range3_3d_agents ; 5 ; 88.0
36 ; small_obstacles_range3_3d_agents ; 5 ; 89.0
37 ; small_obstacles_range3_3d_agents ; 5 ; 89.0
38 ; small_obstacles_range3_3d_agents ; 40 ; 95.0
39 ; small_obstacles_range3_3d_agents ; 5 ; 96.0
40 ; small_obstacles_range3_3d_agents ; 5 ; 97.0
41 ; small_obstacles_range3_3d_agents ; 30 ; 97.0
42 ; small_obstacles_range3_3d_agents ; 15 ; 99.0
43 ; small_obstacles_range3_3d_agents ; 30 ; 100.0
44 ; small_obstacles_range3_3d_agents ; 20 ; 103.0
45 ; small_obstacles_range3_3d_agents ; 15 ; 104.0
46 ; small_obstacles_range3_3d_agents ; 20 ; 108.0
47 ; small_obstacles_range3_3d_agents ; 5 ; 115.0
48 ; small_obstacles_range3_3d_agents ; 20 ; 116.0
49 ; small_obstacles_range3_3d_agents ; 5 ; 119.0
50 ; small_obstacles_range3_3d_agents ; 5 ; 119.0
51 ; small_obstacles_range3_3d_agents ; 100 ; 121.0
52 ; small_obstacles_range3_3d_agents ; 20 ; 123.0
53 ; small_obstacles_range3_3d_agents ; 20 ; 132.0
54 ; small_obstacles_range3_3d_agents ; 20 ; 136.0
55 ; small_obstacles_range3_3d_agents ; 50 ; 137.0
56 ; small_obstacles_range3_3d_agents ; 10 ; 138.0
57 ; small_obstacles_range3_3d_agents ; 20 ; 138.0
58 ; small_obstacles_range3_3d_agents ; 30 ; 139.0
59 ; small_obstacles_range3_3d_agents ; 10 ; 142.0
60 ; small_obstacles_range3_3d_agents ; 30 ; 144.0
61 ; small_obstacles_range3_3d_agents ; 30 ; 146.0
62 ; small_obstacles_range3_3d_agents ; 60 ; 149.0
63 ; small_obstacles_range3_3d_agents ; 15 ; 151.0
64 ; small_obstacles_range3_3d_agents ; 5 ; 159.0
65 ; small_obstacles_range3_3d_agents ; 10 ; 159.0
66 ; small_obstacles_range3_3d_agents ; 40 ; 159.0
67 ; small_obstacles_range3_3d_agents ; 10 ; 160.0
68 ; small_obstacles_range3_3d_agents ; 10 ; 168.0
69 ; small_obstacles_range3_3d_agents ; 40 ; 169.0
70 ; small_obstacles_range3_3d_agents ; 5 ; 180.0
71 ; small_obstacles_range3_3d_agents ; 30 ; 180.0
72 ; small_obstacles_range3_3d_agents ; 30 ; 183.0
73 ; small_obstacles_range3_3d_agents ; 60 ; 183.0
