id ; Experiment ; nb_agents ; time
0 ; small_obstacles_range3_3d_agents ; 2 ; 0.39
1 ; small_obstacles_range3_3d_agents ; 2 ; 0.39
2 ; small_obstacles_range3_3d_agents ; 2 ; 0.4
3 ; small_obstacles_range3_3d_agents ; 2 ; 0.4
4 ; small_obstacles_range3_3d_agents ; 2 ; 0.41
5 ; small_obstacles_range3_3d_agents ; 2 ; 0.41
6 ; small_obstacles_range3_3d_agents ; 2 ; 0.41
7 ; small_obstacles_range3_3d_agents ; 2 ; 0.41
8 ; small_obstacles_range3_3d_agents ; 2 ; 0.42
9 ; small_obstacles_range3_3d_agents ; 2 ; 0.42
10 ; small_obstacles_range3_3d_agents ; 2 ; 0.42
11 ; small_obstacles_range3_3d_agents ; 2 ; 0.43
12 ; small_obstacles_range3_3d_agents ; 5 ; 0.43
13 ; small_obstacles_range3_3d_agents ; 2 ; 0.45
14 ; small_obstacles_range3_3d_agents ; 2 ; 0.45
15 ; small_obstacles_range3_3d_agents ; 2 ; 0.46
16 ; small_obstacles_range3_3d_agents ; 2 ; 0.46
17 ; small_obstacles_range3_3d_agents ; 5 ; 0.46
18 ; small_obstacles_range3_3d_agents ; 2 ; 0.48
19 ; small_obstacles_range3_3d_agents ; 5 ; 0.48
20 ; small_obstacles_range3_3d_agents ; 5 ; 0.48
21 ; small_obstacles_range3_3d_agents ; 5 ; 0.48
22 ; small_obstacles_range3_3d_agents ; 5 ; 0.49
23 ; small_obstacles_range3_3d_agents ; 5 ; 0.49
24 ; small_obstacles_range3_3d_agents ; 5 ; 0.49
25 ; small_obstacles_range3_3d_agents ; 5 ; 0.49
26 ; small_obstacles_range3_3d_agents ; 5 ; 0.49
27 ; small_obstacles_range3_3d_agents ; 5 ; 0.5
28 ; small_obstacles_range3_3d_agents ; 5 ; 0.51
29 ; small_obstacles_range3_3d_agents ; 5 ; 0.53
30 ; small_obstacles_range3_3d_agents ; 5 ; 0.53
31 ; small_obstacles_range3_3d_agents ; 5 ; 0.54
32 ; small_obstacles_range3_3d_agents ; 10 ; 0.55
33 ; small_obstacles_range3_3d_agents ; 2 ; 0.56
34 ; small_obstacles_range3_3d_agents ; 5 ; 0.56
35 ; small_obstacles_range3_3d_agents ; 5 ; 0.58
36 ; small_obstacles_range3_3d_agents ; 5 ; 0.59
37 ; small_obstacles_range3_3d_agents ; 2 ; 0.61
38 ; small_obstacles_range3_3d_agents ; 2 ; 0.63
39 ; small_obstacles_range3_3d_agents ; 5 ; 0.63
40 ; small_obstacles_range3_3d_agents ; 10 ; 0.7
41 ; small_obstacles_range3_3d_agents ; 5 ; 0.71
42 ; small_obstacles_range3_3d_agents ; 10 ; 0.73
43 ; small_obstacles_range3_3d_agents ; 10 ; 0.77
44 ; small_obstacles_range3_3d_agents ; 10 ; 0.77
45 ; small_obstacles_range3_3d_agents ; 10 ; 0.85
46 ; small_obstacles_range3_3d_agents ; 10 ; 0.88
47 ; small_obstacles_range3_3d_agents ; 10 ; 0.94
48 ; small_obstacles_range3_3d_agents ; 10 ; 0.95
49 ; small_obstacles_range3_3d_agents ; 15 ; 0.95
50 ; small_obstacles_range3_3d_agents ; 10 ; 0.98
51 ; small_obstacles_range3_3d_agents ; 15 ; 1.06
52 ; small_obstacles_range3_3d_agents ; 15 ; 1.07
53 ; small_obstacles_range3_3d_agents ; 10 ; 1.1
54 ; small_obstacles_range3_3d_agents ; 10 ; 1.12
55 ; small_obstacles_range3_3d_agents ; 10 ; 1.13
56 ; small_obstacles_range3_3d_agents ; 10 ; 1.2
57 ; small_obstacles_range3_3d_agents ; 10 ; 1.22
58 ; small_obstacles_range3_3d_agents ; 15 ; 1.31
59 ; small_obstacles_range3_3d_agents ; 10 ; 1.38
60 ; small_obstacles_range3_3d_agents ; 10 ; 1.39
61 ; small_obstacles_range3_3d_agents ; 15 ; 1.41
62 ; small_obstacles_range3_3d_agents ; 20 ; 1.44
63 ; small_obstacles_range3_3d_agents ; 15 ; 1.46
64 ; small_obstacles_range3_3d_agents ; 10 ; 1.69
65 ; small_obstacles_range3_3d_agents ; 10 ; 1.7
66 ; small_obstacles_range3_3d_agents ; 15 ; 1.72
67 ; small_obstacles_range3_3d_agents ; 15 ; 1.79
68 ; small_obstacles_range3_3d_agents ; 20 ; 1.8
69 ; small_obstacles_range3_3d_agents ; 10 ; 1.9
70 ; small_obstacles_range3_3d_agents ; 15 ; 2.07
71 ; small_obstacles_range3_3d_agents ; 15 ; 2.08
72 ; small_obstacles_range3_3d_agents ; 20 ; 2.14
73 ; small_obstacles_range3_3d_agents ; 15 ; 2.16
74 ; small_obstacles_range3_3d_agents ; 15 ; 2.19
75 ; small_obstacles_range3_3d_agents ; 15 ; 2.28
76 ; small_obstacles_range3_3d_agents ; 20 ; 2.28
77 ; small_obstacles_range3_3d_agents ; 20 ; 2.38
78 ; small_obstacles_range3_3d_agents ; 15 ; 2.57
79 ; small_obstacles_range3_3d_agents ; 15 ; 2.81
80 ; small_obstacles_range3_3d_agents ; 20 ; 3.01
81 ; small_obstacles_range3_3d_agents ; 20 ; 3.05
82 ; small_obstacles_range3_3d_agents ; 20 ; 3.12
83 ; small_obstacles_range3_3d_agents ; 30 ; 3.24
84 ; small_obstacles_range3_3d_agents ; 15 ; 3.28
85 ; small_obstacles_range3_3d_agents ; 15 ; 3.41
86 ; small_obstacles_range3_3d_agents ; 20 ; 3.57
87 ; small_obstacles_range3_3d_agents ; 30 ; 3.77
88 ; small_obstacles_range3_3d_agents ; 20 ; 4.04
89 ; small_obstacles_range3_3d_agents ; 40 ; 4.2
90 ; small_obstacles_range3_3d_agents ; 15 ; 4.25
91 ; small_obstacles_range3_3d_agents ; 30 ; 4.5
92 ; small_obstacles_range3_3d_agents ; 20 ; 4.55
93 ; small_obstacles_range3_3d_agents ; 30 ; 5.22
94 ; small_obstacles_range3_3d_agents ; 30 ; 5.27
95 ; small_obstacles_range3_3d_agents ; 20 ; 5.38
96 ; small_obstacles_range3_3d_agents ; 20 ; 5.43
97 ; small_obstacles_range3_3d_agents ; 40 ; 5.49
