exp;success;longest_path;time
offices_range1_agents125_13;0;0;119.22
offices_range1_agents125_12;0;0;118.64
offices_range1_agents125_7;0;0;117.98
offices_range1_agents125_3;0;0;119.21
offices_range1_agents125_19;0;0;117.96
offices_range1_agents125_6;0;0;119.84
offices_range1_agents125_2;0;0;119.79
offices_range1_agents125_18;0;0;118.4
offices_range1_agents125_15;0;0;119.25
offices_range1_agents125_10;0;0;118.13
offices_range1_agents125_11;0;0;118.87
offices_range1_agents125_5;0;0;118.55
offices_range1_agents125_0;0;0;119.27
offices_range1_agents125_16;0;0;119.99
offices_range1_agents125_1;0;0;118.26
offices_range1_agents125_17;0;0;118.28
offices_range1_agents125_9;0;0;119.09
offices_range1_agents125_14;0;0;118.29
offices_range1_agents125_4;0;0;118.6
offices_range1_agents125_8;0;0;119.69
