exp;success;longest_path;time
parallel_range4_agents40_10;0;0;119.99
parallel_range4_agents40_9;0;0;119.99
parallel_range4_agents40_5;0;0;119.99
parallel_range4_agents40_3;0;0;119.99
parallel_range4_agents40_19;1;310;85.51
parallel_range4_agents40_11;0;0;119.98
parallel_range4_agents40_7;0;0;119.99
parallel_range4_agents40_16;1;123;23.94
parallel_range4_agents40_2;0;0;119.99
parallel_range4_agents40_0;0;0;119.98
parallel_range4_agents40_14;0;0;119.98
parallel_range4_agents40_17;1;307;71.68
parallel_range4_agents40_6;1;256;46.29
parallel_range4_agents40_8;1;116;28.03
parallel_range4_agents40_12;1;86;19.47
parallel_range4_agents40_13;1;436;89.1
parallel_range4_agents40_15;0;0;119.99
parallel_range4_agents40_1;0;0;119.99
parallel_range4_agents40_18;0;0;119.98
parallel_range4_agents40_4;0;0;119.97
