exp;success;longest_path;time
pyramid_range3_3d_agents275_19;0;0;119.98
pyramid_range3_3d_agents275_18;0;0;119.98
pyramid_range3_3d_agents275_13;0;0;119.95
pyramid_range3_3d_agents275_14;0;0;119.96
pyramid_range3_3d_agents275_2;0;0;119.99
pyramid_range3_3d_agents275_12;0;0;119.99
pyramid_range3_3d_agents275_0;0;0;119.98
pyramid_range3_3d_agents275_6;0;0;119.99
pyramid_range3_3d_agents275_16;0;0;120.0
pyramid_range3_3d_agents275_3;0;0;119.98
pyramid_range3_3d_agents275_4;0;0;119.98
pyramid_range3_3d_agents275_17;0;0;119.99
pyramid_range3_3d_agents275_7;0;0;119.99
pyramid_range3_3d_agents275_10;0;0;119.99
pyramid_range3_3d_agents275_8;0;0;119.98
pyramid_range3_3d_agents275_5;0;0;119.98
pyramid_range3_3d_agents275_9;0;0;119.99
pyramid_range3_3d_agents275_1;0;0;119.98
pyramid_range3_3d_agents275_11;0;0;119.98
pyramid_range3_3d_agents275_15;0;0;119.99
