exp;success;longest_path;time
small_obstacles_range3_3d_agents30_11;1;51;25.48
small_obstacles_range3_3d_agents30_13;1;96;45.66
small_obstacles_range3_3d_agents30_0;1;121;48.37
small_obstacles_range3_3d_agents30_15;0;0;119.96
small_obstacles_range3_3d_agents30_18;1;187;102.13
small_obstacles_range3_3d_agents30_14;1;126;59.13
small_obstacles_range3_3d_agents30_1;1;194;98.26
small_obstacles_range3_3d_agents30_8;1;180;97.16
small_obstacles_range3_3d_agents30_5;0;0;119.94
small_obstacles_range3_3d_agents30_2;0;0;119.96
small_obstacles_range3_3d_agents30_17;1;143;54.07
small_obstacles_range3_3d_agents30_16;1;131;75.28
small_obstacles_range3_3d_agents30_4;1;204;75.78
small_obstacles_range3_3d_agents30_7;1;233;112.44
small_obstacles_range3_3d_agents30_3;0;0;119.96
small_obstacles_range3_3d_agents30_12;1;111;56.88
small_obstacles_range3_3d_agents30_19;0;0;119.96
small_obstacles_range3_3d_agents30_9;0;0;119.96
small_obstacles_range3_3d_agents30_10;1;180;84.26
small_obstacles_range3_3d_agents30_6;0;0;119.95
