exp;success;longest_path;time
offices_range1_agents30_5;1;139;2.67
offices_range1_agents30_15;1;109;12.07
offices_range1_agents30_18;1;147;13.49
offices_range1_agents30_6;1;90;25.19
offices_range1_agents30_17;1;128;24.12
offices_range1_agents30_13;1;158;3.98
offices_range1_agents30_0;1;128;22.75
offices_range1_agents30_9;1;115;13.72
offices_range1_agents30_4;1;128;91.07
offices_range1_agents30_7;1;126;8.8
offices_range1_agents30_3;1;145;2.87
offices_range1_agents30_16;1;127;2.43
offices_range1_agents30_11;0;0;118.69
offices_range1_agents30_10;1;48;1.31
offices_range1_agents30_8;1;70;2.11
offices_range1_agents30_12;1;121;7.0
offices_range1_agents30_19;1;81;2.62
offices_range1_agents30_1;1;142;32.31
offices_range1_agents30_14;1;129;2.98
offices_range1_agents30_2;1;108;6.59
