exp;success;longest_path;time
parallel_range4_agents2_0;1;23;0.08
parallel_range4_agents2_9;1;29;0.09
parallel_range4_agents2_14;1;53;0.09
parallel_range4_agents2_16;1;51;0.09
parallel_range4_agents2_13;1;57;0.09
parallel_range4_agents2_6;1;33;0.09
parallel_range4_agents2_17;1;41;0.08
parallel_range4_agents2_4;1;8;0.08
parallel_range4_agents2_8;1;65;0.09
parallel_range4_agents2_5;1;29;0.08
parallel_range4_agents2_3;1;51;0.09
parallel_range4_agents2_12;1;5;0.08
parallel_range4_agents2_15;1;22;0.09
parallel_range4_agents2_10;1;46;0.09
parallel_range4_agents2_18;1;35;0.09
parallel_range4_agents2_11;1;30;0.08
parallel_range4_agents2_2;1;38;0.09
parallel_range4_agents2_7;1;49;0.09
parallel_range4_agents2_19;1;46;0.09
parallel_range4_agents2_1;1;35;0.09
