exp;success;longest_path;time
pyramid_range3_3d_agents10_19;1;70;0.34
pyramid_range3_3d_agents10_17;1;13;0.21
pyramid_range3_3d_agents10_4;1;118;0.47
pyramid_range3_3d_agents10_3;1;92;0.35
pyramid_range3_3d_agents10_8;1;69;0.4
pyramid_range3_3d_agents10_9;1;24;0.24
pyramid_range3_3d_agents10_14;1;202;0.7
pyramid_range3_3d_agents10_13;1;65;0.36
pyramid_range3_3d_agents10_5;1;330;0.7
pyramid_range3_3d_agents10_2;1;73;0.43
pyramid_range3_3d_agents10_11;1;38;0.22
pyramid_range3_3d_agents10_15;1;410;1.14
pyramid_range3_3d_agents10_18;1;45;0.22
pyramid_range3_3d_agents10_12;1;39;0.42
pyramid_range3_3d_agents10_6;1;64;0.31
pyramid_range3_3d_agents10_7;1;97;0.48
pyramid_range3_3d_agents10_10;1;503;1.06
pyramid_range3_3d_agents10_0;1;20;0.23
pyramid_range3_3d_agents10_16;1;51;0.43
pyramid_range3_3d_agents10_1;1;25;0.24
