exp;success;longest_path;time
small_obstacles_range3_3d_agents20_9;1;237;9.51
small_obstacles_range3_3d_agents20_6;1;86;5.72
small_obstacles_range3_3d_agents20_17;1;92;4.29
small_obstacles_range3_3d_agents20_13;1;73;4.17
small_obstacles_range3_3d_agents20_5;1;103;4.05
small_obstacles_range3_3d_agents20_14;1;700;6.62
small_obstacles_range3_3d_agents20_19;1;466;11.03
small_obstacles_range3_3d_agents20_18;1;351;11.31
small_obstacles_range3_3d_agents20_10;1;110;5.05
small_obstacles_range3_3d_agents20_1;1;168;4.86
small_obstacles_range3_3d_agents20_16;1;104;4.18
small_obstacles_range3_3d_agents20_15;1;127;4.17
small_obstacles_range3_3d_agents20_8;1;86;3.78
small_obstacles_range3_3d_agents20_0;1;517;7.97
small_obstacles_range3_3d_agents20_4;1;130;4.78
small_obstacles_range3_3d_agents20_2;1;76;3.59
small_obstacles_range3_3d_agents20_12;1;324;6.81
small_obstacles_range3_3d_agents20_7;1;171;6.6
small_obstacles_range3_3d_agents20_11;1;1295;90.45
small_obstacles_range3_3d_agents20_3;1;279;8.14
