exp;success;longest_path;time
offices_range1_agents80_7;0;0;104.46
offices_range1_agents80_13;0;0;119.33
offices_range1_agents80_6;0;0;113.02
offices_range1_agents80_5;1;749;29.13
offices_range1_agents80_1;0;0;117.69
offices_range1_agents80_19;0;0;116.62
offices_range1_agents80_12;1;2510;82.95
offices_range1_agents80_0;0;0;112.86
offices_range1_agents80_15;0;0;118.68
offices_range1_agents80_16;1;916;47.82
offices_range1_agents80_2;1;1154;46.8
offices_range1_agents80_14;1;2361;100.91
offices_range1_agents80_8;1;1411;55.78
offices_range1_agents80_18;1;1860;65.68
offices_range1_agents80_17;0;0;117.03
offices_range1_agents80_11;1;1408;67.83
offices_range1_agents80_3;0;0;115.82
offices_range1_agents80_10;0;0;117.04
offices_range1_agents80_9;0;0;103.22
offices_range1_agents80_4;1;761;30.09
