exp;success;longest_path;time
parallel_range4_agents60_9;1;319;15.6
parallel_range4_agents60_13;1;279;16.16
parallel_range4_agents60_8;1;180;6.74
parallel_range4_agents60_15;1;1068;58.91
parallel_range4_agents60_16;1;292;8.73
parallel_range4_agents60_11;1;312;15.55
parallel_range4_agents60_5;1;650;30.57
parallel_range4_agents60_7;1;247;7.13
parallel_range4_agents60_17;0;0;119.78
parallel_range4_agents60_0;1;346;13.57
parallel_range4_agents60_10;1;276;13.47
parallel_range4_agents60_2;1;268;7.83
parallel_range4_agents60_4;0;0;119.8
parallel_range4_agents60_3;1;139;4.82
parallel_range4_agents60_6;1;207;6.47
parallel_range4_agents60_18;1;176;7.87
parallel_range4_agents60_1;1;434;21.15
parallel_range4_agents60_12;1;193;7.44
parallel_range4_agents60_14;1;293;18.93
parallel_range4_agents60_19;1;1035;69.22
