exp;success;longest_path;time
pyramid_range3_3d_agents40_4;1;515;9.64
pyramid_range3_3d_agents40_0;1;360;9.65
pyramid_range3_3d_agents40_11;1;295;6.65
pyramid_range3_3d_agents40_9;1;181;4.41
pyramid_range3_3d_agents40_19;1;227;6.96
pyramid_range3_3d_agents40_5;1;392;12.25
pyramid_range3_3d_agents40_14;1;192;6.99
pyramid_range3_3d_agents40_7;1;102;2.86
pyramid_range3_3d_agents40_16;1;189;7.23
pyramid_range3_3d_agents40_3;0;0;119.52
pyramid_range3_3d_agents40_8;1;279;7.21
pyramid_range3_3d_agents40_18;1;136;1.75
pyramid_range3_3d_agents40_1;1;530;17.04
pyramid_range3_3d_agents40_2;1;1003;57.36
pyramid_range3_3d_agents40_17;1;332;7.16
pyramid_range3_3d_agents40_10;1;294;11.83
pyramid_range3_3d_agents40_12;1;84;3.1
pyramid_range3_3d_agents40_6;1;234;5.5
pyramid_range3_3d_agents40_15;1;484;14.67
pyramid_range3_3d_agents40_13;1;93;3.11
